record_key,event_date,segment_label,group_name,activity_count,observed_value,quality_score,completion_flag,delay_days,category_note
GEN-7104,2025-10-21,Echo,Group A,6,425.38,0.663,1,4,standard
GEN-7105,2025-10-26,Beta,Group A,10,1596.74,0.743,1,11,verified
GEN-7106,2025-10-27,Alpha,Group D,15,1667.27,0.665,0,5,verified
GEN-7107,2025-11-02,Beta,Group B,6,922.33,0.564,1,5,standard
GEN-7108,2025-10-04,Alpha,Group D,8,1192.46,0.703,1,8,standard
GEN-7109,2025-08-16,Foxtrot,Group A,4,933.23,0.643,1,2,standard
GEN-7110,2025-08-15,Beta,Group D,5,718.35,0.612,0,5,standard
GEN-7111,2025-09-27,Foxtrot,Group C,4,,0.564,0,5,partial
GEN-7112,2025-08-05,Foxtrot,Group B,6,1054.66,0.454,1,18,verified
GEN-7113,2025-10-09,Beta,Group C,5,924.28,0.622,0,7,standard
GEN-7114,2025-08-09,Alpha,Group C,10,1597.67,0.694,1,14,standard
GEN-7115,2025-10-13,Delta,Group A,4,669.54,0.667,1,0,manual review
GEN-7116,2025-10-03,Delta,Group C,3,692.38,0.556,1,1,manual review
GEN-7117,2025-08-07,Alpha,Group D,11,1015.86,0.648,0,2,standard
GEN-7118,2025-09-27,Beta,Group D,7,1433.05,0.67,1,8,manual review
GEN-7119,2025-10-25,Echo,Group C,6,675.98,0.606,0,7,standard
GEN-7120,2025-09-09,Echo,Group A,2,152.27,0.677,1,1,standard
GEN-7121,2025-10-01,Echo,Group B,3,0,0.561,1,10,standard
GEN-7122,2025-08-19,Beta,Group B,9,1726.82,0.784,1,9,standard
GEN-7123,2025-09-21,Echo,Group A,6,348.68,0.653,0,7,manual review
GEN-7124,2025-08-31,Foxtrot,Group C,2,578.33,0.461,0,3,standard
GEN-7125,2025-09-16,Delta,Group A,3,460.68,0.474,0,6,manual review
GEN-7126,2025-08-07,Alpha,Group D,11,1396.37,0.714,1,4,manual review
GEN-7127,2025-08-11,Alpha,Group B,7,498.53,0.689,0,2,standard
GEN-7128,2025-08-24,Alpha,Group C,11,1393.81,0.754,1,2,standard
GEN-7129,2025-11-01,Beta,Group D,7,1276.53,0.612,0,0,standard
GEN-7130,2025-08-13,Echo,Group B,5,63.03,0.705,1,10,manual review
GEN-7131,2025-08-24,Beta,Group D,8,1224.92,0.744,0,15,standard
GEN-7132,2025-09-09,Gamma,Group B,7,534.21,0.695,1,3,standard
GEN-7133,2025-10-02,Alpha,Group B,6,673.71,0.746,1,7,standard
GEN-7134,2025-08-01,Alpha,Group C,10,817.28,0.748,1,2,manual review
GEN-7135,2025-10-31,Alpha,Group C,7,912.84,0.534,0,9,manual review
GEN-7136,2025-08-31,Echo,Group B,1,87.34,0.53,1,7,standard
GEN-7137,2025-09-04,Beta,Group B,8,1072.05,0.508,0,10,standard
GEN-7138,2025-08-29,Beta,Group B,3,547.31,0.694,1,16,manual review
GEN-7139,2025-11-05,Delta,Group D,3,604.52,0.488,0,3,manual review
GEN-7140,2025-08-28,Beta,Group B,6,1081.53,0.73,1,12,manual review
GEN-7141,2025-10-23,Alpha,Group D,15,1799.78,0.86,1,2,manual review
GEN-7142,2025-10-09,Echo,Group C,5,686.51,0.654,0,1,standard
GEN-7143,2025-09-09,Beta,Group A,4,673.66,0.559,1,10,standard
GEN-7144,2025-09-07,Gamma,Group B,4,193.45,0.842,1,9,manual review
GEN-7145,2025-09-20,Alpha,Group A,8,863.79,0.864,0,7,standard
GEN-7146,2025-11-01,Alpha,Group C,5,501.06,0.602,1,7,standard
GEN-7147,2025-10-12,Gamma,Group C,6,668.16,0.786,1,2,standard
GEN-7148,2025-08-20,Alpha,Group C,5,701.94,0.608,1,1,standard
GEN-7149,2025-11-05,Alpha,Group A,9,982.49,0.769,1,7,manual review
GEN-7150,2025-10-08,Echo,Group C,4,351.49,0.679,0,9,standard
GEN-7151,2025-11-07,Foxtrot,Group A,1,286.7,0.37,1,0,standard
GEN-7152,2025-11-04,Alpha,Group C,7,443.9,0.739,1,6,standard
GEN-7153,2025-08-28,Gamma,Group D,6,598.65,0.893,1,8,standard
GEN-7154,2025-09-04,Foxtrot,Group D,3,841.2,0.47,1,13,verified
GEN-7155,2025-08-29,Gamma,Group A,3,487.82,0.728,1,9,standard
GEN-7156,2025-10-17,Beta,Group D,2,246.65,0.624,0,2,standard
GEN-7157,2025-11-03,Echo,Group D,4,260.55,0.616,1,1,standard
GEN-7158,2025-09-07,Beta,Group C,6,1166.51,0.614,1,8,standard
GEN-7159,2025-09-20,Alpha,Group A,19,2924.42,0.884,1,3,standard
GEN-7160,2025-11-04,Gamma,Group A,4,250.18,0.693,0,10,standard
GEN-7161,2025-09-29,Echo,Group C,4,70.63,0.683,0,6,standard
GEN-7162,2025-08-17,Delta,Group B,4,738.06,0.564,1,4,partial
GEN-7163,2025-10-20,Alpha,Group C,11,1132.85,0.54,1,7,partial
GEN-7164,2025-10-26,Alpha,Group C,8,209.22,0.694,0,6,standard
GEN-7165,2025-09-10,Alpha,Group D,14,1416.51,0.643,0,4,standard
GEN-7166,2025-11-08,Beta,Group B,6,1040.06,0.563,0,12,standard
GEN-7167,2025-09-05,Foxtrot,Group D,5,1301.63,0.493,1,8,manual review
GEN-7168,2025-10-19,Foxtrot,Group A,1,194.03,0.539,0,13,verified
GEN-7169,2025-10-01,Delta,Group A,3,605.98,0.536,1,8,standard
GEN-7170,2025-10-25,Alpha,Group C,4,402.53,0.785,0,13,standard
GEN-7171,2025-09-01,Alpha,Group D,6,686.91,0.651,1,7,standard
GEN-7172,2025-08-06,Echo,Group C,4,442.48,0.496,1,19,manual review
GEN-7173,2025-10-13,Echo,Group C,2,,0.778,1,15,standard
GEN-7174,2025-10-07,Echo,Group D,6,,0.657,1,10,standard
GEN-7175,2025-09-07,Alpha,Group A,9,1475.13,0.851,1,0,manual review
GEN-7176,2025-08-05,Gamma,Group A,7,82.04,0.776,1,6,verified
GEN-7177,2025-09-03,Beta,Group B,10,1537.92,0.749,1,19,verified
GEN-7178,2025-09-09,Beta,Group A,2,422.52,0.633,1,14,standard
GEN-7179,2025-10-28,Echo,Group C,6,333.0,0.851,1,12,standard
GEN-7180,2025-09-19,Alpha,Group A,7,977.95,0.764,1,4,standard
GEN-7181,2025-08-12,Alpha,Group A,10,1283.31,0.678,0,1,standard
GEN-7182,2025-08-14,Alpha,Group D,13,,0.686,0,2,standard
GEN-7183,2025-09-19,Delta,Group B,2,485.24,0.497,1,11,standard
GEN-7184,2025-08-05,Beta,Group C,6,1199.26,0.605,1,6,verified
GEN-7185,2025-08-20,Delta,Group A,3,589.49,0.504,1,9,standard
GEN-7186,2025-08-27,Echo,Group B,7,565.99,0.534,1,2,standard
GEN-7187,2025-09-04,Alpha,Group B,5,325.61,0.718,1,7,standard
GEN-7188,2025-09-05,Beta,Group B,12,2676.37,0.713,1,2,verified
GEN-7189,2025-09-09,Foxtrot,Group A,3,748.07,0.408,1,19,partial
GEN-7190,2025-09-18,Gamma,Group D,4,415.41,0.787,1,7,verified
GEN-7191,2025-10-04,Delta,Group D,2,563.49,0.534,1,3,standard
GEN-7192,2025-08-20,Echo,Group A,4,526.98,0.752,1,1,standard
GEN-7193,2025-08-15,Alpha,Group A,8,981.95,0.715,1,4,partial
GEN-7194,2025-10-08,Alpha,Group A,7,1035.21,0.784,1,4,standard
GEN-7195,2025-10-26,Alpha,Group D,10,1177.7,0.662,0,1,standard
GEN-7196,2025-10-15,Beta,Group D,8,1379.79,0.768,0,4,standard
GEN-7197,2025-10-27,Foxtrot,Group D,3,623.57,0.512,1,2,standard
GEN-7198,2025-09-28,Gamma,Group C,6,176.66,0.897,1,11,standard
GEN-7199,2025-10-15,Delta,Group C,1,290.7,0.445,1,1,partial
GEN-7200,2025-09-11,Gamma,Group D,8,842.01,0.738,0,12,verified
GEN-7201,2025-08-12,Delta,Group C,2,381.61,0.588,1,3,verified
GEN-7202,2025-10-15,Gamma,Group C,6,985.56,0.807,0,0,standard
GEN-7203,2025-09-26,Echo,Group B,2,92.93,0.671,1,4,verified
GEN-7204,2025-10-25,Gamma,Group B,7,1155.34,0.988,0,4,standard
GEN-7205,2025-09-09,Foxtrot,Group D,1,177.32,0.503,1,4,standard
GEN-7206,2025-09-26,Echo,Group D,4,346.49,0.548,1,12,standard
GEN-7207,2025-10-16,Gamma,Group A,4,542.41,0.747,0,2,manual review
GEN-7208,2025-11-06,Echo,Group C,5,376.82,0.846,0,2,verified
GEN-7209,2025-11-03,Beta,Group A,3,668.3,0.556,0,6,standard
GEN-7210,2025-08-16,Alpha,Group A,11,1618.71,0.676,1,7,standard
GEN-7211,2025-09-17,Beta,Group A,6,981.16,0.624,0,7,standard
GEN-7212,2025-10-06,Echo,Group B,7,347.1,0.743,0,7,verified
GEN-7213,2025-08-13,Delta,Group D,1,138.0,0.47,1,7,partial
GEN-7214,2025-11-02,Delta,Group C,3,763.13,0.703,0,5,standard
GEN-7215,2025-08-27,Echo,Group B,2,153.88,0.747,0,5,standard
GEN-7216,2025-08-08,Beta,Group C,6,974.61,0.735,1,1,standard
GEN-7217,2025-08-24,Beta,Group A,7,1418.83,0.591,1,4,standard
GEN-7218,2025-10-30,Gamma,Group A,4,0,0.927,0,7,standard
GEN-7219,2025-09-27,Alpha,Group A,8,492.33,0.733,0,5,manual review
GEN-7220,2025-08-02,Alpha,Group B,9,856.88,0.922,0,4,standard
GEN-7221,2025-10-16,Alpha,Group C,11,1669.54,0.689,1,12,standard
GEN-7222,2025-09-10,Alpha,Group B,9,1147.13,0.852,1,10,manual review
GEN-7223,2025-10-29,Echo,Group D,4,299.19,0.835,0,5,standard
GEN-7224,2025-08-13,Gamma,Group D,3,289.46,0.822,1,1,standard
GEN-7225,2025-08-01,Alpha,Group B,7,819.0,0.565,1,5,standard
GEN-7226,2025-11-03,Foxtrot,Group B,1,197.12,0.51,1,5,standard
GEN-7227,2025-11-01,Alpha,Group C,7,763.8,0.807,1,4,standard
GEN-7228,2025-09-21,Alpha,Group D,8,925.67,0.635,0,6,partial
GEN-7229,2025-09-13,Delta,Group B,5,1117.2,0.549,1,8,standard
GEN-7230,2025-09-28,Alpha,Group B,6,657.82,0.672,1,10,standard
GEN-7231,2025-10-27,Beta,Group C,2,405.24,0.566,0,0,standard
GEN-7232,2025-10-30,Alpha,Group D,9,1247.01,0.665,1,2,standard
GEN-7233,2025-10-12,Beta,Group C,13,2434.41,0.624,0,6,manual review
GEN-7234,2025-10-17,Gamma,Group C,3,160.57,0.885,1,15,standard
GEN-7235,2025-10-18,Beta,Group C,7,,0.577,1,1,partial
GEN-7236,2025-09-01,Gamma,Group C,5,526.45,0.753,0,4,standard
GEN-7237,2025-08-01,Echo,Group A,1,17.37,0.699,0,2,verified
GEN-7238,2025-08-18,Delta,Group A,3,414.6,0.609,1,3,standard
GEN-7239,2025-09-25,Beta,Group D,5,624.74,0.746,1,4,standard
GEN-7240,2025-10-06,Alpha,Group B,10,837.6,0.726,0,10,standard
GEN-7241,2025-08-27,Beta,Group A,6,1231.43,0.632,1,12,partial
GEN-7242,2025-10-10,Foxtrot,Group A,1,324.78,0.421,1,9,standard
GEN-7243,2025-10-02,Gamma,Group D,8,385.47,0.815,1,4,verified
GEN-7244,2025-08-14,Gamma,Group A,5,357.8,0.815,1,7,verified
GEN-7245,2025-08-09,Foxtrot,Group B,4,1205.75,0.413,1,8,standard
GEN-7246,2025-10-31,Alpha,Group C,7,767.47,0.679,0,5,standard
GEN-7247,2025-09-30,Foxtrot,Group C,2,382.03,0.723,1,7,standard
GEN-7248,2025-08-27,Beta,Group D,8,1683.84,0.623,0,8,standard
GEN-7249,2025-08-08,Delta,Group D,7,917.96,0.68,0,5,standard
GEN-7250,2025-08-13,Delta,Group C,5,1230.74,0.604,0,1,standard
GEN-7251,2025-10-09,Beta,Group C,4,767.85,0.637,0,11,standard
GEN-7252,2025-08-07,Echo,Group B,7,119.37,0.625,1,7,standard
GEN-7253,2025-10-20,Gamma,Group B,2,233.51,0.832,1,8,standard
GEN-7254,2025-09-19,Gamma,Group C,4,329.01,0.753,0,3,standard
GEN-7255,2025-09-28,Alpha,Group D,12,1046.71,0.724,1,8,standard
GEN-7256,2025-09-26,Beta,Group A,6,1041.34,0.626,1,11,manual review
GEN-7257,2025-09-16,Alpha,Group C,10,342.14,0.764,1,11,standard
GEN-7258,2025-10-14,Gamma,Group D,4,,0.843,0,1,manual review
GEN-7259,2025-09-21,Beta,Group D,12,,0.577,1,6,standard
GEN-7260,2025-11-07,Delta,Group B,8,1378.1,0.683,0,5,standard
GEN-7261,2025-10-08,Alpha,Group D,14,2100.04,0.74,0,0,manual review
GEN-7262,2025-09-28,Beta,Group D,5,1174.54,0.665,1,6,partial
GEN-7263,2025-10-03,Delta,Group C,4,1149.27,0.702,0,2,verified
GEN-7264,2025-11-01,Alpha,Group D,10,1361.02,0.708,0,6,manual review
GEN-7265,2025-09-11,Gamma,Group B,4,465.68,0.742,1,4,manual review
GEN-7266,2025-08-12,Alpha,Group A,6,621.27,0.787,0,7,verified
GEN-7267,2025-08-29,Foxtrot,Group B,2,490.73,0.506,0,3,standard
GEN-7268,2025-08-28,Alpha,Group C,14,850.42,0.756,1,3,standard
GEN-7269,2025-09-02,Alpha,Group B,7,672.74,0.87,1,6,standard
GEN-7270,2025-08-18,Foxtrot,Group A,3,905.59,0.47,1,5,standard
GEN-7271,2025-10-28,Beta,Group D,3,554.5,0.687,1,1,standard
GEN-7272,2025-09-03,Beta,Group A,6,442.02,0.629,1,9,standard
GEN-7273,2025-08-27,Alpha,Group D,10,1091.59,0.834,1,1,standard
GEN-7274,2025-09-25,Alpha,Group B,7,,0.781,1,9,standard
GEN-7275,2025-10-13,Foxtrot,Group C,3,849.32,0.451,0,9,standard
GEN-7276,2025-11-03,Beta,Group B,2,273.33,0.648,0,18,standard
GEN-7277,2025-11-08,Gamma,Group A,8,480.64,0.875,1,6,standard
GEN-7278,2025-11-08,Echo,Group B,4,126.14,0.478,1,2,standard
GEN-7279,2025-10-23,Beta,Group D,7,,0.791,0,5,manual review
GEN-7280,2025-10-15,Echo,Group D,4,329.56,0.635,0,3,partial
GEN-7281,2025-08-11,Alpha,Group A,13,1434.12,0.826,1,9,verified
GEN-7282,2025-08-30,Gamma,Group A,4,357.48,0.899,1,10,standard
GEN-7283,2025-09-23,Beta,Group D,8,1465.11,0.621,1,3,standard
GEN-7284,2025-09-27,Gamma,Group B,8,897.01,0.949,1,8,standard
GEN-7285,2025-08-13,Foxtrot,Group C,3,1044.61,0.578,1,6,standard
GEN-7286,2025-11-08,Delta,Group D,6,1319.68,0.39,1,12,manual review
GEN-7287,2025-10-06,Gamma,Group D,3,,0.898,0,3,standard
GEN-7288,2025-10-18,Echo,Group A,5,266.89,0.643,1,4,standard
GEN-7289,2025-11-01,Alpha,Group C,9,650.95,0.709,1,7,standard
GEN-7290,2025-08-18,Alpha,Group A,5,444.66,0.737,1,2,manual review
GEN-7291,2025-08-13,Foxtrot,Group A,6,1971.66,0.505,1,2,manual review
GEN-7292,2025-10-18,Delta,Group B,5,1339.23,0.615,0,4,standard
GEN-7293,2025-10-20,Delta,Group B,6,,0.782,1,0,verified
GEN-7294,2025-09-02,Alpha,Group C,6,737.1,0.647,1,23,standard
GEN-7295,2025-09-09,Beta,Group B,8,1902.81,0.518,1,0,standard
GEN-7296,2025-11-01,Alpha,Group B,5,694.69,0.715,0,2,standard
GEN-7297,2025-09-08,Alpha,Group D,11,1247.47,0.696,1,4,standard
GEN-7298,2025-09-24,Alpha,Group D,8,1349.19,0.726,1,5,standard
GEN-7299,2025-11-05,Echo,Group C,2,91.61,0.452,1,1,standard
GEN-7300,2025-10-30,Delta,Group B,3,865.45,0.47,1,1,standard
GEN-7301,2025-09-12,Delta,Group C,2,365.41,0.623,1,0,standard
GEN-7302,2025-10-20,Delta,Group C,3,786.09,0.628,0,1,standard
GEN-7303,2025-10-23,Foxtrot,Group A,4,1006.27,0.479,1,4,manual review
GEN-7304,2025-10-06,Echo,Group D,6,662.27,0.747,1,13,standard
GEN-7305,2025-10-29,Alpha,Group A,9,,0.829,1,6,partial
GEN-7306,2025-09-14,Echo,Group D,5,220.36,0.697,1,4,standard
GEN-7307,2025-10-20,Gamma,Group D,7,690.85,0.713,1,6,standard
GEN-7308,2025-08-10,Foxtrot,Group C,4,1034.62,0.528,0,5,standard
GEN-7309,2025-09-17,Delta,Group A,4,938.6,0.523,0,5,verified
GEN-7310,2025-10-22,Echo,Group D,2,151.22,0.704,1,2,standard
GEN-7311,2025-10-03,Alpha,Group D,8,1008.32,0.832,1,7,verified
GEN-7312,2025-09-17,Gamma,Group B,6,571.62,0.69,0,2,standard
GEN-7313,2025-10-17,Gamma,Group A,4,248.21,0.931,1,6,verified
GEN-7314,2025-09-07,Alpha,Group A,5,836.71,0.889,1,16,standard
GEN-7315,2025-10-05,Alpha,Group D,9,1275.95,0.697,1,11,standard
GEN-7316,2025-10-15,Beta,Group C,7,1190.58,0.67,1,8,manual review
GEN-7317,2025-10-31,Alpha,Group A,6,656.9,0.843,0,9,standard
GEN-7318,2025-10-08,Alpha,Group D,7,,0.629,1,3,verified
GEN-7319,2025-10-29,Foxtrot,Group C,4,989.39,0.565,1,2,manual review
GEN-7320,2025-10-07,Alpha,Group B,5,610.27,0.681,1,4,standard
GEN-7321,2025-08-14,Gamma,Group C,7,1264.31,0.777,1,2,standard
GEN-7322,2025-08-03,Foxtrot,Group A,5,993.82,0.381,1,2,manual review
GEN-7323,2025-09-19,Echo,Group B,3,,0.758,0,3,manual review
GEN-7324,2025-08-30,Foxtrot,Group A,2,528.2,0.383,1,2,standard
GEN-7325,2025-10-07,Delta,Group B,6,1067.87,0.463,1,15,partial
GEN-7326,2025-09-15,Foxtrot,Group C,4,,0.618,1,6,verified
GEN-7327,2025-08-21,Beta,Group B,4,698.24,0.686,0,3,standard
GEN-7328,2025-10-25,Echo,Group A,7,868.99,0.668,1,1,standard
GEN-7329,2025-08-11,Delta,Group B,6,1147.14,0.675,1,3,standard
GEN-7330,2025-10-08,Beta,Group B,6,1406.43,0.575,0,7,standard
GEN-7331,2025-09-19,Echo,Group D,4,223.77,0.874,1,7,partial
GEN-7332,2025-11-03,Beta,Group A,5,881.67,0.695,1,0,verified
GEN-7333,2025-10-26,Delta,Group D,6,1554.31,0.492,1,2,standard
GEN-7334,2025-08-27,Gamma,Group A,7,1268.52,0.866,0,2,verified
GEN-7335,2025-10-23,Beta,Group D,6,,0.568,0,9,standard
GEN-7336,2025-10-23,Alpha,Group B,11,1615.46,0.679,1,5,standard
GEN-7337,2025-10-29,Beta,Group B,5,1132.81,0.753,1,13,standard
GEN-7338,2025-10-25,Delta,Group A,6,1001.99,0.547,1,4,standard
GEN-7339,2025-10-21,Alpha,Group C,4,663.69,0.633,0,2,standard
