reading_id,reading_date,site,solar_kwh,load_kwh,grid_import_kwh,grid_export_kwh,battery_discharge_kwh,temperature_c,data_quality
EN-3045,2025-12-12,West,40.45,46.25,26.71,16.12,11.63,19.9,ok
EN-3046,2025-12-12,North,50.08,38.61,12.57,30.59,4.95,27.6,ok
EN-3047,2025-12-12,East,53.3,42.69,19.69,27.75,9.03,27.0,ok
EN-3048,2025-12-13,East,45.29,35.19,11.92,28.13,15.57,22.1,ok
EN-3049,2025-12-13,South,46.01,56.73,44.19,11.41,8.07,19.4,ok
EN-3050,2025-12-13,North,59.72,38.67,9.25,38.44,18.14,27.0,ok
EN-3051,2025-12-13,West,16.06,42.37,37.09,0.0,17.35,20.3,ok
EN-3052,2025-12-14,West,42.65,26.96,5.52,33.63,9.69,16.8,ok
EN-3053,2025-12-14,West,26.19,46.27,24.28,4.75,12.34,17.1,ok
EN-3054,2025-12-14,West,25.29,46.1,37.94,3.9,22.02,22.2,estimated
EN-3055,2025-12-14,West,42.8,41.76,20.81,20.56,9.64,14.0,ok
EN-3056,2025-12-15,North,54.61,29.22,0.0,41.34,9.95,28.6,ok
EN-3057,2025-12-15,North,49.57,36.52,16.11,30.15,5.44,26.4,ok
EN-3058,2025-12-15,South,38.62,60.85,39.93,2.92,10.53,20.9,ok
EN-3059,2025-12-15,South,38.93,54.49,36.02,9.18,14.91,34.3,estimated
EN-3060,2025-12-16,East,41.85,40.32,15.87,16.31,6.69,23.3,partial
EN-3061,2025-12-16,West,43.19,35.62,15.87,25.74,2.94,21.5,estimated
EN-3062,2025-12-16,West,36.08,28.33,8.29,19.27,17.78,24.5,ok
EN-3063,2025-12-16,West,32.62,48.04,39.03,3.24,16.9,26.7,ok
EN-3064,2025-12-17,North,35.71,56.53,44.18,6.05,6.34,30.9,ok
EN-3065,2025-12-17,East,32.64,41.58,25.18,13.77,8.22,23.4,ok
EN-3066,2025-12-17,North,70.57,35.27,5.71,51.74,11.8,27.1,partial
EN-3067,2025-12-17,South,39.34,69.7,52.13,5.37,13.36,24.2,ok
EN-3068,2025-12-18,East,50.61,47.89,31.86,28.96,7.13,21.1,ok
EN-3069,2025-12-18,North,61.04,42.71,18.2,38.35,16.74,28.8,ok
EN-3070,2025-12-18,West,36.83,48.42,34.93,17.93,12.49,27.3,ok
EN-3071,2025-12-18,South,33.0,51.49,34.54,14.73,17.56,33.2,estimated
EN-3072,2025-12-19,East,40.81,50.26,30.26,22.6,0.56,31.6,ok
EN-3073,2025-12-19,West,24.6,39.95,27.83,4.59,19.66,25.9,ok
EN-3074,2025-12-19,West,45.09,36.2,12.36,22.97,23.82,19.8,estimated
EN-3075,2025-12-19,East,39.32,35.63,19.23,21.03,8.72,25.3,ok
EN-3076,2025-12-20,East,43.43,55.24,40.42,16.83,3.94,24.0,ok
EN-3077,2025-12-20,North,42.37,44.58,30.4,14.23,7.18,21.0,partial
EN-3078,2025-12-20,East,51.28,31.0,13.31,37.13,14.89,24.9,ok
EN-3079,2025-12-20,West,18.91,35.6,26.29,2.06,13.87,23.6,ok
EN-3080,2025-12-21,East,29.12,39.7,33.42,2.74,11.55,30.0,ok
EN-3081,2025-12-21,North,57.66,43.1,16.28,38.64,15.33,18.9,ok
EN-3082,2025-12-21,West,47.13,30.75,6.81,35.59,19.83,19.5,ok
EN-3083,2025-12-21,South,25.12,64.57,49.62,0.0,12.84,28.2,ok
EN-3084,2025-12-22,South,38.27,48.91,30.45,16.41,10.52,24.8,ok
EN-3085,2025-12-22,South,34.73,63.18,42.11,0.0,18.61,23.8,ok
EN-3086,2025-12-22,West,36.82,33.67,8.47,19.87,15.78,23.7,ok
EN-3087,2025-12-22,West,49.53,21.58,3.45,39.82,18.34,28.6,ok
EN-3088,2025-12-23,North,53.39,46.04,20.4,29.24,15.1,24.4,ok
EN-3089,2025-12-23,North,53.79,31.78,10.58,31.53,19.4,25.6,ok
EN-3090,2025-12-23,West,28.71,38.26,21.46,3.86,10.75,21.1,ok
EN-3091,2025-12-23,East,36.13,45.07,36.53,14.35,14.12,19.7,ok
EN-3092,2025-12-24,West,47.77,44.56,26.43,21.22,14.42,20.0,ok
EN-3093,2025-12-24,North,30.7,42.93,34.49,2.05,8.06,23.9,ok
EN-3094,2025-12-24,East,46.77,36.69,19.05,17.86,13.42,18.2,ok
EN-3095,2025-12-24,South,39.9,58.35,41.65,6.78,15.2,17.8,ok
EN-3096,2025-12-25,East,29.22,39.93,32.77,7.52,5.71,16.0,partial
EN-3097,2025-12-25,East,49.22,46.06,27.13,19.57,3.53,20.8,ok
EN-3098,2025-12-25,South,46.39,59.8,42.04,11.61,15.45,25.1,ok
EN-3099,2025-12-25,North,35.96,43.34,35.89,8.88,16.18,27.8,ok
EN-3100,2025-12-26,East,41.08,39.73,24.23,17.72,8.52,16.5,ok
EN-3101,2025-12-26,North,51.41,36.07,9.03,27.88,21.33,23.9,ok
EN-3102,2025-12-26,North,56.77,34.24,8.87,35.07,0.0,29.0,estimated
EN-3103,2025-12-26,West,46.64,33.34,7.52,21.59,13.43,29.4,partial
EN-3104,2025-12-27,South,34.65,38.69,22.7,15.36,9.76,29.1,ok
EN-3105,2025-12-27,West,47.97,46.11,25.46,18.33,5.09,20.2,ok
EN-3106,2025-12-27,South,16.41,68.89,63.24,0.0,11.12,25.7,estimated
EN-3107,2025-12-27,West,26.34,30.86,25.71,10.42,18.2,14.5,ok
EN-3108,2025-12-28,South,28.38,48.98,40.46,0.0,18.62,30.0,ok
EN-3109,2025-12-28,East,27.7,39.12,30.47,1.33,24.04,29.3,ok
EN-3110,2025-12-28,South,33.53,62.74,47.28,1.62,7.29,21.0,ok
EN-3111,2025-12-28,North,46.52,52.17,24.08,22.44,10.1,20.0,estimated
EN-3112,2025-12-29,South,35.95,66.11,52.35,0.0,7.2,23.6,ok
EN-3113,2025-12-29,West,30.15,37.81,22.65,3.72,13.73,21.8,estimated
EN-3114,2025-12-29,North,65.3,41.84,9.34,43.84,7.94,22.0,ok
EN-3115,2025-12-29,West,18.56,28.38,15.35,5.56,10.61,16.5,ok
EN-3116,2025-12-30,South,31.96,52.03,42.75,1.62,8.6,27.2,ok
EN-3117,2025-12-30,North,57.11,46.33,20.08,28.28,9.93,17.5,ok
EN-3118,2025-12-30,West,24.91,35.24,22.59,12.54,12.71,20.1,ok
EN-3119,2025-12-30,West,19.49,30.86,23.1,0.0,11.01,28.9,ok
EN-3120,2025-12-31,West,50.94,35.92,9.55,34.43,16.61,26.7,ok
EN-3121,2025-12-31,East,58.57,45.37,21.0,34.48,6.91,21.1,ok
EN-3122,2025-12-31,South,33.95,54.67,43.24,0.0,9.39,25.4,ok
EN-3123,2025-12-31,North,50.49,36.23,13.93,35.32,13.71,17.9,ok
EN-3124,2026-01-01,West,39.77,33.66,19.33,26.53,11.58,23.8,estimated
EN-3125,2026-01-01,East,58.86,44.22,16.73,30.79,16.45,21.6,ok
EN-3126,2026-01-01,South,43.7,62.83,33.12,14.82,12.67,24.3,ok
EN-3127,2026-01-01,East,53.26,31.89,7.99,33.78,14.51,15.3,ok
EN-3128,2026-01-02,South,29.0,52.17,40.81,0.0,13.02,30.8,estimated
EN-3129,2026-01-02,South,38.94,61.08,38.92,10.0,6.02,19.0,ok
EN-3130,2026-01-02,East,57.34,39.1,7.99,33.92,15.47,22.2,estimated
EN-3131,2026-01-02,North,45.71,41.75,18.56,23.41,8.98,25.1,ok
EN-3132,2026-01-03,West,13.85,43.62,30.26,0.0,11.43,22.7,ok
EN-3133,2026-01-03,West,22.06,35.17,27.95,2.54,11.89,22.4,ok
EN-3134,2026-01-03,North,38.29,42.29,28.74,13.54,16.67,33.3,ok
EN-3135,2026-01-03,East,39.92,42.56,26.71,9.71,14.55,23.9,partial
EN-3136,2026-01-04,South,35.47,73.57,61.46,0.0,3.45,25.1,ok
EN-3137,2026-01-04,East,50.75,40.01,16.98,26.17,17.11,26.2,estimated
EN-3138,2026-01-04,South,35.67,61.92,46.03,0.0,5.24,22.1,ok
EN-3139,2026-01-04,North,65.67,33.84,5.72,44.81,4.77,21.7,ok
EN-3140,2026-01-05,West,31.52,34.24,15.22,7.56,10.59,35.6,ok
EN-3141,2026-01-05,West,21.25,27.6,24.0,6.49,10.22,20.5,estimated
EN-3142,2026-01-05,West,32.98,30.58,15.46,19.67,19.87,28.5,partial
EN-3143,2026-01-05,North,51.08,47.82,15.41,19.68,14.95,24.7,ok
EN-3144,2026-01-06,South,32.72,53.94,42.16,1.24,12.19,22.0,ok
EN-3145,2026-01-06,North,68.08,44.44,8.18,42.05,20.6,26.0,ok
EN-3146,2026-01-06,North,42.05,45.32,19.6,8.76,4.18,25.4,ok
EN-3147,2026-01-06,East,38.24,36.38,19.94,19.11,5.64,24.0,ok
EN-3148,2026-01-07,West,37.61,34.43,19.57,17.14,21.93,20.9,ok
EN-3149,2026-01-07,West,28.67,35.6,19.02,8.95,21.97,30.2,ok
EN-3150,2026-01-07,North,51.79,33.51,13.11,34.66,4.27,25.1,ok
EN-3151,2026-01-07,West,21.33,38.2,34.4,0.65,17.63,22.7,ok
EN-3152,2026-01-08,East,36.41,46.2,39.06,10.56,10.41,24.2,ok
EN-3153,2026-01-08,South,37.51,57.51,42.96,6.7,1.37,27.6,ok
EN-3154,2026-01-08,North,47.15,49.59,28.19,16.58,13.49,33.1,ok
EN-3155,2026-01-08,East,39.93,24.0,6.67,32.79,20.34,27.5,estimated
EN-3156,2026-01-09,East,54.35,33.32,18.98,37.99,4.4,22.3,ok
EN-3157,2026-01-09,South,14.39,65.46,50.87,0.0,15.11,24.2,ok
EN-3158,2026-01-09,North,63.11,50.87,26.03,31.97,13.73,25.9,ok
EN-3159,2026-01-09,North,39.88,46.7,28.39,11.77,5.19,28.3,ok
EN-3160,2026-01-10,South,25.99,57.23,44.88,0.79,13.35,30.6,ok
EN-3161,2026-01-10,East,55.69,61.17,38.69,19.23,14.9,17.5,ok
EN-3162,2026-01-10,South,40.96,64.35,44.63,4.67,10.75,26.2,ok
EN-3163,2026-01-10,South,37.68,62.46,40.15,12.74,5.16,40.6,ok
EN-3164,2026-01-11,South,39.57,55.4,41.68,6.68,15.85,34.6,ok
EN-3165,2026-01-11,North,36.05,36.86,13.65,20.2,14.17,27.7,ok
EN-3166,2026-01-11,West,22.82,35.1,31.65,4.34,10.92,21.7,ok
EN-3167,2026-01-11,South,43.73,57.52,31.85,9.12,16.14,20.4,ok
EN-3168,2026-01-12,South,26.85,64.14,61.49,0.0,10.34,25.3,ok
EN-3169,2026-01-12,North,35.01,47.3,39.79,7.19,12.27,25.0,ok
EN-3170,2026-01-12,North,48.24,30.74,14.86,25.71,12.98,24.1,ok
EN-3171,2026-01-12,West,45.3,33.46,17.24,23.84,10.03,20.0,ok
EN-3172,2026-01-13,East,58.98,30.02,5.74,41.08,12.83,24.2,ok
EN-3173,2026-01-13,South,38.99,54.79,27.42,7.1,14.77,18.1,ok
EN-3174,2026-01-13,North,46.46,37.86,21.53,22.83,8.63,28.0,ok
EN-3175,2026-01-13,East,52.15,50.51,37.4,23.95,15.94,23.4,estimated
EN-3176,2026-01-14,East,50.2,40.99,19.13,28.1,14.55,30.3,ok
EN-3177,2026-01-14,South,45.83,74.69,61.62,8.95,12.06,27.2,ok
EN-3178,2026-01-14,South,30.77,59.15,44.96,0.0,0.0,39.4,ok
EN-3179,2026-01-14,East,44.17,35.6,16.13,16.4,15.94,34.6,ok
EN-3180,2026-01-15,East,39.92,49.88,21.43,11.84,10.53,20.0,ok
EN-3181,2026-01-15,West,18.22,47.8,44.27,0.0,9.77,24.9,estimated
EN-3182,2026-01-15,South,27.11,49.93,42.02,0.0,12.21,20.1,ok
EN-3183,2026-01-15,West,26.82,34.52,17.72,0.0,12.91,36.5,ok
EN-3184,2026-01-16,North,54.2,46.65,16.12,34.44,2.01,25.2,ok
EN-3185,2026-01-16,East,44.77,33.28,9.84,28.29,6.08,27.0,ok
EN-3186,2026-01-16,North,40.67,34.23,14.03,14.74,7.23,25.1,ok
EN-3187,2026-01-16,East,32.28,44.9,25.72,8.84,14.38,18.7,ok
EN-3188,2026-01-17,South,36.96,55.22,36.15,7.69,6.22,21.3,ok
EN-3189,2026-01-17,North,38.23,36.96,19.37,18.68,16.27,32.0,ok
EN-3190,2026-01-17,East,53.63,40.65,29.22,38.36,10.19,16.3,ok
EN-3191,2026-01-17,East,38.53,35.44,13.92,15.46,11.45,17.5,ok
EN-3192,2026-01-18,South,47.21,47.78,27.71,16.05,4.23,21.4,estimated
EN-3193,2026-01-18,North,53.87,32.94,14.43,33.87,18.78,31.2,ok
EN-3194,2026-01-18,North,51.2,48.24,20.29,26.37,7.07,18.6,estimated
EN-3195,2026-01-18,West,32.11,25.42,11.11,21.29,15.8,24.8,ok
EN-3196,2026-01-19,East,47.68,30.09,16.28,33.53,14.27,25.5,ok
EN-3197,2026-01-19,West,24.82,41.77,27.31,3.69,9.54,23.4,ok
EN-3198,2026-01-19,South,31.58,43.15,24.62,2.0,8.53,16.2,ok
EN-3199,2026-01-19,West,33.11,42.96,23.53,10.8,15.64,24.4,ok
EN-3200,2026-01-20,West,32.79,37.15,21.95,12.42,14.53,32.1,ok
EN-3201,2026-01-20,West,37.46,31.97,18.04,16.23,12.08,19.3,ok
EN-3202,2026-01-20,East,34.12,36.96,20.01,9.4,15.89,19.2,ok
EN-3203,2026-01-20,South,42.76,46.08,21.19,20.03,7.56,22.7,ok
EN-3204,2026-01-21,East,47.28,46.62,24.86,18.47,13.65,24.4,ok
EN-3205,2026-01-21,East,38.99,40.83,26.58,18.72,9.09,23.2,ok
EN-3206,2026-01-21,South,30.81,55.06,40.04,2.93,14.89,27.0,ok
EN-3207,2026-01-21,North,54.53,46.24,17.49,29.42,5.01,22.6,ok
EN-3208,2026-01-22,East,29.26,40.11,18.95,7.1,11.08,21.7,ok
EN-3209,2026-01-22,West,39.49,29.21,10.17,25.69,11.85,21.4,estimated
EN-3210,2026-01-22,North,62.43,40.16,16.02,41.33,5.27,26.3,ok
EN-3211,2026-01-22,South,28.82,52.0,36.76,2.44,19.38,14.4,ok
EN-3212,2026-01-23,South,41.56,63.92,38.65,8.84,12.57,30.3,ok
EN-3213,2026-01-23,East,45.56,46.24,32.93,13.32,15.94,25.9,ok
EN-3214,2026-01-23,South,41.66,54.79,35.67,11.93,11.41,28.5,ok
EN-3215,2026-01-23,North,41.98,29.31,23.36,26.99,9.96,26.6,estimated
EN-3216,2026-01-24,East,35.02,38.49,19.67,14.09,11.31,23.3,ok
EN-3217,2026-01-24,West,36.72,40.08,19.69,14.04,6.19,21.6,ok
EN-3218,2026-01-24,South,24.08,64.19,49.0,0.0,11.96,33.3,estimated
EN-3219,2026-01-24,West,40.38,41.15,23.43,7.83,5.05,24.4,ok
EN-3220,2026-01-25,South,49.29,62.23,44.48,12.83,8.49,35.3,ok
EN-3221,2026-01-25,West,26.14,30.83,17.03,13.75,13.56,31.2,ok
EN-3222,2026-01-25,North,58.25,46.17,23.71,29.78,11.77,15.2,partial
EN-3223,2026-01-25,North,54.49,43.4,18.02,35.68,3.88,20.6,ok
EN-3224,2026-01-26,West,26.9,27.9,19.5,8.86,13.64,27.2,ok
EN-3225,2026-01-26,West,16.22,33.72,23.69,0.0,12.04,22.7,ok
EN-3226,2026-01-26,East,49.33,37.23,14.66,27.52,9.26,27.2,ok
EN-3227,2026-01-26,South,45.76,61.25,38.62,14.83,14.11,15.0,ok
EN-3228,2026-01-27,North,30.93,47.54,31.98,2.56,14.31,21.4,estimated
EN-3229,2026-01-27,South,36.15,60.08,39.38,0.0,13.34,17.0,ok
EN-3230,2026-01-27,North,22.15,34.35,23.38,0.0,10.0,35.0,ok
EN-3231,2026-01-27,East,61.46,52.2,20.5,29.14,9.83,27.2,ok
EN-3232,2026-01-28,North,60.06,50.03,21.71,33.37,10.37,37.3,ok
EN-3233,2026-01-28,West,21.67,32.17,18.74,0.0,4.59,32.0,ok
EN-3234,2026-01-28,West,21.64,42.5,31.1,4.94,15.03,18.4,ok
EN-3235,2026-01-28,North,78.32,31.53,0.0,63.72,12.91,17.7,ok
EN-3236,2026-01-29,South,27.12,51.87,38.2,1.93,6.71,25.2,ok
EN-3237,2026-01-29,North,57.51,42.41,12.15,33.16,19.53,28.1,ok
EN-3238,2026-01-29,West,37.33,32.46,15.37,22.2,15.77,25.2,ok
EN-3239,2026-01-29,South,41.14,71.04,52.78,0.0,0.0,29.9,ok
EN-3240,2026-01-30,North,55.32,34.15,1.0,35.87,15.99,28.3,ok
EN-3241,2026-01-30,West,14.54,21.45,17.41,8.82,13.03,16.0,ok
EN-3242,2026-01-30,North,54.42,46.57,27.88,25.87,17.61,23.6,estimated
EN-3243,2026-01-30,North,42.04,40.06,19.96,14.26,18.62,17.9,ok
EN-3244,2026-01-31,East,47.73,48.12,27.77,17.78,5.92,30.6,ok
EN-3245,2026-01-31,North,54.94,44.64,17.04,23.34,14.79,19.7,estimated
EN-3246,2026-01-31,North,49.6,30.97,12.89,33.47,17.63,22.7,ok
EN-3247,2026-01-31,West,35.31,22.55,9.19,27.41,7.14,23.8,estimated
EN-3248,2026-02-01,West,8.86,41.08,41.86,0.0,13.63,21.5,ok
EN-3249,2026-02-01,South,31.53,66.23,51.69,0.0,18.11,33.5,ok
EN-3250,2026-02-01,South,35.97,57.27,38.78,2.57,11.89,27.5,ok
EN-3251,2026-02-01,West,45.74,41.03,24.32,27.29,13.67,29.3,ok
EN-3252,2026-02-02,East,37.71,35.29,25.17,15.95,14.22,19.1,ok
EN-3253,2026-02-02,South,46.87,64.7,36.01,12.37,17.39,30.8,estimated
EN-3254,2026-02-02,East,46.61,42.01,24.25,12.89,20.35,24.5,ok
EN-3255,2026-02-02,East,38.24,34.86,17.31,17.84,13.96,21.4,ok
EN-3256,2026-02-03,South,41.78,44.39,25.41,21.51,8.88,32.1,ok
EN-3257,2026-02-03,South,26.87,73.91,66.68,0.0,7.05,39.6,ok
EN-3258,2026-02-03,South,53.7,67.68,45.16,17.94,12.39,25.3,ok
EN-3259,2026-02-03,South,45.74,52.13,26.86,21.83,7.01,24.8,estimated
EN-3260,2026-02-04,North,58.92,48.13,20.32,35.51,16.72,20.1,ok
EN-3261,2026-02-04,East,19.51,43.38,28.25,0.0,14.9,31.8,ok
EN-3262,2026-02-04,North,52.38,38.46,14.9,34.85,20.12,33.2,ok
EN-3263,2026-02-04,West,37.94,37.07,20.33,17.47,15.91,32.8,ok
EN-3264,2026-02-05,South,38.15,52.69,36.21,8.77,19.73,20.9,ok
EN-3265,2026-02-05,South,42.35,68.2,48.89,0.75,5.63,28.5,ok
EN-3266,2026-02-05,South,27.26,65.27,61.02,0.0,12.92,28.9,ok
EN-3267,2026-02-05,West,40.19,48.36,42.1,22.97,9.22,23.3,ok
EN-3268,2026-02-06,South,13.8,63.55,66.39,0.0,17.29,27.8,ok
EN-3269,2026-02-06,West,46.89,24.63,3.68,29.79,7.28,28.9,ok
EN-3270,2026-02-06,East,34.15,29.55,8.67,25.14,21.33,25.2,ok
EN-3271,2026-02-06,East,54.04,46.54,13.99,20.44,21.92,23.2,ok
EN-3272,2026-02-07,North,35.09,42.78,30.58,20.0,9.85,28.3,ok
EN-3273,2026-02-07,North,39.29,39.11,23.83,17.75,16.45,20.4,ok
EN-3274,2026-02-07,East,17.81,26.21,15.78,0.0,7.75,30.0,ok
EN-3275,2026-02-07,North,39.62,35.41,18.61,13.89,17.36,24.1,estimated
EN-3276,2026-02-08,West,33.29,35.98,20.98,8.6,4.87,29.6,ok
EN-3277,2026-02-08,South,34.0,56.09,46.24,3.28,11.81,28.5,ok
EN-3278,2026-02-08,North,52.87,34.61,6.91,32.21,6.27,24.7,ok
EN-3279,2026-02-08,North,63.55,34.26,10.83,46.86,15.76,24.3,ok
EN-3280,2026-02-09,West,29.58,34.75,32.87,14.49,8.24,31.3,ok
EN-3281,2026-02-09,South,35.42,69.38,51.24,0.0,11.41,19.8,ok
EN-3282,2026-02-09,East,40.45,52.35,38.77,9.36,0.51,19.4,ok
EN-3283,2026-02-09,North,54.9,34.41,9.25,36.65,16.6,24.7,ok
EN-3284,2026-02-10,East,40.35,43.12,29.21,18.33,12.27,22.8,partial
EN-3285,2026-02-10,South,24.8,52.22,43.42,0.0,8.53,30.4,ok
EN-3286,2026-02-10,East,40.56,34.91,13.96,22.36,15.15,18.5,estimated
EN-3287,2026-02-10,East,45.07,32.99,2.14,24.98,17.01,25.7,ok
