crm_record_id,lead_id,created_date,lead_source,customer_journey_stage,owner_team,region,lead_count,qualified_lead_flag,opportunity_created,closed_won_count,callback_required,contact_attempts,estimated_pipeline_value_aud,realized_revenue_aud,days_to_contact,days_in_stage,priority_tier
CRM-2026-1014,L-97051,2026-02-17,Website Form,Proposal,North Team,NSW,3,1,1,0,0,4,690.17,92.08,0,10,Medium
CRM-2026-1015,L-28271,2026-03-21,Website Form,Contacted,SMB Team,QLD,4,0,0,0,1,5,,,3,10,Low
CRM-2026-1016,L-43484,2026-01-26,Email Nurture,Qualified,Enterprise Team,SA,4,1,1,0,0,4,2962.06,,0,8,Medium
CRM-2026-1017,L-60189,2026-03-19,Event,Negotiation,SMB Team,WA,3,1,1,0,0,4,3991.75,,1,11,High
CRM-2026-1018,L-47950,2026-01-30,Referral,Contacted,South Team,SA,3,0,0,0,0,2,8265.89,,3,15,Medium
CRM-2026-1019,L-90362,2026-02-10,Referral,Contacted,Enterprise Team,VIC,5,1,0,0,1,6,8408.07,,4,3,Medium
CRM-2026-1020,L-64762,2026-03-14,Website Form,New Lead,South Team,NSW,2,0,0,0,1,7,,,2,9,High
CRM-2026-1021,L-87659,2026-04-06,Outbound,Qualified,South Team,WA,5,1,1,0,0,3,2652.3,,3,12,Medium
CRM-2026-1022,L-87970,2026-02-01,Website Form,Qualified,South Team,SA,2,1,0,0,1,6,1741.62,,1,8,Medium
CRM-2026-1023,L-26331,2026-02-06,Outbound,Negotiation,South Team,WA,2,1,1,0,0,1,3490.53,,1,9,Medium
CRM-2026-1024,L-24235,2026-01-26,Referral,Proposal,Enterprise Team,NSW,4,1,1,0,1,4,3778.41,,1,14,Strategic
CRM-2026-1025,L-85675,2026-03-02,Website Form,Proposal,South Team,QLD,7,1,1,0,0,2,1902.23,,3,29,Strategic
CRM-2026-1026,L-40742,2026-04-04,event,New Lead,SMB Team,QLD,4,1,0,0,0,1,2092.73,197.98,0,10,High
CRM-2026-1027,L-14459,2026-02-07,Website Form,Contacted,North Team,WA,6,1,0,0,1,6,4846.57,1141.36,2,11,Medium
CRM-2026-1028,L-94874,2026-01-25,Website Form,Proposal,South Team,SA,2,1,1,0,1,6,2892.4,,4,14,Medium
CRM-2026-1029,L-68439,2026-04-17,Event,Closed Won,North Team,SA,4,1,1,1,1,5,3132.6,2892.52,3,14,High
CRM-2026-1030,L-59320,2026-01-18,Referral,Closed Lost,SMB Team,VIC,5,0,1,0,1,4,7519.4,681.63,3,8,Medium
CRM-2026-1031,L-27826,2026-01-14,Referral,qualified,Enterprise Team,VIC,2,1,0,0,0,5,2969.26,,3,1,Medium
CRM-2026-1032,L-41760,2026-01-12,Event,Contacted,North Team,NSW,4,0,1,0,0,4,,,2,10,Low
CRM-2026-1033,L-26412,2026-04-09,Referral,Contacted,Enterprise Team,QLD,2,0,0,0,0,4,,,2,5,Medium
CRM-2026-1034,L-63063,2026-02-10,Partner,Qualified,SMB Team,VIC,5,1,1,0,1,5,6206.82,,4,13,High
CRM-2026-1035,L-79635,2026-01-06,Outbound,Contacted,South Team,NSW,4,0,0,0,0,2,4771.19,,4,9,Strategic
CRM-2026-1036,L-19496,2026-04-19,Email Nurture,Qualified,North Team,VIC,2,1,0,0,1,7,2116.62,,3,10,High
CRM-2026-1037,L-34907,2026-02-26,Partner,Qualified,North Team,NSW,3,1,0,0,0,6,4494.78,,2,10,Medium
CRM-2026-1038,L-25965,2026-02-15,Website Form,Contacted,North Team,WA,4,0,0,0,1,6,1241.15,276.02,4,10,Medium
CRM-2026-1039,L-57606,2026-02-20,Email Nurture,Qualified,Enterprise Team,QLD,9,1,0,0,0,2,2031.09,,2,8,High
CRM-2026-1040,L-63939,2026-04-20,Referral,proposal,North Team,VIC,3,1,1,0,1,4,4892.61,435.54,2,1,High
CRM-2026-1041,L-57681,2026-03-05,Referral,New Lead,North Team,SA,5,0,0,0,0,2,2522.26,,4,12,High
CRM-2026-1042,L-56665,2026-02-13,Email Nurture,Qualified,South Team,SA,3,1,0,0,1,5,1500.43,,2,6,Strategic
CRM-2026-1043,L-75672,2026-02-28,website form,New Lead,North Team,QLD,1,0,0,0,0,2,2766.24,,3,7,Medium
CRM-2026-1044,L-36245,2026-03-24,Outbound,New Lead,SMB Team,NSW,3,1,1,0,1,8,3558.57,,3,5,Medium
CRM-2026-1045,L-61889,2026-02-08,Website Form,New Lead,North Team,SA,4,1,0,0,0,7,,,3,16,Low
CRM-2026-1046,L-83972,2026-04-20,Event,New Lead,South Team,VIC,3,0,0,0,1,5,3461.35,,4,20,Medium
CRM-2026-1047,L-56832,2026-03-05,Partner,New Lead,Enterprise Team,VIC,3,0,0,0,1,5,8021.08,,2,10,Medium
CRM-2026-1048,L-31602,2026-03-24,Partner,Negotiation,South Team,SA,5,1,1,0,1,6,3594.91,,2,5,Medium
CRM-2026-1049,L-20181,2026-01-17,Website Form,New Lead,North Team,VIC,6,0,0,0,0,2,2340.35,,3,13,Low
CRM-2026-1050,L-46436,2026-04-21,Email Nurture,New Lead,North Team,SA,3,0,0,0,0,3,2605.0,,2,19,High
CRM-2026-1051,L-20087,2026-04-10,Outbound,New Lead,Enterprise Team,QLD,7,1,0,0,1,4,4564.69,,2,17,High
CRM-2026-1052,L-19205,2026-01-23,Website Form,Qualified,South Team,WA,6,1,1,0,0,4,2555.64,,2,16,Medium
CRM-2026-1053,L-29312,2026-02-10,Partner,Proposal,North Team,SA,4,1,1,0,0,5,3543.14,,5,17,Low
CRM-2026-1054,L-73788,2026-04-21,Email Nurture,new_lead,SMB Team,QLD,5,0,0,0,1,6,2077.66,130.26,0,19,Low
CRM-2026-1055,L-94065,2026-01-14,Partner,Closed Won,Enterprise Team,SA,3,1,1,1,0,2,1067.91,1215.34,0,19,Low
CRM-2026-1056,L-51078,2026-02-23,Email Nurture,Contacted,North Team,QLD,2,1,1,0,1,9,1856.82,,0,11,Medium
CRM-2026-1057,L-79540,2026-02-03,Referral,New Lead,Enterprise Team,VIC,6,0,1,0,0,4,6672.98,,2,24,Strategic
CRM-2026-1058,L-13471,2026-02-20,Outbound,New Lead,SMB Team,WA,4,0,0,0,0,2,3814.78,,2,16,Medium
CRM-2026-1059,L-72258,2026-02-13,Partner,New Lead,South Team,VIC,3,0,1,0,0,1,6413.51,,6,5,Medium
CRM-2026-1060,L-66381,2026-04-03,Event,New Lead,South Team,SA,6,0,0,0,0,6,2674.25,,5,5,Medium
CRM-2026-1061,L-96313,2026-03-13,Outbound,Qualified,South Team,NSW,1,1,1,0,0,2,2982.91,,2,24,High
CRM-2026-1062,L-14986,2026-02-17,Referral,Qualified,South Team,NSW,5,1,0,0,0,2,8436.94,,1,12,Medium
CRM-2026-1063,L-25409,2026-02-15,Partner,Proposal,North Team,WA,5,1,1,0,1,6,5530.54,,0,5,Medium
CRM-2026-1064,L-29475,2026-01-20,Event,Proposal,North Team,NSW,3,1,1,0,1,5,4181.67,,0,13,Low
CRM-2026-1065,L-57356,2026-02-13,Outbound,Contacted,South Team,QLD,4,0,0,0,0,1,5006.72,924.75,0,26,High
CRM-2026-1066,L-53648,2026-03-07,Outbound,Qualified,South Team,WA,2,1,0,0,1,6,1595.43,,3,23,High
CRM-2026-1067,L-24041,2026-04-18,Email Nurture,Proposal,Enterprise Team,SA,6,1,1,0,1,5,42.03,,3,1,High
CRM-2026-1068,L-78013,2026-04-17,Website Form,Contacted,South Team,QLD,4,0,0,0,0,2,2420.73,,3,8,High
CRM-2026-1069,L-26255,2026-02-22,Website Form,Proposal,South Team,WA,3,1,1,0,1,7,2917.38,,2,27,Medium
CRM-2026-1070,L-38880,2026-03-12,Partner,Qualified,North Team,QLD,3,1,0,0,1,6,7527.89,,2,11,Medium
CRM-2026-1071,L-93799,2026-04-22,Partner,Closed Lost,South Team,SA,7,0,0,0,1,6,7818.66,786.34,0,18,Low
CRM-2026-1072,L-49305,2026-03-01,Outbound,Qualified,SMB Team,SA,4,1,0,0,0,1,2698.32,,0,21,Medium
CRM-2026-1073,L-79619,2026-02-18,Referral,New Lead,SMB Team,WA,1,0,0,0,0,4,5543.94,1384.57,2,22,High
CRM-2026-1074,L-46820,2026-03-25,Outbound,Closed Lost,South Team,NSW,3,0,0,0,1,6,3393.43,256.38,2,15,Strategic
CRM-2026-1075,L-20104,2026-01-18,Website Form,Qualified,South Team,QLD,3,1,0,0,0,3,3424.47,,0,6,Medium
CRM-2026-1076,L-85935,2026-01-26,Referral,Contacted,South Team,VIC,4,0,0,0,1,7,4433.17,,0,21,Strategic
CRM-2026-1077,L-31326,2026-02-26,Referral,Qualified,Enterprise Team,QLD,3,1,0,0,1,4,4442.71,349.21,1,13,High
CRM-2026-1078,L-61059,2026-04-22,Event,Qualified,SMB Team,QLD,3,1,0,0,1,6,2581.95,561.4,2,16,High
CRM-2026-1079,L-18454,2026-03-27,Email Nurture,New Lead,South Team,WA,3,0,0,0,1,4,2626.64,,0,6,Medium
CRM-2026-1080,L-14022,2026-01-31,Referral,New Lead,South Team,WA,4,0,0,0,0,3,9958.31,,4,9,High
CRM-2026-1081,L-56358,2026-03-23,Website Form,Proposal,Enterprise Team,VIC,2,1,1,0,0,3,3541.34,,2,15,Low
CRM-2026-1082,L-43079,2026-03-06,Referral,Qualified,Enterprise Team,VIC,3,1,1,0,1,8,4324.61,,3,3,Medium
CRM-2026-1083,L-91058,2026-03-15,Website Form,contacted,SMB Team,NSW,3,0,1,0,1,8,2310.05,,0,9,Low
CRM-2026-1084,L-71552,2026-03-31,Partner,Closed Won,Enterprise Team,NSW,7,1,1,1,1,6,3637.49,2741.23,0,19,High
CRM-2026-1085,L-24790,2026-04-20,Website Form,Closed Won,South Team,QLD,3,1,1,1,0,4,3262.31,2649.17,4,7,Strategic
CRM-2026-1086,L-82184,2026-01-31,Referral,Negotiation,South Team,QLD,6,1,1,0,0,4,8860.3,,5,12,Medium
CRM-2026-1087,L-40026,2026-02-15,Partner,Contacted,South Team,VIC,6,0,0,0,0,2,2050.95,,4,14,Medium
CRM-2026-1088,L-59147,2026-04-12,Outbound,New Lead,South Team,WA,1,0,0,0,1,7,2012.48,,3,13,Medium
CRM-2026-1089,L-46424,2026-01-04,Referral,Contacted,SMB Team,VIC,4,0,0,0,0,2,6668.36,,4,11,High
CRM-2026-1090,L-69787,2026-01-08,Website Form,Negotiation,SMB Team,WA,4,1,1,0,0,4,2067.06,,1,17,Medium
CRM-2026-1091,L-19004,2026-01-17,Event,Qualified,South Team,SA,6,1,1,0,0,1,2612.48,499.73,1,21,Strategic
CRM-2026-1092,L-44751,2026-03-09,Website Form,Qualified,Enterprise Team,WA,5,1,0,0,1,7,2970.89,,0,8,Strategic
CRM-2026-1093,L-70934,2026-02-02,Referral,Closed Lost,SMB Team,QLD,4,0,1,0,0,4,2983.68,,2,13,Medium
CRM-2026-1094,L-54431,2026-03-13,Website Form,Proposal,North Team,VIC,5,1,1,0,0,5,1891.86,,6,3,Strategic
CRM-2026-1095,L-88797,2026-01-19,Website Form,Closed Lost,SMB Team,QLD,3,0,0,0,0,2,4431.11,,0,25,High
CRM-2026-1096,L-45695,2026-02-12,Website Form,Qualified,SMB Team,WA,3,1,0,0,1,5,601.28,,0,28,Medium
CRM-2026-1097,L-45301,2026-02-25,Outbound,New Lead,South Team,VIC,5,0,0,0,1,5,3367.15,,2,14,High
CRM-2026-1098,L-22264,2026-04-12,Website Form,New Lead,SMB Team,VIC,3,0,0,0,1,4,,440.26,1,21,Low
CRM-2026-1099,L-37830,2026-01-15,Partner,Contacted,Enterprise Team,NSW,1,0,0,0,1,8,6289.52,,2,14,Medium
CRM-2026-1100,L-51357,2026-01-22,Referral,Qualified,North Team,NSW,1,1,0,0,0,4,,,5,5,Low
CRM-2026-1101,L-49999,2026-04-10,Partner,Contacted,SMB Team,NSW,6,1,0,0,0,6,9282.1,,3,1,Strategic
CRM-2026-1102,L-69516,2026-02-25,Website Form,Contacted,South Team,QLD,4,0,0,0,0,3,2805.28,,3,16,Medium
CRM-2026-1103,L-29697,2026-04-02,Referral,New Lead,SMB Team,SA,1,0,1,0,0,2,,,3,13,Low
CRM-2026-1104,L-36928,2026-04-13,Event,Contacted,Enterprise Team,VIC,5,0,0,0,0,3,5169.0,1204.35,0,19,Medium
CRM-2026-1105,L-87342,2026-01-04,Email Nurture,Qualified,North Team,NSW,3,1,0,0,1,4,2639.46,389.03,3,10,Medium
CRM-2026-1106,L-11182,2026-04-06,Event,Negotiation,SMB Team,QLD,5,1,1,0,1,8,5114.3,1147.89,0,7,Medium
CRM-2026-1107,L-11954,2026-04-09,Website Form,Closed Lost,South Team,NSW,8,1,0,0,0,2,1934.04,,2,18,High
CRM-2026-1108,L-46638,2026-04-07,Outbound,New Lead,Enterprise Team,QLD,3,0,0,0,0,5,5186.3,867.9,2,12,Low
CRM-2026-1109,L-99584,2026-03-18,Referral,Contacted,SMB Team,VIC,7,0,0,0,0,3,6399.87,,2,3,High
CRM-2026-1110,L-46716,2026-03-07,Website Form,Qualified,North Team,NSW,3,1,0,0,0,1,,,2,7,High
CRM-2026-1111,L-24022,2026-03-14,Website Form,Proposal,SMB Team,SA,3,1,1,0,1,7,3008.53,,0,15,Medium
CRM-2026-1112,L-36820,2026-04-06,Website Form,New Lead,North Team,VIC,3,0,1,0,0,3,1795.4,371.01,6,6,Medium
CRM-2026-1113,L-80880,2026-03-03,Email Nurture,Closed Won,Enterprise Team,NSW,4,1,1,1,0,4,1801.41,1648.57,2,14,High
CRM-2026-1114,L-52662,2026-04-21,Outbound,Contacted,South Team,NSW,5,0,0,0,1,4,,,2,14,Strategic
CRM-2026-1115,L-79014,2026-03-24,Referral,Closed Won,SMB Team,QLD,3,1,1,1,1,5,2997.58,2728.54,4,17,Medium
CRM-2026-1116,L-27757,2026-01-19,Email Nurture,New Lead,South Team,SA,2,0,1,0,0,3,1252.33,183.6,3,7,Medium
CRM-2026-1117,L-91988,2026-01-19,Website Form,Proposal,Enterprise Team,VIC,5,1,1,0,1,4,4132.01,,3,10,Medium
CRM-2026-1118,L-38152,2026-01-11,Website Form,Proposal,SMB Team,QLD,5,1,1,0,1,5,3246.12,801.82,1,6,High
CRM-2026-1119,L-86191,2026-04-02,Referral,Negotiation,North Team,VIC,6,1,1,0,1,4,8484.87,,2,14,Low
CRM-2026-1120,L-31906,2026-02-21,Website Form,Proposal,North Team,SA,5,1,1,0,0,4,,,0,4,Low
CRM-2026-1121,L-93303,2026-01-27,Outbound,contacted,North Team,VIC,6,0,1,0,1,6,2538.91,179.98,0,11,Medium
CRM-2026-1122,L-66852,2026-01-18,Partner,Contacted,South Team,WA,5,0,1,0,1,7,2126.01,,1,1,Medium
CRM-2026-1123,L-52672,2026-01-20,Website Form,New Lead,Enterprise Team,NSW,2,0,0,0,0,3,2298.82,339.54,3,14,High
CRM-2026-1124,L-19223,2026-04-18,Website Form,Proposal,North Team,NSW,6,1,1,0,0,3,2053.97,408.0,1,21,Low
CRM-2026-1125,L-71471,2026-02-09,Event,New Lead,North Team,VIC,2,1,1,0,0,1,2122.01,413.14,0,12,Low
CRM-2026-1126,L-21610,2026-01-18,Referral,Qualified,South Team,VIC,1,1,1,0,1,5,3201.78,,2,18,High
CRM-2026-1127,L-16349,2026-01-19,Partner,Proposal,South Team,WA,5,1,1,0,0,3,4114.67,891.04,4,5,Strategic
CRM-2026-1128,L-66101,2026-02-18,event,Negotiation,South Team,WA,5,1,1,0,1,4,2663.12,,0,8,High
CRM-2026-1129,L-56513,2026-01-20,Website Form,Closed Won,North Team,QLD,4,1,1,1,1,7,2279.38,2029.94,3,28,High
CRM-2026-1130,L-48220,2026-03-28,Email Nurture,closed_lost,North Team,SA,4,0,1,0,0,4,,,2,14,Low
CRM-2026-1131,L-82245,2026-01-06,Event,Contacted,SMB Team,VIC,5,0,0,0,0,3,2311.35,,0,5,Medium
CRM-2026-1132,L-21841,2026-02-13,Email Nurture,New Lead,South Team,NSW,3,0,0,0,0,4,1177.46,70.07,1,17,Low
CRM-2026-1133,L-31370,2026-01-30,Website Form,Negotiation,Enterprise Team,VIC,3,1,1,0,0,6,2267.76,,3,9,Medium
CRM-2026-1134,L-81929,2026-01-03,Email Nurture,Contacted,SMB Team,QLD,6,0,1,0,1,5,1277.1,,4,17,High
CRM-2026-1135,L-97727,2026-03-13,Website Form,Proposal,Enterprise Team,SA,3,1,1,0,0,5,3051.72,,3,5,High
CRM-2026-1136,L-24436,2026-03-23,Email Nurture,Contacted,North Team,QLD,3,0,0,0,0,4,1979.03,472.63,0,4,High
CRM-2026-1137,L-16846,2026-03-10,Email Nurture,Contacted,SMB Team,VIC,5,1,0,0,0,3,2326.4,,4,13,Medium
CRM-2026-1138,L-88847,2026-04-01,Partner,New Lead,North Team,NSW,3,1,0,0,0,3,3087.74,,4,10,Low
CRM-2026-1139,L-97781,2026-04-14,Event,Contacted,South Team,SA,4,0,1,0,0,2,2682.5,,2,12,Medium
CRM-2026-1140,L-61908,2026-03-31,Email Nurture,Contacted,South Team,WA,3,1,0,0,1,6,1542.08,,2,14,Medium
CRM-2026-1141,L-65142,2026-04-07,Event,Closed Lost,SMB Team,QLD,2,0,0,0,0,4,2941.86,,3,2,High
CRM-2026-1142,L-52770,2026-01-24,Partner,Contacted,South Team,NSW,3,1,0,0,1,5,6932.65,,4,12,Medium
CRM-2026-1143,L-25130,2026-04-10,Email Nurture,Proposal,SMB Team,VIC,7,1,1,0,0,6,,,2,8,Medium
CRM-2026-1144,L-97051,2026-02-25,Referral,Contacted,Enterprise Team,WA,5,0,0,0,0,2,5023.53,,0,3,High
CRM-2026-1145,L-47110,2026-01-28,Partner,Proposal,South Team,WA,5,1,1,0,0,4,9312.26,,0,8,Medium
CRM-2026-1146,L-41300,2026-01-07,Partner,Contacted,SMB Team,NSW,1,1,1,0,0,2,10111.34,,1,19,Strategic
CRM-2026-1147,L-54903,2026-01-31,Website Form,New Lead,North Team,QLD,1,0,0,0,0,4,2884.68,,0,11,High
CRM-2026-1148,L-20739,2026-01-21,Event,New Lead,SMB Team,VIC,3,1,0,0,0,2,2853.22,,3,6,High
CRM-2026-1149,L-42319,2026-01-03,Event,Closed Won,North Team,VIC,6,1,1,1,0,4,1689.48,1371.95,6,5,Low
CRM-2026-1150,L-75140,2026-02-08,Website Form,New Lead,Enterprise Team,SA,2,0,0,0,1,8,3550.77,,2,4,Medium
CRM-2026-1151,L-59176,2026-04-20,Email Nurture,New Lead,Enterprise Team,WA,4,0,0,0,0,4,1473.05,359.58,3,10,Low
CRM-2026-1152,L-98704,2026-04-12,Referral,Proposal,SMB Team,WA,3,1,1,0,0,3,3276.38,,0,11,Low
CRM-2026-1153,L-52456,2026-02-20,Partner,Negotiation,Enterprise Team,NSW,3,1,1,0,1,6,2796.02,,2,15,High
CRM-2026-1154,L-36528,2026-03-09,Partner,Closed Won,Enterprise Team,QLD,3,1,1,1,0,1,4409.97,3957.36,2,19,High
CRM-2026-1155,L-14455,2026-01-07,Outbound,Negotiation,South Team,NSW,6,1,1,0,0,3,3634.35,,3,6,Low
CRM-2026-1156,L-68194,2026-03-02,Email Nurture,New Lead,South Team,SA,3,0,1,0,1,7,2524.34,,3,11,High
CRM-2026-1157,L-68851,2026-03-09,Email Nurture,Closed Won,North Team,SA,5,1,1,1,1,4,1357.0,1102.01,6,6,Low
CRM-2026-1158,L-35413,2026-01-30,Website Form,Qualified,North Team,VIC,2,1,0,0,0,2,2312.11,,6,22,High
CRM-2026-1159,L-71644,2026-03-10,Email Nurture,Proposal,North Team,QLD,5,1,1,0,0,3,,,0,12,Medium
CRM-2026-1160,L-94975,2026-03-19,Partner,Qualified,Enterprise Team,NSW,2,1,1,0,0,4,8186.19,1152.52,3,6,Medium
CRM-2026-1161,L-96617,2026-03-23,Outbound,Proposal,SMB Team,WA,5,1,1,0,0,2,4580.43,,1,4,High
CRM-2026-1162,L-67676,2026-02-17,Email Nurture,Negotiation,Enterprise Team,WA,8,1,1,0,0,3,1711.03,,2,8,Low
CRM-2026-1163,L-85631,2026-04-01,Event,New Lead,North Team,WA,8,0,0,0,1,6,0,,1,9,High
CRM-2026-1164,L-50635,2026-02-20,Partner,Qualified,South Team,QLD,2,1,1,0,1,6,5608.46,,3,7,Medium
CRM-2026-1165,L-32259,2026-04-21,Referral,Proposal,SMB Team,SA,7,1,1,0,0,3,6449.79,,2,13,Medium
CRM-2026-1166,L-73083,2026-02-20,Outbound,new_lead,North Team,NSW,1,0,0,0,0,1,3432.24,,2,6,Low
CRM-2026-1167,L-47784,2026-01-09,Referral,Closed Won,Enterprise Team,NSW,6,1,1,1,0,2,170.88,196.36,1,8,Low
CRM-2026-1168,L-22252,2026-04-05,Event,Proposal,South Team,VIC,5,1,1,0,0,3,4833.81,,5,10,Medium
CRM-2026-1169,L-13451,2026-02-13,Partner,proposal,SMB Team,SA,5,1,1,0,1,4,6889.62,,2,18,High
CRM-2026-1170,L-37437,2026-04-09,Outbound,Contacted,Enterprise Team,WA,5,0,0,0,0,3,3748.5,,3,10,Medium
CRM-2026-1171,L-26117,2026-01-05,Website Form,Qualified,North Team,QLD,2,1,0,0,0,1,2015.89,,3,12,Medium
CRM-2026-1172,L-81325,2026-01-13,Partner,Contacted,South Team,NSW,4,0,1,0,1,6,4555.2,,6,9,High
CRM-2026-1173,L-70571,2026-03-20,Event,Contacted,North Team,VIC,8,0,0,0,0,1,379.65,87.77,4,6,Low
CRM-2026-1174,L-50680,2026-02-12,Referral,Contacted,Enterprise Team,VIC,3,1,0,0,0,3,5118.5,629.87,2,16,High
CRM-2026-1175,L-32742,2026-02-17,Email Nurture,Contacted,South Team,VIC,5,0,0,0,1,10,1074.88,,1,10,Medium
CRM-2026-1176,L-72040,2026-03-03,Partner,Qualified,Enterprise Team,VIC,5,1,0,0,1,8,2135.34,,3,15,High
CRM-2026-1177,L-36312,2026-02-08,Website Form,New Lead,Enterprise Team,SA,6,0,1,0,0,3,1453.88,271.5,2,13,High
CRM-2026-1178,L-51648,2026-01-08,Outbound,New Lead,North Team,NSW,3,0,0,0,0,3,3342.28,323.72,1,19,Low
CRM-2026-1179,L-29472,2026-04-09,Referral,Proposal,South Team,NSW,2,1,1,0,1,6,5859.52,,2,5,Medium
CRM-2026-1180,L-83831,2026-04-22,Referral,Closed Won,North Team,NSW,2,1,1,1,1,7,6777.29,5964.29,2,17,High
CRM-2026-1181,L-63388,2026-01-10,Outbound,New Lead,Enterprise Team,WA,5,0,0,0,0,6,2586.62,599.47,1,6,Strategic
CRM-2026-1182,L-58595,2026-01-06,Website Form,Closed Won,South Team,NSW,5,1,1,1,0,3,1178.36,1265.55,0,13,High
CRM-2026-1183,L-80820,2026-01-23,Outbound,Qualified,SMB Team,SA,5,1,0,0,0,2,4540.03,,2,8,Medium
CRM-2026-1184,L-64457,2026-03-07,Outbound,Qualified,Enterprise Team,QLD,6,1,0,0,0,2,4519.34,,1,16,Low
CRM-2026-1185,L-41260,2026-03-10,Website Form,Closed Won,Enterprise Team,SA,5,1,1,1,0,4,1999.1,2279.31,0,13,Medium
CRM-2026-1186,L-90506,2026-02-09,Partner,Closed Won,Enterprise Team,QLD,5,1,1,1,1,10,7668.1,8108.5,0,19,High
CRM-2026-1187,L-34398,2026-04-14,Website Form,Proposal,SMB Team,VIC,4,1,1,0,0,7,2002.74,,1,5,High
CRM-2026-1188,L-19409,2026-02-25,Outbound,Contacted,SMB Team,SA,5,1,0,0,1,6,2552.88,,3,4,Strategic
CRM-2026-1189,L-90231,2026-04-03,Outbound,Negotiation,SMB Team,QLD,4,1,1,0,1,5,572.9,,0,2,Medium
CRM-2026-1190,L-26157,2026-03-16,Referral,Closed Won,North Team,WA,5,1,1,1,0,2,1103.9,1208.49,3,4,High
CRM-2026-1191,L-92630,2026-01-08,Partner,Proposal,South Team,VIC,2,1,1,0,0,5,4834.72,411.0,3,12,Medium
CRM-2026-1192,L-37890,2026-03-23,Website Form,Proposal,SMB Team,VIC,1,1,1,0,0,2,2041.2,248.65,5,6,Medium
CRM-2026-1193,L-61548,2026-01-31,Website Form,Proposal,North Team,QLD,4,1,1,0,0,6,317.51,,0,1,High
CRM-2026-1194,L-22096,2026-03-18,Referral,Qualified,South Team,WA,7,1,1,0,1,5,2359.63,397.46,2,3,High
CRM-2026-1195,L-82302,2026-01-13,Referral,Proposal,South Team,NSW,5,1,1,0,0,2,8775.7,1653.75,1,5,High
CRM-2026-1196,L-32915,2026-03-09,Email Nurture,New Lead,SMB Team,NSW,2,0,0,0,0,5,2191.07,164.63,1,14,High
CRM-2026-1197,L-19630,2026-04-08,Website Form,Negotiation,South Team,SA,3,1,1,0,1,5,2599.19,,0,7,High
CRM-2026-1198,L-96152,2026-02-01,Outbound,Proposal,SMB Team,NSW,3,1,1,0,0,2,2584.87,461.39,4,11,Low
CRM-2026-1199,L-48900,2026-01-20,Referral,Proposal,Enterprise Team,VIC,3,1,1,0,0,1,4558.54,,1,22,Strategic
CRM-2026-1200,L-28773,2026-01-19,Referral,Closed Lost,Enterprise Team,VIC,9,0,0,0,0,3,2996.83,,3,6,Medium
CRM-2026-1201,L-76360,2026-02-12,Outbound,Closed Lost,South Team,WA,6,0,0,0,0,2,2517.99,,2,3,High
CRM-2026-1202,L-38710,2026-01-07,Website Form,Qualified,North Team,WA,5,1,0,0,0,3,1623.38,,0,12,Low
CRM-2026-1203,L-23831,2026-03-23,Partner,Proposal,SMB Team,QLD,4,1,1,0,0,3,9912.77,,1,11,Medium
CRM-2026-1204,L-25458,2026-03-07,Website Form,New Lead,SMB Team,SA,6,0,0,0,0,3,1243.08,,2,7,Medium
