ticket_ref,opened_date,service_line,agent_team,region,case_count,missed_contacts,resolved_count,escalation_count,reopen_count,avg_response_minutes,talk_time_seconds,csat_score
TCK-5079,2026-04-11,General,East,VIC,7,1,7,1,1,75.7,5297,3.73
TCK-5080,2026-03-28,VIP,Specialist,WA,3,1,3,0,2,53.5,1726,3.77
TCK-5081,2026-03-10,General,East,NSW,4,0,3,0,0,29.0,2765,4.37
TCK-5082,2026-02-23,Billing,East,WA,6,0,4,0,1,58.3,4176,3.62
TCK-5083,2026-02-02,Billing,Specialist,NSW,5,1,5,1,0,41.5,6050,3.79
TCK-5084,2026-04-06,Technical Support,East,NSW,10,1,8,1,1,12.7,9120,3.91
TCK-5085,2026-02-03,New Install,East,VIC,5,1,4,1,1,26.0,7164,4.14
TCK-5086,2026-02-28,Technical Support,East,NSW,5,1,5,0,0,31.9,5752,4.43
TCK-5087,2026-03-03,New Install,Specialist,QLD,5,1,4,1,0,95.5,7162,3.57
TCK-5088,2026-04-04,Technical Support,South,WA,9,1,4,4,1,25.8,7125,3.57
TCK-5089,2026-02-16,Retention,East,QLD,4,1,3,1,0,41.2,3537,4.2
TCK-5090,2026-03-29,VIP,West,VIC,5,1,5,0,0,57.2,8738,3.8
TCK-5091,2026-03-28,Billing,North,QLD,4,1,4,0,0,72.0,2416,4.11
TCK-5092,2026-03-03,Technical Support,Specialist,NSW,3,0,2,0,0,82.2,2608,4.57
TCK-5093,2026-02-04,General,North,NSW,8,1,7,0,0,47.3,11995,4.7
TCK-5094,2026-03-11,Technical Support,Specialist,QLD,9,1,7,1,0,80.9,5662,4.53
TCK-5095,2026-02-15,New Install,Specialist,WA,6,0,4,0,1,49.0,5647,4.7
TCK-5096,2026-03-27,Billing,West,NSW,4,0,4,0,0,116.4,2862,3.97
TCK-5097,2026-03-29,Billing,North,QLD,5,0,4,1,0,66.1,3194,3.4
TCK-5098,2026-02-16,Technical Support,Specialist,VIC,12,3,11,2,0,89.0,16505,3.76
TCK-5099,2026-02-15,Billing,North,VIC,6,0,6,0,0,63.8,6694,3.95
TCK-5100,2026-02-16,New Install,West,QLD,5,1,3,1,0,70.3,3866,4.22
TCK-5101,2026-02-01,General,Specialist,VIC,9,0,5,2,2,26.1,2314,4.15
TCK-5102,2026-03-24,Technical Support,East,QLD,6,1,5,0,0,37.7,5096,3.58
TCK-5103,2026-03-13,New Install,South,QLD,6,3,6,0,0,76.2,4516,4.42
TCK-5104,2026-02-07,VIP,North,WA,3,0,2,0,1,47.7,1991,3.39
TCK-5105,2026-02-07,Technical Support,West,QLD,5,0,4,2,0,47.7,1248,3.57
TCK-5106,2026-03-06,Billing,Specialist,NSW,4,0,3,1,1,24.2,3298,3.69
TCK-5107,2026-02-07,Technical Support,West,QLD,8,2,5,1,1,69.4,5693,3.51
TCK-5108,2026-03-27,Technical Support,North,QLD,5,0,2,0,1,50.9,8851,3.61
TCK-5109,2026-04-06,New Install,South,NSW,9,1,9,1,0,27.4,5472,4.73
TCK-5110,2026-02-23,VIP,East,WA,2,1,2,1,0,83.4,1408,3.47
TCK-5111,2026-03-13,General,Specialist,QLD,8,0,6,1,1,145.6,4254,3.73
TCK-5112,2026-02-14,Technical Support,Specialist,QLD,5,2,4,1,1,66.2,6346,4.17
TCK-5113,2026-03-30,General,North,QLD,5,0,2,0,2,47.4,4650,3.74
TCK-5114,2026-04-09,Technical Support,East,VIC,5,1,5,1,1,73.5,4561,4.48
TCK-5115,2026-04-06,Billing,West,NSW,4,1,2,0,0,202.4,6425,3.93
TCK-5116,2026-04-07,Billing,East,VIC,6,0,5,1,0,88.7,5413,3.31
TCK-5117,2026-03-14,New Install,East,WA,5,2,4,0,0,42.3,2974,4.26
TCK-5118,2026-02-03,Retention,South,NSW,3,0,3,0,0,26.1,3536,4.21
TCK-5119,2026-02-23,Retention,South,NSW,3,1,2,2,0,32.4,3301,3.47
TCK-5120,2026-02-20,New Install,South,QLD,4,1,4,0,0,40.4,3139,3.31
TCK-5121,2026-03-23,Retention,South,VIC,6,2,6,0,0,28.6,4182,3.82
TCK-5122,2026-02-21,General,Specialist,VIC,7,0,7,1,0,58.7,8498,3.95
TCK-5123,2026-03-07,General,Specialist,NSW,7,1,5,2,0,49.7,14676,4.34
TCK-5124,2026-03-18,Billing,West,QLD,3,1,3,0,0,78.1,2150,3.81
TCK-5125,2026-03-13,General,East,WA,7,0,6,0,0,63.2,6670,4.15
TCK-5126,2026-04-04,Billing,East,WA,9,0,9,1,1,18.5,10852,5.07
TCK-5127,2026-03-24,New Install,South,VIC,3,0,3,0,2,33.1,1466,3.83
TCK-5128,2026-03-04,New Install,North,NSW,4,1,4,1,2,26.3,5347,3.68
TCK-5129,2026-02-02,Technical Support,West,WA,4,0,2,1,0,84.5,4178,3.72
TCK-5130,2026-02-18,General,East,NSW,5,0,5,0,0,80.4,5462,3.06
TCK-5131,2026-03-01,Technical Support,Specialist,VIC,6,2,5,0,0,36.1,3071,4.09
TCK-5132,2026-03-07,General,South,WA,3,0,2,0,1,7.4,1618,4.29
TCK-5133,2026-03-23,Technical Support,West,NSW,8,0,7,3,0,25.5,4385,3.5
TCK-5134,2026-02-24,Billing,Specialist,VIC,5,2,3,1,1,71.0,3676,4.56
TCK-5135,2026-02-02,Retention,North,QLD,4,1,3,3,1,47.1,2705,3.41
TCK-5136,2026-03-27,Billing,Specialist,WA,3,0,3,0,0,49.0,1831,3.92
TCK-5137,2026-03-06,General,West,VIC,5,0,2,0,0,43.8,2251,4.25
TCK-5138,2026-03-01,Technical Support,West,WA,8,0,7,1,0,32.2,4216,3.71
TCK-5139,2026-02-14,Billing,North,VIC,3,1,3,1,1,42.9,2740,3.85
TCK-5140,2026-04-01,Technical Support,North,WA,4,0,4,0,0,48.7,4381,4.21
TCK-5141,2026-03-28,Technical Support,Specialist,NSW,5,0,2,1,1,63.6,5351,4.41
TCK-5142,2026-02-25,Technical Support,North,VIC,6,1,4,1,0,63.1,2574,4.42
TCK-5143,2026-03-06,Retention,South,VIC,1,1,1,0,0,93.2,1186,3.9
TCK-5144,2026-04-03,General,North,QLD,10,1,5,1,1,40.7,5967,3.62
TCK-5145,2026-03-12,VIP,North,VIC,3,2,2,0,0,80.6,2770,3.95
TCK-5146,2026-02-01,Technical Support,East,VIC,5,1,4,0,1,18.2,9421,3.94
TCK-5147,2026-02-11,VIP,South,NSW,1,0,1,0,0,82.9,830,3.71
TCK-5148,2026-03-08,Technical Support,Specialist,VIC,7,0,7,2,0,199.6,10861,4.63
TCK-5149,2026-02-17,New Install,East,VIC,6,1,5,2,0,49.9,4690,3.67
TCK-5150,2026-02-16,New Install,Specialist,QLD,4,0,4,1,0,72.8,2123,3.97
TCK-5151,2026-02-20,New Install,South,WA,4,0,4,0,0,41.4,785,4.41
TCK-5152,2026-03-13,General,West,QLD,12,3,10,1,0,46.9,7032,4.35
TCK-5153,2026-04-05,New Install,East,NSW,4,1,3,2,0,65.2,973,4.75
TCK-5154,2026-04-06,Billing,South,VIC,5,0,5,0,1,19.6,7240,4.81
TCK-5155,2026-03-12,Billing,Specialist,QLD,6,3,6,2,0,30.2,7600,4.19
TCK-5156,2026-02-21,Retention,East,QLD,4,0,3,1,1,47.5,3820,4.41
TCK-5157,2026-03-01,VIP,Specialist,NSW,3,0,3,1,0,111.4,3731,4.66
TCK-5158,2026-03-09,Billing,South,NSW,5,2,5,0,0,25.0,4105,3.54
TCK-5159,2026-02-04,New Install,South,NSW,2,0,2,0,0,22.0,859,3.52
TCK-5160,2026-02-02,Retention,North,QLD,3,0,2,0,0,38.2,7393,2.89
TCK-5161,2026-03-24,Technical Support,North,QLD,3,0,3,0,0,56.5,3011,3.59
TCK-5162,2026-03-14,Technical Support,East,QLD,4,1,3,2,1,66.1,4796,3.63
TCK-5163,2026-03-15,VIP,West,WA,5,2,3,3,0,111.5,962,3.5
TCK-5164,2026-03-07,Retention,Specialist,QLD,5,2,4,0,0,11.4,4574,4.03
TCK-5165,2026-02-21,Retention,South,WA,8,0,4,0,0,33.9,15345,4.01
TCK-5166,2026-03-10,Retention,North,NSW,8,1,7,0,0,26.6,5220,4.68
TCK-5167,2026-03-31,Billing,West,VIC,5,1,5,0,0,23.1,2001,3.78
TCK-5168,2026-03-24,Billing,Specialist,WA,4,0,4,0,0,108.9,3502,3.54
TCK-5169,2026-02-16,Retention,North,QLD,8,2,4,3,2,83.8,12157,3.69
TCK-5170,2026-03-20,Retention,South,QLD,6,0,6,2,0,60.4,8213,3.0
TCK-5171,2026-02-23,Billing,East,VIC,4,1,4,0,0,36.7,1676,4.13
TCK-5172,2026-02-09,Billing,South,NSW,5,0,5,0,1,49.3,2405,4.22
TCK-5173,2026-02-15,Billing,East,VIC,5,1,2,0,1,275.2,6178,3.91
TCK-5174,2026-03-08,Technical Support,South,VIC,9,1,8,0,0,17.6,5290,4.24
TCK-5175,2026-03-24,Billing,North,QLD,8,1,7,0,1,13.5,8521,3.93
TCK-5176,2026-02-21,Billing,West,WA,3,0,3,0,0,79.4,4530,3.83
TCK-5177,2026-04-03,Technical Support,East,VIC,4,0,2,2,0,70.1,4282,4.06
TCK-5178,2026-03-25,Technical Support,East,WA,5,2,5,0,1,86.7,3013,4.31
TCK-5179,2026-03-24,Technical Support,South,QLD,10,2,9,3,1,43.8,9097,3.91
TCK-5180,2026-02-08,General,West,QLD,11,0,10,1,0,29.3,13328,4.76
TCK-5181,2026-03-12,New Install,South,WA,3,0,3,0,0,30.6,5161,3.88
TCK-5182,2026-02-02,Retention,West,VIC,5,1,3,0,0,187.9,5922,4.48
TCK-5183,2026-03-14,Billing,Specialist,NSW,3,1,3,1,1,108.2,3606,3.95
TCK-5184,2026-02-05,Technical Support,South,QLD,7,1,3,0,1,115.9,7610,4.46
TCK-5185,2026-02-03,Technical Support,Specialist,WA,9,0,8,5,0,100.4,11146,3.41
TCK-5186,2026-04-04,Retention,South,NSW,4,1,4,1,0,67.1,3285,4.85
TCK-5187,2026-02-18,General,South,NSW,4,1,3,1,1,45.2,2783,4.03
TCK-5188,2026-02-22,Technical Support,South,VIC,4,0,2,2,1,68.3,5556,4.22
TCK-5189,2026-02-28,Billing,North,QLD,5,1,4,1,0,31.2,6283,4.16
TCK-5190,2026-04-09,Billing,East,NSW,6,0,4,0,3,46.5,5132,3.51
TCK-5191,2026-02-15,New Install,North,NSW,3,2,3,0,1,49.9,3243,4.04
TCK-5192,2026-03-07,General,North,VIC,5,0,5,0,0,81.8,5032,4.22
TCK-5193,2026-02-01,New Install,South,NSW,5,0,5,0,2,54.4,3131,4.35
TCK-5194,2026-04-06,General,West,WA,3,0,3,0,0,36.4,4718,4.08
TCK-5195,2026-02-08,General,West,NSW,3,0,3,0,0,50.7,3194,4.21
TCK-5196,2026-02-03,General,East,NSW,6,0,5,1,0,71.5,6698,3.74
TCK-5197,2026-04-10,New Install,West,VIC,7,0,6,0,0,59.9,5390,3.34
TCK-5198,2026-02-27,Billing,North,NSW,4,0,4,0,0,41.0,4588,3.61
TCK-5199,2026-02-17,Technical Support,East,WA,9,1,5,3,2,34.5,19224,4.34
TCK-5200,2026-03-02,New Install,West,WA,8,1,6,0,2,83.5,11283,3.68
TCK-5201,2026-02-14,General,North,VIC,6,1,4,0,0,39.6,3643,4.28
TCK-5202,2026-02-26,Technical Support,West,QLD,5,3,5,1,0,55.2,7692,4.64
TCK-5203,2026-03-14,Retention,West,QLD,4,1,2,2,0,73.1,3178,3.57
TCK-5204,2026-04-04,Billing,North,QLD,7,1,7,1,1,51.7,5285,4.18
TCK-5205,2026-03-29,General,North,NSW,9,2,9,1,1,55.9,12784,4.31
TCK-5206,2026-02-21,New Install,South,VIC,3,0,3,0,0,21.1,5084,4.88
TCK-5207,2026-02-28,Billing,South,NSW,6,2,5,2,0,104.5,5667,3.72
TCK-5208,2026-02-16,General,Specialist,NSW,8,3,7,2,1,42.2,7019,4.44
TCK-5209,2026-02-05,General,Specialist,QLD,6,2,5,0,1,29.0,6936,3.25
TCK-5210,2026-03-22,Billing,East,VIC,5,1,4,0,0,33.0,1539,4.34
TCK-5211,2026-02-24,General,West,NSW,9,0,8,1,0,123.4,3738,4.38
TCK-5212,2026-02-01,New Install,East,WA,9,0,8,1,0,51.1,5651,4.07
TCK-5213,2026-04-09,New Install,North,WA,8,1,7,1,2,40.9,8977,4.22
TCK-5214,2026-03-04,Retention,Specialist,WA,6,1,4,1,1,61.2,2721,4.01
TCK-5215,2026-03-29,General,South,QLD,4,0,3,0,0,41.8,2627,3.31
TCK-5216,2026-02-17,Billing,East,QLD,6,0,4,1,0,54.3,4397,4.28
TCK-5217,2026-03-01,Billing,Specialist,VIC,4,0,4,1,2,12.2,1942,4.13
TCK-5218,2026-02-06,Technical Support,East,WA,10,3,9,1,0,25.7,9031,4.01
TCK-5219,2026-03-09,Retention,North,NSW,6,1,5,1,0,38.3,4373,3.78
TCK-5220,2026-02-11,New Install,South,QLD,5,1,4,1,0,13.0,7767,3.92
TCK-5221,2026-02-21,Technical Support,South,WA,4,0,3,2,0,64.6,4014,3.95
TCK-5222,2026-03-21,Retention,West,WA,5,1,4,0,1,23.1,1882,4.42
TCK-5223,2026-03-25,Billing,North,NSW,4,0,3,0,0,39.3,2579,4.12
TCK-5224,2026-03-31,Technical Support,West,QLD,3,0,2,1,0,68.1,5983,4.09
TCK-5225,2026-03-04,Technical Support,West,WA,4,0,4,1,1,11.7,1795,3.87
TCK-5226,2026-02-11,New Install,South,QLD,6,1,5,0,0,89.4,4381,3.96
TCK-5227,2026-04-05,New Install,Specialist,QLD,4,0,3,0,0,87.7,2631,4.29
TCK-5228,2026-02-24,General,Specialist,QLD,4,1,4,0,0,61.0,2253,4.07
TCK-5229,2026-03-18,Retention,North,VIC,6,2,5,0,1,32.7,6008,3.45
TCK-5230,2026-03-29,Technical Support,East,WA,6,1,4,3,0,9.0,6936,3.62
TCK-5231,2026-02-03,Retention,West,VIC,4,2,3,1,1,37.6,6737,4.28
TCK-5232,2026-02-26,Billing,North,NSW,5,0,3,1,0,20.7,11318,4.38
TCK-5233,2026-02-04,General,North,VIC,4,0,3,0,0,58.3,1928,4.23
TCK-5234,2026-04-09,Technical Support,East,QLD,9,3,9,1,0,155.7,5695,4.53
TCK-5235,2026-03-18,VIP,East,VIC,4,3,4,0,0,76.3,4626,3.58
TCK-5236,2026-03-07,New Install,Specialist,VIC,6,2,5,2,0,57.9,2200,4.2
TCK-5237,2026-03-21,Billing,South,NSW,4,0,1,0,0,42.9,4176,3.53
TCK-5238,2026-04-02,New Install,Specialist,QLD,3,1,3,0,0,76.0,2629,3.94
TCK-5239,2026-03-18,Technical Support,Specialist,NSW,7,0,6,0,0,40.2,10182,3.51
TCK-5240,2026-02-13,New Install,East,WA,5,1,5,2,1,24.4,4102,3.66
TCK-5241,2026-02-08,Technical Support,South,VIC,3,1,1,0,1,41.4,1735,4.18
TCK-5242,2026-02-16,Retention,North,WA,12,3,11,2,0,27.1,6798,4.06
TCK-5243,2026-03-06,Billing,North,QLD,5,0,5,1,1,138.3,6854,4.73
TCK-5244,2026-03-30,VIP,South,VIC,2,0,2,0,0,62.0,1199,3.44
TCK-5245,2026-02-10,Billing,West,VIC,6,0,6,0,1,38.7,1441,3.86
TCK-5246,2026-02-22,New Install,South,VIC,7,1,7,1,0,68.8,8902,4.15
TCK-5247,2026-04-06,Technical Support,South,QLD,6,1,6,3,1,153.5,4255,3.87
TCK-5248,2026-03-28,General,Specialist,NSW,6,0,4,0,1,43.7,3606,4.61
TCK-5249,2026-02-20,General,Specialist,QLD,4,0,3,0,0,148.0,5636,4.31
TCK-5250,2026-03-06,Billing,West,QLD,5,1,4,1,1,63.7,7062,4.05
TCK-5251,2026-02-17,Technical Support,North,WA,9,3,8,2,2,34.8,4696,3.61
TCK-5252,2026-03-20,Billing,South,WA,7,0,6,1,0,43.6,7619,4.03
TCK-5253,2026-02-07,Billing,North,NSW,4,1,4,1,0,28.8,2171,4.67
TCK-5254,2026-03-29,VIP,East,WA,6,0,6,0,0,66.8,5840,4.59
TCK-5255,2026-03-08,Technical Support,South,WA,7,2,7,2,0,43.8,5698,4.14
TCK-5256,2026-04-11,New Install,Specialist,WA,10,0,10,2,1,56.2,6713,4.59
TCK-5257,2026-03-12,Billing,South,WA,5,0,5,0,1,58.8,7703,4.63
TCK-5258,2026-02-10,New Install,South,QLD,3,1,2,0,1,31.1,3774,4.31
TCK-5259,2026-04-08,VIP,South,WA,7,2,6,1,2,81.2,3432,4.41
TCK-5260,2026-03-21,New Install,North,VIC,7,2,4,1,0,26.3,11617,3.88
TCK-5261,2026-02-28,New Install,East,VIC,10,1,8,0,0,118.1,7227,4.19
TCK-5262,2026-03-22,General,West,NSW,9,1,9,0,1,13.9,5734,3.58
TCK-5263,2026-03-07,Technical Support,North,NSW,7,0,4,3,0,68.2,4758,4.18
TCK-5264,2026-02-08,General,Specialist,NSW,7,1,4,3,1,52.8,8575,3.23
TCK-5265,2026-03-30,New Install,South,WA,9,1,8,0,0,38.6,10260,3.34
TCK-5266,2026-03-16,General,West,WA,4,0,3,0,0,31.4,1165,3.94
TCK-5267,2026-04-05,Billing,West,VIC,8,1,7,2,1,56.2,13173,3.65
TCK-5268,2026-02-03,General,East,NSW,9,0,7,2,1,43.2,13627,4.08
TCK-5269,2026-03-03,Billing,West,VIC,4,1,4,1,0,27.8,1580,4.1
TCK-5270,2026-02-01,General,South,QLD,7,1,7,0,0,190.6,9551,4.1
TCK-5271,2026-03-01,Billing,West,WA,3,0,2,1,1,42.3,2511,4.2
TCK-5272,2026-03-12,Billing,Specialist,VIC,8,1,7,1,0,19.3,7812,3.49
TCK-5273,2026-02-14,Technical Support,South,QLD,4,1,4,2,0,107.2,7618,3.5
TCK-5274,2026-03-17,New Install,North,QLD,5,0,5,1,1,50.6,3793,3.5
TCK-5275,2026-02-21,New Install,West,WA,9,2,7,0,2,63.8,11055,3.88
TCK-5276,2026-02-10,Technical Support,West,WA,11,0,9,3,0,19.5,8692,4.09
TCK-5277,2026-03-19,New Install,Specialist,QLD,7,1,6,0,1,71.4,9689,4.24
TCK-5278,2026-02-23,Billing,North,QLD,2,0,2,0,0,59.7,1319,2.8
TCK-5279,2026-03-30,Billing,Specialist,QLD,3,0,1,0,0,36.9,2806,4.45
TCK-5280,2026-02-09,New Install,Specialist,VIC,5,0,5,0,2,19.5,3863,4.19
TCK-5281,2026-03-21,Technical Support,Specialist,QLD,8,0,7,1,1,35.9,7068,4.04
TCK-5282,2026-02-25,Technical Support,North,VIC,6,0,6,2,0,66.8,16818,4.5
TCK-5283,2026-02-20,Billing,West,WA,3,0,2,0,0,32.7,4795,4.04
TCK-5284,2026-03-12,General,North,WA,5,0,4,0,1,36.7,2779,4.19
TCK-5285,2026-03-06,Billing,Specialist,NSW,3,0,2,1,1,54.2,2443,4.02
TCK-5286,2026-03-25,New Install,South,QLD,11,1,7,3,0,34.8,4913,3.15
TCK-5287,2026-02-22,General,West,VIC,7,1,4,0,0,64.6,6408,3.92
TCK-5288,2026-04-11,General,West,NSW,5,2,5,0,1,30.6,3830,3.6
TCK-5289,2026-03-03,General,Specialist,QLD,4,0,3,0,0,93.6,2495,4.01
TCK-5290,2026-02-20,Technical Support,East,NSW,11,2,8,1,0,38.7,20323,4.28
TCK-5291,2026-02-23,New Install,North,QLD,7,1,4,0,1,59.7,6869,3.78
TCK-5292,2026-03-21,Technical Support,West,WA,9,1,9,2,1,19.0,7176,3.53
TCK-5293,2026-02-11,Billing,North,WA,10,3,7,0,1,26.6,8106,4.27
TCK-5294,2026-02-08,VIP,South,NSW,4,1,4,0,1,31.5,1251,4.57
TCK-5295,2026-03-26,Technical Support,Specialist,NSW,9,0,6,2,1,85.5,7955,3.98
TCK-5296,2026-03-29,Billing,West,WA,3,0,3,2,0,75.1,1596,3.27
TCK-5297,2026-03-15,Billing,East,QLD,5,0,4,0,1,34.5,3820,3.1
TCK-5298,2026-03-22,Technical Support,Specialist,QLD,4,1,4,1,0,37.9,3837,4.11
TCK-5299,2026-03-27,New Install,Specialist,QLD,5,0,4,0,0,41.2,4738,4.57
TCK-5300,2026-03-19,Billing,South,QLD,6,0,5,1,1,10.6,4714,2.99
TCK-5301,2026-03-30,Billing,East,VIC,3,0,3,0,0,28.8,3216,4.34
TCK-5302,2026-02-11,Billing,East,QLD,5,0,5,0,0,55.4,4266,3.59
