order_id,order_date,category,warehouse,supplier,units_sold,fulfilled_orders,stockout_flag,backorder_count,return_count,gross_margin_pct,fulfillment_cost_aud,sales_value_aud
ORD-9044,2025-06-03,Appliances,Melbourne DC,Supplier D,17,17,0,0,2,0.283,205.05,5500.89
ORD-9045,2025-04-21,Homewares,Brisbane DC,Supplier A,27,24,1,3,0,0.415,142.58,1563.84
ORD-9046,2025-05-18,Homewares,Sydney DC,Supplier B,21,21,0,0,2,0.432,136.07,2337.79
ORD-9047,2025-05-06,Outdoor,Perth DC,Supplier A,15,15,0,0,1,0.332,157.18,3204.62
ORD-9048,2025-05-31,Outdoor,Sydney DC,Supplier D,9,9,0,0,1,0.433,134.94,1286.25
ORD-9049,2025-05-30,Homewares,Perth DC,Supplier C,15,15,0,0,1,0.315,80.94,863.1
ORD-9050,2025-06-19,Appliances,Brisbane DC,Supplier B,12,12,0,0,1,0.123,143.56,3967.51
ORD-9051,2025-07-02,Electronics,Perth DC,Supplier C,16,16,0,0,1,0.226,159.91,3713.24
ORD-9052,2025-05-12,Homewares,Perth DC,Supplier B,24,24,0,0,0,0.346,201.77,2714.56
ORD-9053,2025-04-25,Furniture,Perth DC,Supplier D,4,4,0,0,1,0.297,63.04,1600.61
ORD-9054,2025-07-06,Homewares,Brisbane DC,Supplier C,24,24,0,0,0,0.41,124.1,1592.2
ORD-9055,2025-06-19,Electronics,Sydney DC,Supplier B,13,13,0,0,3,0.241,133.68,3407.64
ORD-9056,2025-06-20,Furniture,Sydney DC,Supplier A,9,9,0,0,1,0.45,169.08,3857.73
ORD-9057,2025-05-23,Kitchen,Perth DC,Supplier B,19,19,0,0,0,0.341,92.71,1527.66
ORD-9058,2025-04-18,Furniture,Perth DC,Supplier B,9,9,0,0,1,0.296,174.54,3804.38
ORD-9059,2025-05-21,Homewares,Sydney DC,Supplier B,36,36,0,0,1,0.394,247.71,3569.1
ORD-9060,2025-05-24,Outdoor,Melbourne DC,Supplier D,12,9,1,5,0,0.285,169.78,1931.37
ORD-9061,2025-05-04,Furniture,Perth DC,Supplier A,6,6,0,0,0,0.29,105.31,2585.89
ORD-9062,2025-04-29,Kitchen,Melbourne DC,Supplier C,22,22,0,0,0,0.365,174.14,1169.79
ORD-9063,2025-06-05,Homewares,Perth DC,Supplier C,17,17,0,0,2,0.406,115.75,1268.65
ORD-9064,2025-07-02,Homewares,Perth DC,Supplier D,13,13,0,0,1,0.371,54.51,763.07
ORD-9065,2025-06-08,Appliances,Perth DC,Supplier D,18,18,0,0,1,0.311,280.33,5099.49
ORD-9066,2025-06-19,Appliances,Brisbane DC,Supplier C,15,15,0,0,2,0.256,252.61,4646.97
ORD-9067,2025-05-15,Electronics,Brisbane DC,Supplier B,13,13,0,0,0,0.238,133.66,2532.74
ORD-9068,2025-05-14,Appliances,Melbourne DC,Supplier A,11,11,0,0,1,0.278,163.08,3601.58
ORD-9069,2025-06-05,Furniture,Melbourne DC,Supplier B,13,13,0,0,2,0.426,257.47,5816.19
ORD-9070,2025-05-12,Kitchen,Sydney DC,Supplier A,23,23,0,0,0,0.276,63.61,1703.62
ORD-9071,2025-04-05,Kitchen,Brisbane DC,Supplier A,15,15,0,0,0,0.385,97.8,1523.52
ORD-9072,2025-05-18,Homewares,Sydney DC,Supplier D,22,22,0,0,2,0.268,166.07,2320.7
ORD-9073,2025-04-13,Appliances,Perth DC,Supplier A,10,8,1,2,0,0.291,153.06,3502.32
ORD-9074,2025-05-02,Electronics,Perth DC,Supplier A,18,18,0,0,1,0.217,197.36,5313.55
ORD-9075,2025-05-15,Homewares,Brisbane DC,Supplier A,16,14,1,0,0,0.359,88.29,774.57
ORD-9076,2025-04-02,Outdoor,Sydney DC,Supplier A,9,9,0,0,0,0.282,118.58,1755.55
ORD-9077,2025-05-06,Electronics,Perth DC,Supplier D,13,13,0,0,0,0.17,125.79,3151.36
ORD-9078,2025-06-22,Electronics,Perth DC,Supplier D,17,17,0,0,2,0.23,229.77,5340.96
ORD-9079,2025-04-08,Kitchen,Perth DC,Supplier D,24,22,1,1,1,0.365,202.09,1169.66
ORD-9080,2025-04-29,Electronics,Melbourne DC,Supplier C,18,18,0,0,0,0.155,213.05,4452.82
ORD-9081,2025-05-22,Homewares,Brisbane DC,Supplier A,24,24,0,0,1,0.31,246.84,1956.13
ORD-9082,2025-04-09,Furniture,Brisbane DC,Supplier A,6,6,0,0,0,0.271,118.35,2657.52
ORD-9083,2025-06-29,Outdoor,Brisbane DC,Supplier A,12,12,0,0,1,0.261,136.05,1837.05
ORD-9084,2025-05-05,Furniture,Brisbane DC,Supplier A,12,12,0,0,0,0.268,184.19,4750.05
ORD-9085,2025-07-08,Electronics,Perth DC,Supplier D,19,19,0,0,1,0.23,227.88,4624.64
ORD-9086,2025-06-05,Electronics,Brisbane DC,Supplier A,16,16,0,0,0,0.247,123.69,4401.56
ORD-9087,2025-06-02,Homewares,Melbourne DC,Supplier C,19,19,0,0,1,0.366,91.87,1647.13
ORD-9088,2025-04-24,Homewares,Sydney DC,Supplier B,20,20,0,0,1,0.461,121.27,2264.35
ORD-9089,2025-06-04,Appliances,Melbourne DC,Supplier D,16,16,0,0,1,0.21,248.28,6056.62
ORD-9090,2025-06-05,Homewares,Perth DC,Supplier D,15,15,0,0,0,0.41,96.21,1649.35
ORD-9091,2025-04-04,Appliances,Brisbane DC,Supplier D,12,12,0,0,1,0.304,184.03,4117.12
ORD-9092,2025-05-27,Homewares,Melbourne DC,Supplier A,24,24,0,0,1,0.39,200.58,2224.58
ORD-9093,2025-05-15,Appliances,Sydney DC,Supplier A,14,14,0,0,0,0.155,181.34,4143.56
ORD-9094,2025-05-19,Electronics,Perth DC,Supplier B,20,19,1,0,0,0.246,222.71,5520.87
ORD-9095,2025-04-04,Homewares,Melbourne DC,Supplier A,26,26,0,0,1,0.363,165.76,2125.13
ORD-9096,2025-05-27,Kitchen,Perth DC,Supplier A,19,18,1,1,1,0.366,80.05,1633.95
ORD-9097,2025-04-02,Furniture,Brisbane DC,Supplier C,8,8,0,0,1,0.35,160.16,3188.23
ORD-9098,2025-04-21,Appliances,Melbourne DC,Supplier C,13,13,0,0,0,0.228,185.68,3527.82
ORD-9099,2025-04-19,Outdoor,Perth DC,Supplier B,8,8,0,0,0,0.398,47.23,1300.64
ORD-9100,2025-05-16,Kitchen,Perth DC,Supplier A,15,15,0,0,0,0.372,71.07,1754.26
ORD-9101,2025-05-24,Furniture,Brisbane DC,Supplier B,6,6,0,0,0,0.277,121.19,2580.86
ORD-9102,2025-04-02,Furniture,Melbourne DC,Supplier B,8,8,0,0,0,0.306,180.67,3104.34
ORD-9103,2025-04-27,Kitchen,Sydney DC,Supplier D,16,16,0,0,1,0.338,94.69,691.85
ORD-9104,2025-04-12,Furniture,Brisbane DC,Supplier D,8,8,0,0,0,0.393,136.79,3373.36
ORD-9105,2025-04-23,Kitchen,Perth DC,Supplier A,18,18,0,0,0,0.256,108.26,1095.43
ORD-9106,2025-05-05,Homewares,Perth DC,Supplier A,30,30,0,0,2,0.394,158.34,2413.8
ORD-9107,2025-07-06,Outdoor,Brisbane DC,Supplier D,9,9,0,0,0,0.331,95.22,1364.68
ORD-9108,2025-05-13,Appliances,Melbourne DC,Supplier D,20,20,0,0,4,0.151,252.44,6829.35
ORD-9109,2025-04-08,Furniture,Sydney DC,Supplier B,9,8,1,5,1,0.262,172.71,4122.81
ORD-9110,2025-06-14,Appliances,Brisbane DC,Supplier D,20,20,0,0,2,0.277,229.87,6924.4
ORD-9111,2025-04-22,Kitchen,Sydney DC,Supplier D,14,14,0,0,1,0.393,79.85,1151.27
ORD-9112,2025-05-05,Homewares,Perth DC,Supplier C,17,17,0,0,0,0.344,132.24,1216.1
ORD-9113,2025-05-03,Furniture,Brisbane DC,Supplier D,7,7,0,0,1,0.266,105.19,3017.76
ORD-9114,2025-05-14,Outdoor,Sydney DC,Supplier B,13,13,0,0,0,0.306,166.49,2152.57
ORD-9115,2025-06-07,Appliances,Perth DC,Supplier A,12,12,0,0,1,0.275,185.26,3805.3
ORD-9116,2025-05-14,Appliances,Brisbane DC,Supplier B,11,11,0,0,0,0.145,192.87,3893.71
ORD-9117,2025-04-24,Kitchen,Sydney DC,Supplier A,25,25,0,0,1,0.38,182.2,1553.13
ORD-9118,2025-05-29,Furniture,Brisbane DC,Supplier A,9,9,0,0,1,0.328,182.94,3623.91
ORD-9119,2025-05-18,Appliances,Melbourne DC,Supplier A,13,13,0,0,0,0.255,231.19,4188.93
ORD-9120,2025-04-26,Furniture,Sydney DC,Supplier C,11,11,0,0,1,0.314,198.66,4196.04
ORD-9121,2025-05-15,Appliances,Melbourne DC,Supplier B,8,8,0,0,1,0.211,106.15,2587.46
ORD-9122,2025-04-02,Homewares,Perth DC,Supplier D,23,23,0,0,1,0.375,199.4,1206.06
ORD-9123,2025-07-08,Furniture,Melbourne DC,Supplier C,9,9,0,0,2,0.387,180.9,4015.71
ORD-9124,2025-07-09,Electronics,Sydney DC,Supplier B,13,13,0,0,3,0.066,140.95,3703.65
ORD-9125,2025-04-23,Appliances,Melbourne DC,Supplier B,8,8,0,0,1,0.205,96.26,2650.72
ORD-9126,2025-06-08,Appliances,Brisbane DC,Supplier A,6,6,0,0,1,0.298,93.57,1841.48
ORD-9127,2025-07-04,Appliances,Brisbane DC,Supplier C,6,6,0,0,0,0.212,95.85,2042.64
ORD-9128,2025-04-04,Electronics,Sydney DC,Supplier D,13,13,0,0,0,0.255,87.31,2858.45
ORD-9129,2025-04-24,Furniture,Melbourne DC,Supplier A,9,9,0,0,1,0.316,193.81,3616.48
ORD-9130,2025-06-02,Electronics,Melbourne DC,Supplier A,17,17,0,0,2,0.125,206.91,4071.14
ORD-9131,2025-05-02,Furniture,Sydney DC,Supplier A,8,8,0,0,1,0.255,161.91,3236.04
ORD-9132,2025-05-16,Appliances,Melbourne DC,Supplier D,12,10,1,2,0,0.437,168.76,3954.65
ORD-9133,2025-06-18,Appliances,Sydney DC,Supplier D,12,12,0,0,1,0.189,141.95,4013.03
ORD-9134,2025-04-11,Outdoor,Sydney DC,Supplier B,19,19,0,0,1,0.382,260.79,2967.57
ORD-9135,2025-05-02,Kitchen,Brisbane DC,Supplier A,16,16,0,0,1,0.261,100.31,279.85
ORD-9136,2025-06-30,Appliances,Melbourne DC,Supplier B,10,10,0,0,0,0.253,128.94,3081.43
ORD-9137,2025-06-30,Furniture,Perth DC,Supplier C,3,0,1,1,0,0.375,57.85,1316.56
ORD-9138,2025-07-06,Furniture,Brisbane DC,Supplier B,5,5,0,0,0,0.313,99.85,2374.7
ORD-9139,2025-04-14,Kitchen,Melbourne DC,Supplier B,24,24,0,0,1,0.372,-8.61,1406.63
ORD-9140,2025-06-05,Outdoor,Melbourne DC,Supplier D,13,13,0,0,0,0.37,161.15,2097.6
ORD-9141,2025-04-19,Furniture,Perth DC,Supplier D,5,5,0,0,0,0.327,98.29,2319.97
ORD-9142,2025-05-02,Appliances,Perth DC,Supplier D,5,5,0,0,1,0.2,46.93,1403.13
ORD-9143,2025-04-01,Furniture,Melbourne DC,Supplier D,8,8,0,0,0,0.341,150.55,3372.26
ORD-9144,2025-05-26,Outdoor,Melbourne DC,Supplier A,18,16,1,3,1,0.313,218.41,3297.54
ORD-9145,2025-04-24,Appliances,Brisbane DC,Supplier C,15,15,0,0,0,0.18,207.83,5165.38
ORD-9146,2025-06-28,Homewares,Melbourne DC,Supplier B,19,19,0,0,0,0.397,139.59,1163.48
ORD-9147,2025-04-20,Electronics,Melbourne DC,Supplier A,10,10,0,0,2,0.243,80.95,2748.19
ORD-9148,2025-06-03,Electronics,Sydney DC,Supplier B,16,16,0,0,1,0.095,162.85,3956.56
ORD-9149,2025-05-23,Homewares,Melbourne DC,Supplier B,18,18,0,0,1,0.441,143.01,1263.91
ORD-9150,2025-05-19,Furniture,Brisbane DC,Supplier D,7,7,0,0,1,0.411,127.73,3110.72
ORD-9151,2025-06-01,Kitchen,Brisbane DC,Supplier D,21,21,0,0,0,0.349,71.32,1413.24
ORD-9152,2025-06-10,Kitchen,Perth DC,Supplier C,18,18,0,0,0,0.425,61.08,1333.82
ORD-9153,2025-07-01,Outdoor,Sydney DC,Supplier A,9,7,1,5,0,0.278,111.8,1023.13
ORD-9154,2025-04-21,Homewares,Perth DC,Supplier C,23,23,0,0,0,0.403,108.91,1863.43
ORD-9155,2025-04-27,Homewares,Sydney DC,Supplier D,21,21,0,0,0,0.33,95.25,1440.0
ORD-9156,2025-05-09,Electronics,Perth DC,Supplier D,19,19,0,0,1,0.157,207.33,4813.0
ORD-9157,2025-07-03,Furniture,Brisbane DC,Supplier D,8,8,0,0,0,0.273,154.0,3484.55
ORD-9158,2025-06-19,Homewares,Perth DC,Supplier B,23,23,0,0,2,0.293,190.78,2543.84
ORD-9159,2025-06-20,Electronics,Melbourne DC,Supplier D,20,20,0,0,2,0.139,182.8,6123.48
ORD-9160,2025-06-03,Electronics,Melbourne DC,Supplier D,28,28,0,0,4,0.118,400.61,6884.48
ORD-9161,2025-05-21,Homewares,Sydney DC,Supplier D,21,21,0,0,1,0.364,192.45,1280.85
ORD-9162,2025-06-16,Appliances,Sydney DC,Supplier C,15,15,0,0,2,0.095,207.13,3986.47
ORD-9163,2025-06-22,Outdoor,Sydney DC,Supplier C,11,11,0,0,2,0.29,159.86,2197.2
ORD-9164,2025-04-13,Kitchen,Perth DC,Supplier D,18,18,0,0,0,0.29,178.99,343.01
ORD-9165,2025-04-06,Furniture,Perth DC,Supplier A,10,10,0,0,0,0.342,163.49,3784.43
ORD-9166,2025-05-11,Electronics,Melbourne DC,Supplier B,9,9,0,0,0,0.128,122.6,2195.2
ORD-9167,2025-07-01,Furniture,Melbourne DC,Supplier D,13,10,1,2,0,0.358,217.82,5982.83
ORD-9168,2025-05-08,Homewares,Sydney DC,Supplier A,21,21,0,0,1,0.447,191.21,920.35
ORD-9169,2025-05-25,Outdoor,Melbourne DC,Supplier A,15,15,0,0,1,0.193,189.97,2282.88
ORD-9170,2025-06-02,Homewares,Sydney DC,Supplier D,18,15,1,2,0,0.468,134.09,1250.36
ORD-9171,2025-04-21,Kitchen,Perth DC,Supplier D,26,26,0,0,0,0.234,126.69,1277.04
ORD-9172,2025-05-24,Appliances,Perth DC,Supplier C,10,10,0,0,0,0.204,106.17,2607.35
ORD-9173,2025-04-01,Outdoor,Sydney DC,Supplier B,12,12,0,0,0,0.294,193.49,2195.03
ORD-9174,2025-04-28,Outdoor,Sydney DC,Supplier D,9,9,0,0,0,0.3,129.04,1708.26
ORD-9175,2025-05-17,Appliances,Perth DC,Supplier C,10,10,0,0,0,0.202,137.18,3049.52
ORD-9176,2025-05-03,Kitchen,Perth DC,Supplier C,19,19,0,0,2,0.379,139.76,858.46
ORD-9177,2025-07-05,Furniture,Melbourne DC,Supplier D,13,13,0,0,2,0.381,202.88,5008.25
ORD-9178,2025-07-04,Homewares,Sydney DC,Supplier B,12,12,0,0,1,0.33,98.82,990.64
ORD-9179,2025-06-27,Homewares,Perth DC,Supplier C,27,27,0,0,0,0.388,221.01,1845.67
ORD-9180,2025-07-05,Appliances,Perth DC,Supplier C,14,14,0,0,0,0.241,189.02,4484.36
ORD-9181,2025-04-05,Homewares,Melbourne DC,Supplier D,33,33,0,0,2,0.409,138.48,2600.94
ORD-9182,2025-04-11,Kitchen,Melbourne DC,Supplier C,16,16,0,0,0,0.35,125.74,328.83
ORD-9183,2025-04-22,Appliances,Perth DC,Supplier D,12,12,0,0,0,0.211,166.73,4054.67
ORD-9184,2025-06-28,Homewares,Sydney DC,Supplier A,20,20,0,0,0,0.391,85.75,1833.57
ORD-9185,2025-05-21,Homewares,Sydney DC,Supplier A,21,21,0,0,0,0.38,173.85,1948.26
ORD-9186,2025-04-15,Appliances,Brisbane DC,Supplier D,16,16,0,0,1,0.275,230.25,5247.71
ORD-9187,2025-05-10,Furniture,Sydney DC,Supplier A,4,4,0,0,0,0.401,85.86,1694.36
ORD-9188,2025-07-04,Appliances,Melbourne DC,Supplier D,15,15,0,0,2,0.233,165.02,4814.39
ORD-9189,2025-04-20,Appliances,Sydney DC,Supplier B,14,14,0,0,1,0.274,170.73,4668.15
ORD-9190,2025-04-12,Electronics,Melbourne DC,Supplier A,16,13,1,3,2,0.22,165.33,4714.86
ORD-9191,2025-05-12,Outdoor,Brisbane DC,Supplier B,9,9,0,0,1,0.264,110.92,1333.02
ORD-9192,2025-07-04,Kitchen,Brisbane DC,Supplier B,24,24,0,0,0,0.404,182.33,1981.73
ORD-9193,2025-04-06,Furniture,Melbourne DC,Supplier C,8,8,0,0,1,0.328,143.64,3543.93
ORD-9194,2025-04-19,Appliances,Melbourne DC,Supplier C,17,17,0,0,0,0.224,182.21,6067.63
ORD-9195,2025-07-01,Homewares,Sydney DC,Supplier A,33,33,0,0,1,0.364,215.1,3964.56
ORD-9196,2025-04-29,Outdoor,Melbourne DC,Supplier C,16,16,0,0,1,0.379,203.43,2676.9
ORD-9197,2025-06-20,Homewares,Perth DC,Supplier D,17,17,0,0,0,0.379,128.21,971.72
ORD-9198,2025-05-08,Appliances,Perth DC,Supplier B,14,14,0,0,0,0.362,150.62,3895.41
ORD-9199,2025-05-03,Electronics,Brisbane DC,Supplier B,12,12,0,0,2,0.263,112.51,3251.95
ORD-9200,2025-06-21,Furniture,Sydney DC,Supplier B,6,6,0,0,0,0.325,114.76,2476.52
ORD-9201,2025-04-29,Outdoor,Brisbane DC,Supplier D,11,11,0,0,0,0.286,146.95,2016.4
ORD-9202,2025-06-09,Electronics,Melbourne DC,Supplier C,17,17,0,0,2,0.378,154.83,5385.62
ORD-9203,2025-05-22,Kitchen,Brisbane DC,Supplier D,30,30,0,0,0,0.364,278.89,2175.21
ORD-9204,2025-07-06,Appliances,Sydney DC,Supplier A,14,14,0,0,1,0.207,247.65,3895.73
ORD-9205,2025-05-13,Furniture,Sydney DC,Supplier B,6,6,0,0,0,0.399,110.85,2430.13
ORD-9206,2025-04-25,Kitchen,Brisbane DC,Supplier D,16,16,0,0,0,0.356,77.95,1329.24
ORD-9207,2025-06-19,Homewares,Melbourne DC,Supplier C,18,18,0,0,0,0.473,164.04,2133.69
ORD-9208,2025-04-16,Homewares,Brisbane DC,Supplier A,26,23,1,1,2,0.307,188.45,3017.72
ORD-9209,2025-07-05,Outdoor,Perth DC,Supplier B,12,12,0,0,2,0.293,138.09,1808.81
ORD-9210,2025-07-06,Appliances,Perth DC,Supplier A,11,11,0,0,0,0.226,148.62,3174.89
ORD-9211,2025-05-18,Furniture,Sydney DC,Supplier C,11,11,0,0,1,0.412,220.21,4327.41
ORD-9212,2025-05-08,Electronics,Perth DC,Supplier C,11,11,0,0,0,0.219,99.9,2949.86
ORD-9213,2025-04-22,Homewares,Sydney DC,Supplier B,16,16,0,0,2,0.399,98.69,1671.0
ORD-9214,2025-07-04,Outdoor,Sydney DC,Supplier C,13,12,1,1,1,0.413,178.48,2406.12
ORD-9215,2025-04-24,Furniture,Melbourne DC,Supplier B,11,11,0,0,0,0.347,179.08,5233.41
ORD-9216,2025-06-17,Outdoor,Perth DC,Supplier D,11,11,0,0,1,0.338,137.44,1840.83
ORD-9217,2025-04-22,Electronics,Brisbane DC,Supplier B,10,9,1,1,0,0.254,59.07,2865.36
ORD-9218,2025-05-20,Homewares,Melbourne DC,Supplier D,16,16,0,0,0,0.386,108.29,922.22
ORD-9219,2025-04-12,Furniture,Perth DC,Supplier A,3,3,0,0,0,0.37,55.53,1339.28
ORD-9220,2025-06-06,Kitchen,Melbourne DC,Supplier D,25,25,0,0,0,0.226,180.25,882.62
ORD-9221,2025-04-14,Electronics,Brisbane DC,Supplier C,17,16,1,2,2,0.207,242.84,4808.49
ORD-9222,2025-05-11,Homewares,Sydney DC,Supplier A,18,18,0,0,1,0.35,77.64,1494.32
ORD-9223,2025-04-10,Kitchen,Brisbane DC,Supplier B,26,26,0,0,0,0.39,239.94,1685.51
ORD-9224,2025-05-16,Appliances,Melbourne DC,Supplier D,11,11,0,0,1,0.283,138.79,3517.21
ORD-9225,2025-05-10,Outdoor,Melbourne DC,Supplier B,5,2,1,2,0,0.294,68.85,904.0
ORD-9226,2025-07-05,Outdoor,Sydney DC,Supplier C,13,13,0,0,0,0.341,199.69,2576.66
ORD-9227,2025-04-07,Electronics,Sydney DC,Supplier C,15,15,0,0,3,0.158,187.07,3931.24
ORD-9228,2025-04-11,Electronics,Sydney DC,Supplier A,14,14,0,0,1,0.186,134.0,3474.18
ORD-9229,2025-07-08,Furniture,Sydney DC,Supplier A,10,10,0,0,1,0.217,170.02,4496.73
ORD-9230,2025-04-08,Appliances,Brisbane DC,Supplier B,15,15,0,0,0,0.214,244.04,4503.85
ORD-9231,2025-04-28,Kitchen,Perth DC,Supplier C,17,17,0,0,0,0.346,104.9,799.58
ORD-9232,2025-05-16,Outdoor,Sydney DC,Supplier D,10,10,0,0,0,0.347,130.4,1894.8
ORD-9233,2025-04-21,Outdoor,Perth DC,Supplier D,8,8,0,0,0,0.219,98.47,1605.98
ORD-9234,2025-06-22,Electronics,Brisbane DC,Supplier A,15,15,0,0,2,0.181,177.8,3988.55
ORD-9235,2025-06-13,Appliances,Perth DC,Supplier B,16,16,0,0,2,0.256,214.05,4810.38
ORD-9236,2025-04-04,Outdoor,Melbourne DC,Supplier C,11,11,0,0,0,0.381,128.99,1937.04
ORD-9237,2025-07-05,Homewares,Melbourne DC,Supplier A,28,27,1,2,0,0.384,230.22,2788.85
ORD-9238,2025-05-11,Outdoor,Perth DC,Supplier A,10,10,0,0,1,0.279,136.4,1660.16
ORD-9239,2025-05-28,Appliances,Melbourne DC,Supplier D,8,8,0,0,1,0.213,128.46,2463.78
ORD-9240,2025-05-20,Electronics,Melbourne DC,Supplier B,15,15,0,0,1,0.297,140.03,3974.11
ORD-9241,2025-06-12,Appliances,Brisbane DC,Supplier C,7,7,0,0,0,0.207,115.62,2067.44
ORD-9242,2025-05-10,Furniture,Sydney DC,Supplier A,8,8,0,0,0,0.353,156.88,3668.56
ORD-9243,2025-04-08,Furniture,Melbourne DC,Supplier C,7,7,0,0,0,0.328,110.29,3404.58
ORD-9244,2025-06-15,Homewares,Brisbane DC,Supplier D,15,13,1,1,0,0.446,127.2,1150.8
ORD-9245,2025-06-24,Homewares,Melbourne DC,Supplier A,20,20,0,0,0,0.405,201.69,1943.96
ORD-9246,2025-04-15,Electronics,Perth DC,Supplier D,13,13,0,0,1,0.217,165.7,3496.45
ORD-9247,2025-05-20,Homewares,Perth DC,Supplier A,21,21,0,0,0,0.435,177.96,2404.02
ORD-9248,2025-05-24,Homewares,Brisbane DC,Supplier D,22,22,0,0,2,0.39,75.84,1756.7
