crm_record_id,lead_id,customer_id,created_date,lead_source,customer_journey_stage,owner_team,region,lead_count,qualified_lead_flag,opportunity_created,closed_won_count,closed_lost_count,callback_required,contact_attempts,estimated_pipeline_value_aud,realized_revenue_aud,days_to_contact,days_in_stage,priority_tier,notes_quality_score
CRM-2026-1012,L-28777,CUST-1045,2026-03-18,Website Form,New Lead,North Team,SA,4,0,0,0,0,0,2,2111.77,,2,1,Low,0.87
CRM-2026-1013,L-15122,CUST-1622,2026-03-31,Partner,New Lead,SMB Team,WA,1,1,0,0,0,0,2,5117.64,799.65,2,14,High,0.64
CRM-2026-1014,L-36069,CUST-1033,2026-04-12,Referral,New Lead,Enterprise Team,SA,1,0,1,0,0,0,2,6206.3,,6,22,Medium,0.63
CRM-2026-1015,L-86323,CUST-1919,2026-04-16,Email Nurture,Proposal,North Team,QLD,4,1,1,0,0,0,2,1320.16,,0,9,High,0.88
CRM-2026-1016,L-69383,CUST-1009,2026-01-26,Website Form,New Lead,Enterprise Team,VIC,5,0,0,0,0,0,4,1301.51,,6,29,High,0.5
CRM-2026-1017,L-30611,CUST-1600,2026-01-05,Website Form,New Lead,North Team,QLD,5,0,0,0,0,0,3,2081.35,188.0,2,8,Medium,0.65
CRM-2026-1018,L-61356,CUST-1549,2026-01-24,Outbound,Contacted,Enterprise Team,VIC,4,0,0,0,0,1,3,5135.14,,3,18,Low,0.56
CRM-2026-1019,L-24153,CUST-1871,2026-02-24,Partner,Qualified,SMB Team,WA,3,1,0,0,0,0,3,7234.88,,4,2,Strategic,0.53
CRM-2026-1020,L-57882,CUST-1406,2026-01-04,Outbound,Qualified,Enterprise Team,SA,4,1,0,0,0,0,1,6023.59,,1,7,Medium,0.89
CRM-2026-1021,L-80835,CUST-1709,2026-03-31,Referral,Contacted,North Team,WA,4,1,1,0,0,0,2,,241.01,0,6,Medium,0.72
CRM-2026-1022,L-99106,CUST-1017,2026-04-20,Email Nurture,Qualified,Enterprise Team,SA,3,1,1,0,0,0,2,2533.77,,4,5,Medium,0.7
CRM-2026-1023,L-95595,CUST-1263,2026-02-01,Outbound,Negotiation,North Team,WA,3,1,1,0,0,0,7,2351.75,,1,9,High,0.89
CRM-2026-1024,L-33236,CUST-1915,2026-02-09,Referral,Proposal,North Team,NSW,1,1,1,0,0,0,1,3990.39,,4,7,Low,0.89
CRM-2026-1025,L-86908,CUST-1609,2026-01-04,Referral,Negotiation,South Team,WA,4,1,1,0,0,0,5,5464.85,,0,3,High,0.89
CRM-2026-1026,L-99599,CUST-1675,2026-03-07,Website Form,New Lead,North Team,VIC,3,0,0,0,0,1,5,2746.35,238.59,0,19,Medium,0.8
CRM-2026-1027,,CUST-1434,2026-03-03,Email Nurture,Proposal,North Team,SA,6,1,1,0,0,0,3,3140.53,,1,15,Low,0.94
CRM-2026-1028,,CUST-1628,2026-01-23,Website Form,Closed Lost,South Team,SA,8,1,0,0,1,1,2,645.48,,1,15,Medium,0.87
CRM-2026-1029,L-89273,CUST-1107,2026-02-04,Partner,New Lead,South Team,QLD,2,0,0,0,0,0,3,4589.2,,2,11,High,0.98
CRM-2026-1030,L-42913,CUST-1957,2026-03-19,Referral,Negotiation,South Team,WA,4,1,1,0,0,0,1,,,0,15,Low,0.51
CRM-2026-1031,L-65554,CUST-1887,2026-03-01,Referral,New Lead,SMB Team,WA,3,0,1,0,0,1,5,7320.94,,5,7,Strategic,0.94
CRM-2026-1032,L-79669,CUST-1327,2026-01-24,Email Nurture,New Lead,South Team,NSW,7,0,1,0,0,0,5,1663.83,,2,11,Strategic,0.51
CRM-2026-1033,L-84553,CUST-1760,2026-04-20,Email Nurture,Closed Lost,North Team,WA,6,1,0,0,1,1,4,2206.96,,4,8,Low,0.88
CRM-2026-1034,L-93807,CUST-1483,2026-04-01,Event,Qualified,North Team,WA,6,1,0,0,0,1,2,1874.7,221.92,2,8,Low,0.76
CRM-2026-1035,L-99186,CUST-1396,2026-02-20,Referral,Proposal,North Team,NSW,6,1,1,0,0,1,1,,,1,11,Medium,0.9
CRM-2026-1036,L-48158,CUST-1491,2026-04-03,Event,Contacted,North Team,QLD,5,0,1,0,0,1,3,4573.98,,3,10,High,0.86
CRM-2026-1037,L-64615,CUST-1583,2026-03-02,Event,Closed Won,SMB Team,QLD,5,1,1,1,0,0,2,1074.73,1046.11,3,8,Low,0.66
CRM-2026-1038,L-55004,CUST-1925,2026-02-13,Outbound,Proposal,South Team,WA,7,1,1,0,0,0,2,538.94,,0,8,High,0.87
CRM-2026-1039,L-46877,CUST-1970,2026-04-04,Website Form,New Lead,North Team,QLD,4,0,0,0,0,1,5,2844.9,,6,15,Medium,0.78
CRM-2026-1040,L-10956,CUST-1023,2026-03-03,Referral,Qualified,Enterprise Team,WA,6,1,0,0,0,1,4,8185.48,,0,5,Strategic,0.47
CRM-2026-1041,,CUST-1552,2026-03-23,Email Nurture,Qualified,South Team,WA,7,1,0,0,0,1,3,1414.2,,4,14,Medium,0.64
CRM-2026-1042,L-33499,CUST-1512,2026-01-17,Outbound,New Lead,South Team,VIC,3,1,0,0,0,0,4,2999.6,,1,4,High,0.64
CRM-2026-1043,L-45057,CUST-1215,2026-03-05,Outbound,Negotiation,Enterprise Team,SA,4,1,1,0,0,0,5,3841.67,,1,3,Medium,0.73
CRM-2026-1044,L-60138,CUST-1839,2026-03-05,Website Form,New Lead,North Team,NSW,4,1,1,0,0,1,4,2698.39,,3,11,High,0.76
CRM-2026-1045,L-61924,CUST-1654,2026-02-18,Referral,New Lead,Enterprise Team,VIC,5,0,1,0,0,0,1,6747.19,765.39,2,22,Medium,0.74
CRM-2026-1046,L-68348,CUST-1020,2026-03-05,Outbound,Qualified,South Team,NSW,4,1,0,0,0,0,7,6169.93,,3,12,Strategic,0.48
CRM-2026-1047,L-31675,CUST-1375,2026-02-22,Email Nurture,Contacted,North Team,WA,7,1,1,0,0,0,5,1329.2,115.7,0,5,High,0.72
CRM-2026-1048,L-90532,CUST-1976,2026-04-20,Outbound,Negotiation,Enterprise Team,NSW,5,1,1,0,0,1,4,3710.92,296.65,1,5,Medium,0.79
CRM-2026-1049,L-41367,CUST-1352,2026-02-26,Website Form,Proposal,North Team,VIC,4,1,1,0,0,0,5,2763.29,,5,6,Medium,0.49
CRM-2026-1050,L-58604,CUST-1286,2026-03-07,Event,Contacted,Enterprise Team,NSW,4,0,1,0,0,0,1,1347.68,,1,14,Medium,0.89
CRM-2026-1051,L-40682,CUST-1760,2026-01-05,Website Form,Contacted,SMB Team,QLD,4,0,1,0,0,1,7,2901.03,,4,2,Medium,0.77
CRM-2026-1052,L-74309,CUST-1288,2026-04-13,Outbound,Closed Lost,South Team,SA,4,0,0,0,1,0,7,4422.95,,2,16,High,0.54
CRM-2026-1053,L-89364,CUST-1466,2026-02-22,Outbound,Contacted,North Team,WA,3,0,0,0,0,1,2,,,1,7,High,0.78
CRM-2026-1054,L-22411,CUST-1421,2026-01-09,Referral,Qualified,North Team,WA,2,1,0,0,0,1,1,3500.58,,0,9,Medium,0.55
CRM-2026-1055,L-20634,CUST-1702,2026-01-23,Referral,Contacted,SMB Team,WA,4,0,0,0,0,0,4,5699.07,,4,2,Low,0.91
CRM-2026-1056,L-38602,CUST-1725,2026-03-16,Website Form,Proposal,SMB Team,WA,7,1,1,0,0,1,3,2195.09,,4,24,Medium,0.53
CRM-2026-1057,L-86295,CUST-1319,2026-02-10,Partner,Qualified,Enterprise Team,WA,1,1,0,0,0,0,4,3400.27,830.18,0,6,Strategic,0.86
CRM-2026-1058,L-67866,CUST-1521,2026-01-20,Website Form,Closed Lost,Enterprise Team,QLD,4,0,0,0,1,1,2,2056.72,350.42,3,9,Medium,0.68
CRM-2026-1059,L-67941,CUST-1661,2026-01-06,Referral,Proposal,SMB Team,SA,2,1,1,0,0,1,4,6609.14,,1,13,Medium,0.72
CRM-2026-1060,L-72946,CUST-1223,2026-04-01,Event,Proposal,Enterprise Team,WA,3,1,1,0,0,0,4,,290.02,3,16,High,0.88
CRM-2026-1061,L-28313,CUST-1535,2026-03-03,Outbound,Proposal,South Team,VIC,2,1,1,0,0,1,2,1251.23,,0,7,Low,0.54
CRM-2026-1062,L-78926,CUST-1877,2026-01-16,Website Form,New Lead,North Team,WA,3,0,0,0,0,0,2,1845.86,,3,6,Strategic,0.56
CRM-2026-1063,L-67418,CUST-1870,2026-01-11,Event,Qualified,South Team,VIC,2,1,1,0,0,1,2,3256.29,,3,28,Medium,0.63
CRM-2026-1064,L-12839,CUST-1312,2026-04-02,Website Form,New Lead,SMB Team,WA,4,0,0,0,0,0,3,3727.81,712.77,1,8,Strategic,0.7
CRM-2026-1065,L-17927,CUST-1202,2026-02-24,Website Form,Contacted,North Team,SA,5,1,0,0,0,0,3,3242.53,,6,11,Low,0.67
CRM-2026-1066,L-43365,CUST-1288,2026-01-04,Website Form,Proposal,SMB Team,NSW,3,1,1,0,0,1,2,,234.76,0,11,High,0.49
CRM-2026-1067,L-22819,CUST-1153,2026-03-27,Partner,Qualified,North Team,NSW,5,1,0,0,0,0,3,,,2,20,Medium,0.92
CRM-2026-1068,L-16852,CUST-1306,2026-04-04,Email Nurture,Closed Won,North Team,VIC,5,1,1,1,0,0,2,1177.62,1259.28,1,7,Medium,0.85
CRM-2026-1069,L-90685,CUST-1886,2026-03-03,Website Form,Contacted,Enterprise Team,NSW,4,0,1,0,0,0,5,1254.43,,3,10,High,0.79
CRM-2026-1070,L-97489,CUST-1942,2026-03-14,Website Form,Closed Won,South Team,QLD,3,1,1,1,0,1,3,2647.85,2342.65,0,19,High,0.92
CRM-2026-1071,L-11089,CUST-1482,2026-02-15,Outbound,Contacted,North Team,NSW,2,0,0,0,0,0,2,1140.11,164.47,4,7,High,0.57
CRM-2026-1072,L-82237,CUST-1549,2026-01-10,event,Contacted,Enterprise Team,SA,4,0,1,0,0,1,5,3271.57,,1,4,Medium,0.88
CRM-2026-1073,L-24849,CUST-1872,2026-02-18,Outbound,New Lead,South Team,NSW,6,0,0,0,0,0,6,845.67,54.84,3,4,High,0.73
CRM-2026-1074,L-74046,CUST-1526,2026-02-06,Event,Contacted,South Team,QLD,4,1,0,0,0,0,3,1281.23,289.3,4,12,High,0.78
CRM-2026-1075,L-95371,CUST-1361,2026-03-21,Outbound,Proposal,North Team,SA,2,1,1,0,0,0,5,2591.31,,2,3,Medium,0.56
CRM-2026-1076,L-32054,CUST-1396,2026-03-24,Outbound,New Lead,North Team,QLD,4,0,1,0,0,0,2,3465.37,,1,11,Strategic,0.54
CRM-2026-1077,L-44542,CUST-1411,2026-02-07,Referral,Proposal,SMB Team,WA,7,1,1,0,0,0,2,5112.91,,1,17,Medium,0.85
CRM-2026-1078,L-44624,CUST-1310,2026-02-21,referral,Proposal,Enterprise Team,QLD,2,1,1,0,0,1,6,5046.07,,1,11,Medium,0.63
CRM-2026-1079,L-86708,CUST-1006,2026-04-16,Partner,Proposal,SMB Team,QLD,4,1,1,0,0,0,7,904.56,,4,5,High,0.79
CRM-2026-1080,L-36417,CUST-1261,2026-01-06,Referral,New Lead,South Team,VIC,3,1,0,0,0,1,7,,605.34,2,24,Strategic,0.51
CRM-2026-1081,L-19569,CUST-1415,2026-01-04,Email Nurture,Contacted,SMB Team,SA,3,1,0,0,0,0,2,1785.17,,3,5,High,0.57
CRM-2026-1082,L-34842,CUST-1821,2026-01-08,Event,Qualified,North Team,WA,6,1,0,0,0,0,4,3751.74,,4,11,High,0.52
CRM-2026-1083,L-32190,CUST-1750,2026-02-25,Event,Contacted,SMB Team,SA,4,0,0,0,0,0,3,5811.17,711.6,0,14,Low,0.9
CRM-2026-1084,L-27611,CUST-1193,2026-04-18,Referral,Closed Won,SMB Team,QLD,3,1,1,1,0,1,4,4993.49,3806.14,4,5,High,0.97
CRM-2026-1085,,CUST-1572,2026-01-06,Website Form,Closed Lost,North Team,QLD,5,0,0,0,1,0,6,1531.57,,2,6,Medium,0.7
CRM-2026-1086,L-86112,CUST-1182,2026-02-25,Website Form,Proposal,Enterprise Team,SA,4,1,1,0,0,0,3,2532.8,404.73,0,11,High,0.49
CRM-2026-1087,L-60961,CUST-1095,2026-04-05,Partner,Contacted,Enterprise Team,SA,3,0,0,0,0,1,1,6501.55,,3,17,Medium,0.63
CRM-2026-1088,,CUST-1022,2026-03-06,Email Nurture,New Lead,SMB Team,VIC,4,0,0,0,0,1,5,1969.35,,3,8,Medium,0.52
CRM-2026-1089,L-44773,CUST-1992,2026-01-20,Partner,Closed Lost,North Team,SA,3,0,0,0,1,0,4,4010.95,534.66,2,15,Medium,0.94
CRM-2026-1090,L-28199,CUST-1769,2026-04-02,Website Form,proposal,SMB Team,SA,5,1,1,0,0,0,2,2948.3,,2,1,Medium,0.77
CRM-2026-1091,L-65350,CUST-1953,2026-02-15,Website Form,Qualified,SMB Team,SA,4,1,0,0,0,1,2,2010.21,,1,15,Medium,0.8
CRM-2026-1092,L-31607,CUST-1392,2026-02-05,Outbound,Closed Won,Enterprise Team,QLD,4,1,1,1,0,1,3,1613.1,1599.09,2,3,High,0.75
CRM-2026-1093,L-57562,CUST-1247,2026-03-17,Event,New Lead,Enterprise Team,NSW,6,1,0,0,0,1,3,3406.41,,5,3,High,0.49
CRM-2026-1094,L-83402,CUST-1089,2026-03-05,Website Form,Negotiation,South Team,NSW,3,1,1,0,0,1,5,2382.89,,0,11,Strategic,0.54
CRM-2026-1095,L-46777,CUST-1254,2026-04-12,website form,New Lead,North Team,SA,8,0,0,0,0,0,3,,,3,4,High,0.84
CRM-2026-1096,,CUST-1358,2026-01-16,Website Form,qualified,North Team,QLD,2,1,0,0,0,0,4,2798.47,,0,18,Medium,0.75
CRM-2026-1097,L-76668,CUST-1699,2026-04-07,Referral,Proposal,North Team,NSW,3,1,1,0,0,0,5,4012.57,,0,17,Medium,0.85
CRM-2026-1098,L-40908,CUST-1163,2026-02-19,Event,Closed Won,Enterprise Team,WA,3,1,1,1,0,0,3,2794.53,3147.52,4,16,Low,0.91
CRM-2026-1099,L-35711,CUST-1410,2026-01-17,Outbound,Contacted,South Team,WA,5,0,0,0,0,0,3,2638.05,469.91,0,7,Strategic,0.67
CRM-2026-1100,L-12800,CUST-1832,2026-03-15,Website Form,Negotiation,Enterprise Team,VIC,4,1,1,0,0,0,3,1827.59,,0,14,Medium,0.53
CRM-2026-1101,L-81569,CUST-1368,2026-03-21,Website Form,New Lead,SMB Team,NSW,5,1,0,0,0,1,2,2653.2,395.99,5,10,High,0.88
CRM-2026-1102,L-21889,CUST-1783,2026-03-30,Outbound,Closed Lost,North Team,VIC,3,0,0,0,1,1,5,4336.77,,2,11,Low,0.55
CRM-2026-1103,L-32931,CUST-1028,2026-03-05,Website Form,Contacted,North Team,SA,5,0,0,0,0,1,3,2735.65,,2,13,Low,0.69
CRM-2026-1104,,CUST-1668,2026-02-11,Email Nurture,New Lead,Enterprise Team,SA,5,0,0,0,0,0,2,1663.84,,5,7,Low,0.74
CRM-2026-1105,L-92736,CUST-1136,2026-03-28,Partner,proposal,South Team,QLD,5,1,1,0,0,0,4,4697.11,,2,14,High,0.55
CRM-2026-1106,L-11134,CUST-1479,2026-03-23,Partner,Closed Lost,North Team,NSW,4,0,0,0,1,1,5,5054.47,,0,2,Medium,0.77
CRM-2026-1107,,CUST-1186,2026-04-21,Referral,Contacted,SMB Team,QLD,4,0,0,0,0,1,2,1827.75,213.34,1,31,High,0.68
CRM-2026-1108,L-77173,CUST-1037,2026-03-25,Referral,proposal,SMB Team,SA,5,1,1,0,0,0,3,3178.7,,2,5,Strategic,0.85
CRM-2026-1109,L-94774,CUST-1847,2026-02-24,Partner,Negotiation,South Team,SA,3,1,1,0,0,0,3,6327.57,,3,19,Medium,0.91
CRM-2026-1110,L-51605,CUST-1619,2026-01-26,Partner,Negotiation,SMB Team,QLD,2,1,1,0,0,1,3,191.78,,0,11,Low,0.54
CRM-2026-1111,L-40049,CUST-1498,2026-01-28,Email Nurture,Contacted,South Team,SA,3,0,0,0,0,0,2,2163.44,287.62,5,32,Strategic,0.82
CRM-2026-1112,L-35963,CUST-1946,2026-04-01,Outbound,Closed Lost,South Team,NSW,3,0,0,0,1,1,8,5842.85,1146.74,2,2,High,0.66
CRM-2026-1113,,CUST-1573,2026-03-03,Outbound,New Lead,South Team,VIC,4,0,0,0,0,0,5,3122.46,505.25,4,3,Medium,0.94
CRM-2026-1114,L-30176,CUST-1354,2026-04-21,Referral,Negotiation,SMB Team,VIC,1,1,1,0,0,1,4,1782.14,,4,24,Low,0.55
CRM-2026-1115,L-70593,CUST-1395,2026-02-12,Email Nurture,Negotiation,SMB Team,QLD,6,1,1,0,0,0,3,2115.58,473.31,0,2,Medium,0.73
CRM-2026-1116,L-43457,CUST-1687,2026-01-31,Partner,Negotiation,North Team,WA,6,1,1,0,0,0,7,4756.82,,0,15,Medium,0.93
CRM-2026-1117,L-16644,CUST-1802,2026-01-17,Email Nurture,negotiation,SMB Team,QLD,9,1,1,0,0,0,3,1555.34,355.15,2,14,Low,0.72
CRM-2026-1118,L-46182,CUST-1424,2026-02-16,Website Form,Closed Lost,South Team,WA,7,0,0,0,1,1,7,2819.25,,4,11,Medium,0.85
CRM-2026-1119,L-32439,CUST-1810,2026-03-08,Event,Contacted,North Team,NSW,4,0,0,0,0,0,7,3073.0,,1,9,Strategic,0.92
CRM-2026-1120,L-79681,CUST-1357,2026-04-01,Partner,New Lead,SMB Team,QLD,5,0,1,0,0,0,6,6002.78,402.31,3,20,Low,0.51
CRM-2026-1121,L-54673,CUST-1030,2026-03-14,Website Form,New Lead,North Team,WA,2,0,0,0,0,0,2,0,0.0,3,2,Low,0.76
CRM-2026-1122,L-96694,CUST-1524,2026-01-11,Outbound,New Lead,Enterprise Team,SA,2,0,0,0,0,0,3,4477.78,,5,4,High,0.71
CRM-2026-1123,L-91972,CUST-1733,2026-03-31,Outbound,Negotiation,South Team,QLD,4,1,1,0,0,0,6,2791.0,364.38,2,20,Strategic,0.77
CRM-2026-1124,L-79504,CUST-1910,2026-01-03,Outbound,Qualified,South Team,QLD,6,1,0,0,0,0,2,,1344.79,3,7,Strategic,0.95
CRM-2026-1125,L-82307,CUST-1142,2026-04-20,Outbound,Closed Lost,SMB Team,WA,4,0,0,0,1,1,3,,176.42,2,17,Low,0.47
CRM-2026-1126,L-85476,CUST-1852,2026-01-10,Outbound,Qualified,SMB Team,VIC,4,1,0,0,0,1,4,1569.01,,3,3,Medium,0.5
CRM-2026-1127,,CUST-1795,2026-03-31,Referral,Contacted,South Team,WA,7,0,0,0,0,1,6,2516.16,,1,4,Strategic,0.55
CRM-2026-1128,L-93106,CUST-1459,2026-03-06,Referral,Closed Lost,North Team,VIC,3,0,1,0,1,0,4,1962.59,,4,8,High,0.64
CRM-2026-1129,L-51430,CUST-1963,2026-01-13,Partner,Contacted,South Team,VIC,7,1,0,0,0,1,2,6546.29,1155.08,0,11,Medium,0.82
CRM-2026-1130,L-60042,CUST-1967,2026-03-24,Referral,Qualified,SMB Team,QLD,3,1,0,0,0,1,2,5121.65,289.32,1,13,Strategic,0.59
CRM-2026-1131,L-72671,CUST-1007,2026-01-10,Email Nurture,Qualified,South Team,SA,1,1,0,0,0,1,2,1674.24,,0,12,Medium,0.93
CRM-2026-1132,L-22306,CUST-1574,2026-02-06,Outbound,New Lead,North Team,WA,5,0,0,0,0,0,4,3860.14,,2,11,Medium,0.74
CRM-2026-1133,L-15313,CUST-1286,2026-02-06,Referral,Negotiation,SMB Team,WA,7,1,1,0,0,0,2,,,1,7,Medium,0.62
CRM-2026-1134,L-29601,CUST-1782,2026-02-04,Event,New Lead,South Team,NSW,3,0,0,0,0,1,2,3408.12,,3,34,Medium,0.62
CRM-2026-1135,L-35416,CUST-1790,2026-01-07,Website Form,Contacted,North Team,VIC,4,0,0,0,0,0,4,0,0.0,2,7,Medium,0.87
CRM-2026-1136,,CUST-1977,2026-04-18,Partner,Proposal,South Team,VIC,2,1,1,0,0,0,2,5994.67,1436.62,0,21,Medium,0.46
CRM-2026-1137,L-92384,CUST-1375,2026-04-15,Event,Contacted,North Team,SA,3,0,0,0,0,0,1,3053.45,,0,8,Medium,0.48
CRM-2026-1138,L-26428,CUST-1786,2026-02-12,Partner,Contacted,North Team,NSW,8,0,0,0,0,1,2,4693.56,,0,15,Medium,0.92
CRM-2026-1139,L-56418,CUST-1606,2026-01-30,Email Nurture,Contacted,North Team,QLD,5,0,0,0,0,0,1,1999.18,,0,33,Medium,0.63
CRM-2026-1140,L-31684,CUST-1617,2026-01-09,Outbound,Closed Won,North Team,WA,3,1,1,1,0,0,1,2599.42,2493.99,3,21,Low,0.6
CRM-2026-1141,,CUST-1552,2026-03-16,Website Form,Closed Lost,North Team,QLD,6,0,0,0,1,1,3,1399.86,,3,3,Low,0.78
CRM-2026-1142,L-79517,CUST-1673,2026-03-15,Event,Closed Won,South Team,NSW,3,1,1,1,0,1,4,5286.31,5184.57,2,16,High,0.61
CRM-2026-1143,L-94284,CUST-1710,2026-01-14,Outbound,Proposal,SMB Team,VIC,5,1,1,0,0,1,2,,,1,12,Medium,0.71
CRM-2026-1144,L-19726,CUST-1408,2026-02-05,Referral,Closed Won,Enterprise Team,QLD,3,1,1,1,0,0,3,4279.0,4604.68,5,5,Medium,0.66
CRM-2026-1145,L-16828,CUST-1170,2026-02-04,Outbound,New Lead,North Team,QLD,7,0,0,0,0,0,4,6405.92,,3,7,High,0.55
CRM-2026-1146,L-93163,CUST-1576,2026-02-19,Website Form,Closed Lost,North Team,NSW,4,0,1,0,1,0,4,479.27,,2,13,Strategic,0.49
CRM-2026-1147,L-50475,CUST-1746,2026-01-25,Email Nurture,Closed Lost,Enterprise Team,SA,3,0,0,0,1,1,2,1018.59,143.45,5,10,Medium,0.72
CRM-2026-1148,L-38369,CUST-1168,2026-03-05,Website Form,Proposal,SMB Team,SA,2,1,1,0,0,0,4,2534.87,,1,6,Low,0.91
CRM-2026-1149,L-40979,CUST-1420,2026-03-31,Referral,New Lead,Enterprise Team,SA,3,0,0,0,0,1,5,6661.13,,2,14,Low,0.7
CRM-2026-1150,L-16089,CUST-1228,2026-02-08,Partner,negotiation,SMB Team,WA,3,1,1,0,0,0,3,8684.52,1249.74,3,21,High,0.46
CRM-2026-1151,L-62248,CUST-1502,2026-04-11,Website Form,Qualified,South Team,NSW,3,1,0,0,0,0,4,2621.59,,3,3,Medium,0.77
CRM-2026-1152,L-98583,CUST-1121,2026-02-15,Website Form,Proposal,Enterprise Team,WA,7,1,1,0,0,0,2,3929.27,388.34,2,4,Low,0.75
CRM-2026-1153,L-24506,CUST-1133,2026-04-16,Outbound,Closed Won,Enterprise Team,WA,6,1,1,1,0,0,3,4755.42,5438.35,2,12,Medium,0.74
CRM-2026-1154,L-55203,CUST-1117,2026-03-29,Website Form,New Lead,Enterprise Team,QLD,5,0,1,0,0,1,1,2329.71,,0,14,Low,0.63
CRM-2026-1155,L-15730,CUST-1609,2026-04-03,Event,Qualified,Enterprise Team,QLD,7,1,1,0,0,0,3,4266.73,,0,7,High,0.75
CRM-2026-1156,L-95216,CUST-1916,2026-02-06,Website Form,Proposal,SMB Team,WA,2,1,1,0,0,0,6,4256.9,,7,4,Medium,0.84
CRM-2026-1157,L-10901,CUST-1940,2026-03-08,Website Form,Contacted,SMB Team,SA,5,0,1,0,0,0,2,2361.58,,1,6,Medium,0.48
CRM-2026-1158,L-47344,CUST-1929,2026-04-11,Website Form,Proposal,South Team,WA,3,1,1,0,0,0,2,1891.76,,3,7,Medium,0.76
CRM-2026-1159,L-19873,CUST-1622,2026-04-13,Outbound,New Lead,SMB Team,QLD,2,0,1,0,0,0,2,5330.77,288.01,3,14,High,0.6
CRM-2026-1160,L-69199,CUST-1486,2026-02-18,Email Nurture,New Lead,North Team,VIC,2,0,0,0,0,0,2,1961.15,113.86,2,6,Strategic,0.53
CRM-2026-1161,L-24605,CUST-1944,2026-03-21,Website Form,Contacted,North Team,WA,5,0,0,0,0,0,2,672.63,,1,20,High,0.93
CRM-2026-1162,L-82573,CUST-1481,2026-01-05,Website Form,Negotiation,North Team,SA,6,1,1,0,0,1,2,,,2,9,High,0.57
CRM-2026-1163,L-52543,CUST-1223,2026-01-03,Email Nurture,Closed Won,South Team,QLD,4,1,1,1,0,1,4,2236.71,2246.59,4,6,Strategic,0.53
CRM-2026-1164,L-72699,CUST-1333,2026-01-07,referral,New Lead,Enterprise Team,NSW,1,1,0,0,0,0,4,0,0.0,3,1,High,0.72
CRM-2026-1165,L-58517,CUST-1592,2026-04-02,Outbound,New Lead,SMB Team,NSW,2,0,1,0,0,1,3,1987.45,,5,10,Medium,0.48
CRM-2026-1166,L-38229,CUST-1317,2026-01-16,Website Form,Contacted,North Team,VIC,5,0,0,0,0,1,4,2220.85,,4,7,Medium,0.81
CRM-2026-1167,L-77356,CUST-1916,2026-04-15,Outbound,Closed Won,SMB Team,QLD,1,1,1,1,0,1,2,4648.57,4006.04,0,19,Strategic,0.51
CRM-2026-1168,L-94577,CUST-1960,2026-01-29,Website Form,Closed Won,North Team,VIC,4,1,1,1,0,0,2,2308.93,2067.21,0,5,Low,0.87
CRM-2026-1169,L-59737,CUST-1703,2026-01-11,Website Form,Proposal,North Team,SA,1,1,1,0,0,1,2,3892.73,,2,9,Medium,0.65
CRM-2026-1170,L-59178,CUST-1793,2026-03-22,Referral,Qualified,North Team,QLD,5,1,1,0,0,0,3,5258.12,,4,19,Low,0.82
CRM-2026-1171,L-14321,CUST-1669,2026-01-17,Outbound,Negotiation,South Team,WA,3,1,1,0,0,1,3,5514.66,,3,8,Medium,0.58
