observed_on,segment_label,group_name,activity_units,observed_value,quality_index,completion_flag,value_bucket,note
2025-08-16,Banyan,Batch 3,39,73.7,0.56,1,medium,not revenue
2025-08-17,Aster,Batch 4,24,156.23,0.96,1,medium,index value
2025-08-18,Aster,Batch 3,47,96.92,0.74,1,large,manual observation
2025-08-19,Banyan,Batch 1,11,49.74,0.57,0,small,
2025-08-20,Aster,Batch 4,28,94.26,0.88,0,large,
2025-08-21,Ember,Batch 3,29,209.34,0.95,1,medium,manual observation
2025-08-22,Aster,Batch 1,54,170.05,0.61,1,small,not revenue
2025-08-23,Ember,Batch 3,9,173.2,0.54,1,small,index value
2025-08-24,Banyan,Batch 1,42,62.17,0.71,1,small,index value
2025-08-25,Ember,Batch 1,37,156.42,0.81,0,small,manual observation
2025-08-26,Cobalt,Batch 3,26,126.11,0.83,1,large,not revenue
2025-08-27,Aster,Batch 3,41,126.42,0.8,1,medium,manual observation
2025-08-28,Delta,Batch 4,54,21.5,0.65,1,large,not revenue
2025-08-29,Cobalt,Batch 3,37,67.86,0.56,1,large,internal score
2025-06-01,Cobalt,Batch 4,18,8.32,0.71,0,large,manual observation
2025-06-02,Ember,Batch 1,53,147.6,0.84,1,large,not revenue
2025-06-03,Cobalt,Batch 1,7,81.96,0.58,0,small,
2025-06-04,Banyan,Batch 2,11,121.48,0.88,0,large,not revenue
2025-06-05,Aster,Batch 3,5,162.96,0.89,1,medium,manual observation
2025-06-06,Aster,Batch 2,16,163.41,0.6,0,small,index value
2025-06-07,Delta,Batch 3,48,77.0,0.93,0,small,not revenue
2025-06-08,Ember,Batch 1,49,161.03,0.91,1,large,manual observation
2025-06-09,Cobalt,Batch 1,20,101.2,0.53,1,medium,
2025-06-10,Banyan,Batch 1,41,136.92,0.48,1,large,not revenue
2025-06-11,Delta,Batch 2,2,54.54,0.65,1,large,internal score
2025-06-12,Ember,Batch 3,54,174.36,0.94,1,small,manual observation
2025-06-13,Aster,Batch 4,5,162.17,0.68,1,large,internal score
2025-06-14,Cobalt,Batch 2,23,176.07,0.79,1,small,not revenue
2025-06-15,Delta,Batch 4,37,72.57,0.46,1,medium,not revenue
2025-06-16,Cobalt,Batch 2,53,115.71,0.82,1,medium,manual observation
2025-06-17,Delta,Batch 4,11,68.35,0.71,1,large,
2025-06-18,Ember,Batch 2,49,136.72,0.93,1,small,index value
2025-06-19,Ember,Batch 2,2,188.03,0.62,1,small,internal score
2025-06-20,Fjord,Batch 4,19,0,0.59,0,large,not revenue
2025-06-21,Banyan,Batch 3,44,0,0.82,0,medium,manual observation
2025-06-22,Delta,Batch 3,22,95.58,0.76,1,large,not revenue
2025-06-23,Banyan,Batch 3,13,58.83,0.71,0,medium,index value
2025-06-24,Ember,Batch 4,36,186.56,0.49,1,large,not revenue
2025-06-25,Aster,Batch 3,1,126.84,0.69,0,large,internal score
2025-06-26,Fjord,Batch 3,50,42.75,0.59,1,medium,manual observation
2025-06-27,Delta,Batch 2,15,63.91,0.88,0,large,manual observation
2025-06-28,Delta,Batch 1,13,73.25,0.47,1,medium,not revenue
2025-06-29,Delta,Batch 1,39,86.09,0.65,1,medium,not revenue
2025-06-30,Fjord,Batch 3,22,88.22,0.66,1,medium,manual observation
2025-07-01,Fjord,Batch 3,32,112.26,0.89,1,small,not revenue
2025-07-02,Ember,Batch 3,41,166.57,0.86,1,small,manual observation
2025-07-03,Ember,Batch 2,50,313.88,0.76,0,medium,
2025-07-04,Cobalt,Batch 1,1,126.52,0.61,0,small,
2025-07-05,Delta,Batch 4,23,61.78,0.81,0,medium,internal score
2025-07-06,Banyan,Batch 2,19,92.17,0.72,1,small,index value
2025-07-07,Aster,Batch 4,22,26.93,0.95,1,medium,index value
2025-07-08,Fjord,Batch 4,5,0,0.53,1,medium,
2025-07-09,Delta,Batch 1,34,0,0.5,1,large,internal score
2025-07-10,Banyan,Batch 4,30,9.69,0.59,1,medium,not revenue
2025-07-11,Delta,Batch 3,52,33.66,0.49,1,small,manual observation
2025-07-12,Cobalt,Batch 3,45,115.59,0.53,1,large,not revenue
2025-07-13,Cobalt,Batch 2,39,87.47,0.8,1,small,manual observation
2025-07-14,Fjord,Batch 1,27,84.59,0.51,1,large,manual observation
2025-07-15,Fjord,Batch 1,29,0,0.93,1,large,manual observation
2025-07-16,Delta,Batch 1,16,42.67,0.97,1,medium,internal score
2025-07-17,Delta,Batch 4,52,65.54,0.78,1,medium,
2025-07-18,Delta,Batch 2,24,30.75,0.72,1,medium,index value
2025-07-19,Banyan,Batch 2,55,104.71,0.63,1,medium,index value
2025-07-20,Aster,Batch 4,5,180.11,0.91,1,medium,index value
2025-07-21,Aster,Batch 2,49,107.74,0.94,1,medium,manual observation
2025-07-22,Delta,Batch 1,1,55.76,0.97,1,large,manual observation
2025-07-23,Delta,Batch 2,10,43.86,0.9,1,small,internal score
2025-07-24,Fjord,Batch 2,12,113.74,0.67,1,medium,index value
2025-07-25,Ember,Batch 4,45,176.66,0.59,0,medium,index value
2025-07-26,Banyan,Batch 1,23,59.32,0.73,1,small,not revenue
2025-07-27,Delta,Batch 3,1,92.76,0.91,1,medium,index value
2025-07-28,Ember,Batch 1,55,176.13,0.71,1,medium,
2025-07-29,Fjord,Batch 3,12,20.42,0.71,1,small,not revenue
2025-07-30,Banyan,Batch 1,29,118.88,0.47,1,large,manual observation
2025-07-31,Banyan,Batch 2,2,50.67,0.92,1,medium,index value
2025-08-01,Fjord,Batch 2,14,105.94,0.54,1,small,index value
2025-08-02,Banyan,Batch 3,35,112.76,0.79,0,medium,
2025-08-03,Cobalt,Batch 1,15,105.82,0.78,1,medium,not revenue
2025-08-04,Banyan,Batch 4,38,96.29,0.96,1,large,index value
2025-08-05,Ember,Batch 4,6,175.27,0.47,1,large,internal score
2025-08-06,Banyan,Batch 2,49,56.62,0.77,1,large,
2025-08-07,Aster,Batch 2,11,152.26,0.9,1,medium,
2025-08-08,Delta,Batch 3,22,22.45,0.84,1,medium,manual observation
2025-08-09,Aster,Batch 2,23,147.37,0.9,1,small,internal score
2025-08-10,Cobalt,Batch 4,13,173.85,0.66,0,large,index value
2025-08-11,Ember,Batch 3,44,101.78,0.57,1,small,index value
2025-08-12,Cobalt,Batch 1,16,166.56,0.75,1,medium,
2025-08-13,Cobalt,Batch 2,27,85.81,0.51,1,large,index value
2025-08-14,Aster,Batch 1,15,176.05,0.54,1,medium,manual observation
2025-08-15,Delta,Batch 3,22,71.7,0.81,1,large,index value
2025-08-16,Delta,Batch 4,41,106.74,0.69,0,medium,
2025-08-17,Ember,Batch 3,45,66.86,0.6,1,small,not revenue
2025-08-18,Cobalt,Batch 4,54,122.49,0.75,0,medium,
2025-08-19,Fjord,Batch 4,31,62.12,0.54,1,medium,not revenue
2025-08-20,Ember,Batch 4,24,84.63,0.5,1,large,internal score
2025-08-21,Cobalt,Batch 2,32,141.44,0.85,1,large,manual observation
2025-08-22,Cobalt,Batch 1,45,162.26,0.87,1,medium,index value
2025-08-23,Fjord,Batch 4,15,76.67,0.71,0,large,index value
2025-08-24,Banyan,Batch 1,28,72.45,0.59,1,medium,not revenue
2025-08-25,Fjord,Batch 4,32,3.83,0.69,1,medium,manual observation
2025-08-26,Delta,Batch 3,19,6.64,0.6,0,medium,not revenue
2025-08-27,Ember,Batch 3,5,201.7,0.72,1,medium,index value
2025-08-28,Fjord,Batch 2,43,61.7,0.53,1,medium,
2025-08-29,Aster,Batch 2,8,111.31,0.6,1,large,
2025-06-01,Delta,Batch 4,1,28.26,0.63,1,small,index value
2025-06-02,Ember,Batch 1,46,229.36,0.69,1,large,not revenue
2025-06-03,Cobalt,Batch 4,13,72.81,0.67,1,large,index value
2025-06-04,Cobalt,Batch 1,14,124.88,0.73,1,large,not revenue
2025-06-05,Ember,Batch 1,12,130.79,0.79,1,large,not revenue
2025-06-06,Banyan,Batch 2,2,41.51,0.62,1,small,internal score
2025-06-07,Cobalt,Batch 4,46,134.82,0.95,1,large,not revenue
2025-06-08,Ember,Batch 1,7,124.91,0.7,1,large,internal score
2025-06-09,Ember,Batch 3,42,225.93,0.92,1,medium,index value
2025-06-10,Cobalt,Batch 3,53,96.7,0.95,1,large,manual observation
2025-06-11,Banyan,Batch 2,2,173.77,0.63,0,small,
2025-06-12,Ember,Batch 3,32,146.08,0.47,1,small,
2025-06-13,Fjord,Batch 2,17,105.14,0.53,1,small,manual observation
2025-06-14,Fjord,Batch 1,9,61.56,0.93,1,small,internal score
2025-06-15,Ember,Batch 4,13,111.55,0.66,1,large,
2025-06-16,Aster,Batch 3,45,145.06,0.61,0,medium,not revenue
2025-06-17,Cobalt,Batch 4,21,152.48,0.69,1,small,
2025-06-18,Fjord,Batch 1,45,13.2,0.61,1,medium,manual observation
2025-06-19,Banyan,Batch 1,23,70.36,0.46,1,small,internal score
2025-06-20,Delta,Batch 2,16,42.26,0.9,1,large,not revenue
2025-06-21,Aster,Batch 3,20,152.53,0.73,1,medium,manual observation
2025-06-22,Cobalt,Batch 3,39,169.61,0.9,1,medium,internal score
2025-06-23,Delta,Batch 3,4,130.96,0.51,1,small,
2025-06-24,Delta,Batch 4,43,0,0.46,1,medium,manual observation
2025-06-25,Fjord,Batch 1,54,54.57,0.79,0,small,internal score
2025-06-26,Ember,Batch 2,40,197.87,0.76,1,large,not revenue
2025-06-27,Cobalt,Batch 3,21,10.37,0.78,1,medium,
2025-06-28,Banyan,Batch 4,17,116.36,0.47,1,medium,not revenue
2025-06-29,Cobalt,Batch 2,54,89.05,0.74,1,small,
2025-06-30,Delta,Batch 2,3,165.08,0.75,0,medium,index value
2025-07-01,Fjord,Batch 2,54,14.34,0.6,1,medium,internal score
2025-07-02,Cobalt,Batch 1,44,108.78,0.63,1,small,not revenue
2025-07-03,Banyan,Batch 3,13,192.08,0.73,1,small,internal score
2025-07-04,Ember,Batch 4,39,143.36,0.91,0,small,internal score
2025-07-05,Delta,Batch 2,11,115.94,0.78,1,medium,index value
2025-07-06,Aster,Batch 4,11,134.66,0.52,0,small,manual observation
2025-07-07,Delta,Batch 4,7,0,0.95,1,small,not revenue
2025-07-08,Aster,Batch 2,54,117.61,0.54,1,large,not revenue
2025-07-09,Delta,Batch 4,14,89.28,0.63,1,large,index value
2025-07-10,Ember,Batch 2,52,124.12,0.94,1,large,not revenue
2025-07-11,Cobalt,Batch 4,54,122.65,0.72,1,small,index value
2025-07-12,Cobalt,Batch 2,31,135.29,0.74,1,large,
2025-07-13,Cobalt,Batch 4,28,128.44,0.5,1,small,index value
2025-07-14,Ember,Batch 2,50,82.98,0.5,1,small,index value
2025-07-15,Aster,Batch 2,1,27.48,0.69,1,small,
2025-07-16,Aster,Batch 2,45,200.2,0.45,1,medium,internal score
2025-07-17,Fjord,Batch 2,42,51.85,0.71,1,small,internal score
2025-07-18,Aster,Batch 1,7,169.21,0.47,1,large,manual observation
2025-07-19,Delta,Batch 4,29,26.48,0.8,1,medium,manual observation
2025-07-20,Aster,Batch 2,45,136.85,0.49,1,medium,internal score
2025-07-21,Fjord,Batch 4,23,18.75,0.54,1,small,not revenue
2025-07-22,Fjord,Batch 3,17,0,0.94,1,medium,
2025-07-23,Ember,Batch 4,30,262.71,0.77,1,large,
2025-07-24,Ember,Batch 2,10,90.32,0.89,0,small,manual observation
2025-07-25,Delta,Batch 2,37,52.39,0.84,0,medium,internal score
2025-07-26,Ember,Batch 4,8,217.84,0.49,0,large,manual observation
2025-07-27,Cobalt,Batch 2,5,169.52,0.51,1,medium,index value
2025-07-28,Ember,Batch 3,18,185.56,0.51,0,medium,internal score
2025-07-29,Cobalt,Batch 2,46,174.9,0.62,1,large,internal score
2025-07-30,Fjord,Batch 4,16,49.74,0.49,1,small,
2025-07-31,Aster,Batch 3,29,102.9,0.63,0,medium,manual observation
2025-08-01,Fjord,Batch 2,18,18.81,0.79,1,large,manual observation
2025-08-02,Banyan,Batch 4,28,90.58,0.79,1,large,not revenue
2025-08-03,Cobalt,Batch 2,38,62.0,0.84,1,large,index value
2025-08-04,Aster,Batch 4,6,114.3,0.53,1,large,not revenue
2025-08-05,Fjord,Batch 2,22,52.28,0.6,1,large,
2025-08-06,Ember,Batch 4,14,135.95,0.6,1,medium,manual observation
2025-08-07,Aster,Batch 1,35,120.69,0.8,1,large,internal score
2025-08-08,Aster,Batch 4,42,151.8,0.65,1,large,not revenue
2025-08-09,Aster,Batch 2,40,57.42,0.64,1,large,not revenue
2025-08-10,Cobalt,Batch 4,48,46.62,0.81,1,small,not revenue
2025-08-11,Aster,Batch 3,9,116.83,0.83,1,small,internal score
2025-08-12,Banyan,Batch 1,50,139.45,0.64,1,small,
2025-08-13,Banyan,Batch 2,31,132.92,0.78,1,small,index value
2025-08-14,Cobalt,Batch 1,41,107.9,0.77,1,medium,internal score
2025-08-15,Fjord,Batch 2,46,0,0.82,0,small,index value
2025-08-16,Delta,Batch 3,4,41.74,0.88,1,large,
2025-08-17,Ember,Batch 4,48,129.12,0.72,1,small,manual observation
2025-08-18,Aster,Batch 2,48,48.09,0.72,0,medium,not revenue
2025-08-19,Fjord,Batch 2,23,106.88,0.71,0,large,not revenue
2025-08-20,Ember,Batch 2,6,244.63,0.73,1,small,manual observation
2025-08-21,Aster,Batch 3,36,125.2,0.94,1,medium,manual observation
2025-08-22,Fjord,Batch 3,8,0,0.67,1,medium,internal score
2025-08-23,Ember,Batch 3,45,148.11,0.93,1,medium,
2025-08-24,Cobalt,Batch 4,18,47.5,0.65,1,small,internal score
2025-08-25,Delta,Batch 4,38,97.28,0.86,1,large,internal score
2025-08-26,Delta,Batch 2,38,74.14,0.91,1,medium,internal score
2025-08-27,Delta,Batch 3,23,63.61,0.47,0,medium,index value
2025-08-28,Banyan,Batch 1,37,0,0.9,1,small,internal score
2025-08-29,Fjord,Batch 3,14,72.78,0.65,1,small,internal score
2025-06-01,Aster,Batch 4,35,79.78,0.91,1,small,not revenue
2025-06-02,Banyan,Batch 2,52,103.36,0.64,1,medium,not revenue
2025-06-03,Aster,Batch 2,28,141.67,0.78,1,small,index value
2025-06-04,Delta,Batch 4,47,83.88,0.9,1,small,not revenue
2025-06-05,Ember,Batch 1,52,176.44,0.59,1,large,not revenue
2025-06-06,Delta,Batch 3,53,86.96,0.92,1,small,manual observation
2025-06-07,Delta,Batch 1,34,80.46,0.56,1,small,not revenue
2025-06-08,Cobalt,Batch 1,39,90.63,0.87,0,medium,internal score
2025-06-09,Delta,Batch 1,33,0,0.74,0,large,manual observation
2025-06-10,Ember,Batch 1,54,133.41,0.94,1,small,not revenue
2025-06-11,Aster,Batch 4,31,171.69,0.54,1,medium,manual observation
2025-06-12,Aster,Batch 3,55,98.11,0.85,1,medium,internal score
2025-06-13,Banyan,Batch 3,40,19.64,0.82,1,medium,not revenue
2025-06-14,Cobalt,Batch 4,38,194.23,0.65,1,medium,
2025-06-15,Delta,Batch 4,44,127.23,0.69,1,medium,manual observation
2025-06-16,Delta,Batch 1,47,120.79,0.97,1,medium,internal score
2025-06-17,Delta,Batch 4,55,32.74,0.63,1,small,index value
2025-06-18,Aster,Batch 3,24,190.12,0.48,1,medium,manual observation
2025-06-19,Aster,Batch 1,54,43.37,0.86,1,small,
2025-06-20,Cobalt,Batch 2,39,88.34,0.86,1,large,manual observation
2025-06-21,Delta,Batch 1,40,10.7,0.91,1,small,index value
2025-06-22,Delta,Batch 1,54,55.87,0.9,1,medium,not revenue
2025-06-23,Ember,Batch 4,52,150.5,0.92,1,medium,index value
2025-06-24,Fjord,Batch 2,17,36.41,0.59,1,small,not revenue
2025-06-25,Ember,Batch 4,9,117.82,0.88,0,medium,index value
2025-06-26,Fjord,Batch 1,53,51.15,0.52,0,large,internal score
2025-06-27,Ember,Batch 4,48,95.39,0.73,1,medium,internal score
2025-06-28,Fjord,Batch 2,52,52.4,0.87,1,large,internal score
2025-06-29,Fjord,Batch 3,12,70.26,0.86,1,large,
2025-06-30,Aster,Batch 2,51,170.9,0.71,0,medium,internal score
2025-07-01,Cobalt,Batch 4,17,168.68,0.69,1,large,index value
2025-07-02,Banyan,Batch 4,26,57.72,0.82,1,small,internal score
2025-07-03,Fjord,Batch 4,54,0,0.47,1,small,index value
2025-07-04,Delta,Batch 2,46,26.92,0.56,1,medium,index value
2025-07-05,Cobalt,Batch 4,9,61.29,0.47,1,medium,manual observation
2025-07-06,Ember,Batch 3,12,202.55,0.65,1,small,
2025-07-07,Cobalt,Batch 2,21,130.24,0.79,1,medium,index value
2025-07-08,Aster,Batch 2,5,103.12,0.5,0,small,internal score
2025-07-09,Cobalt,Batch 4,36,155.64,0.66,1,large,index value
2025-07-10,Banyan,Batch 1,45,139.06,0.71,1,medium,
2025-07-11,Fjord,Batch 3,54,51.47,0.51,1,large,index value
2025-07-12,Cobalt,Batch 4,53,147.42,0.68,1,medium,
2025-07-13,Delta,Batch 1,26,45.43,0.49,1,small,internal score
2025-07-14,Delta,Batch 3,22,54.55,0.96,0,small,index value
2025-07-15,Aster,Batch 1,14,98.42,0.79,1,small,internal score
2025-07-16,Ember,Batch 1,1,119.0,0.77,1,medium,not revenue
2025-07-17,Cobalt,Batch 2,40,171.5,0.76,1,medium,index value
2025-07-18,Aster,Batch 1,27,164.59,0.97,0,medium,
2025-07-19,Delta,Batch 3,38,86.71,0.77,0,large,internal score
2025-07-20,Aster,Batch 2,5,84.4,0.86,1,small,manual observation
2025-07-21,Aster,Batch 2,29,34.96,0.87,1,large,
2025-07-22,Cobalt,Batch 4,31,112.01,0.92,1,small,
2025-07-23,Fjord,Batch 3,52,132.99,0.55,1,medium,internal score
2025-07-24,Delta,Batch 2,3,0,0.51,0,large,manual observation
2025-07-25,Ember,Batch 3,44,53.59,0.91,1,small,not revenue
2025-07-26,Delta,Batch 2,27,142.74,0.6,1,small,not revenue
2025-07-27,Fjord,Batch 3,30,0.33,0.57,1,small,not revenue
2025-07-28,Delta,Batch 2,26,22.13,0.9,1,small,not revenue
2025-07-29,Ember,Batch 1,47,133.91,0.6,1,medium,not revenue
2025-07-30,Cobalt,Batch 1,44,168.57,0.9,1,large,
2025-07-31,Banyan,Batch 2,55,87.03,0.98,1,small,
2025-08-01,Delta,Batch 3,19,190.16,0.63,0,medium,
2025-08-02,Aster,Batch 1,16,29.63,0.65,1,medium,
2025-08-03,Ember,Batch 1,45,224.2,0.75,0,medium,not revenue
2025-08-04,Delta,Batch 2,5,125.95,0.91,1,large,index value
2025-08-05,Delta,Batch 3,45,23.33,0.6,1,small,not revenue
2025-08-06,Fjord,Batch 2,8,41.89,0.9,1,small,internal score
2025-08-07,Aster,Batch 3,26,145.95,0.73,1,large,not revenue
2025-08-08,Ember,Batch 3,39,260.18,0.85,1,small,
2025-08-09,Delta,Batch 4,40,47.38,0.48,0,small,index value
2025-08-10,Ember,Batch 4,54,136.45,0.58,1,small,manual observation
2025-08-11,Banyan,Batch 1,43,41.49,0.47,0,medium,internal score
2025-08-12,Banyan,Batch 2,50,72.7,0.71,1,medium,index value
2025-08-13,Cobalt,Batch 3,23,133.48,0.73,1,medium,not revenue
2025-08-14,Banyan,Batch 4,22,79.73,0.73,1,large,not revenue
2025-08-15,Cobalt,Batch 2,7,120.52,0.91,1,medium,not revenue
2025-08-16,Delta,Batch 3,25,30.4,0.59,1,medium,manual observation
2025-08-17,Aster,Batch 2,10,209.95,0.53,1,small,not revenue
2025-08-18,Aster,Batch 3,33,72.68,0.49,1,large,not revenue
2025-08-19,Aster,Batch 4,48,188.12,0.46,1,medium,not revenue
2025-08-20,Fjord,Batch 3,27,0,0.6,1,small,manual observation
2025-08-21,Banyan,Batch 4,13,57.27,0.84,1,large,internal score
2025-08-22,Delta,Batch 2,54,35.17,0.54,1,large,index value
2025-08-23,Fjord,Batch 2,32,81.26,0.74,1,small,manual observation
2025-08-24,Aster,Batch 3,28,135.94,0.5,1,large,
2025-08-25,Ember,Batch 2,45,162.79,0.95,0,large,internal score
2025-08-26,Delta,Batch 1,7,73.34,0.96,1,medium,index value
2025-08-27,Aster,Batch 4,17,255.4,0.97,1,large,not revenue
2025-08-28,Delta,Batch 3,31,76.6,0.77,1,large,not revenue
2025-08-29,Delta,Batch 1,24,134.23,0.52,0,large,
