event_ref,call_started_at,traffic_origin,utm_campaign_name,device_type,call_result,talk_seconds,qualified_flag,booking_created,ad_cost_aud,estimated_job_value_aud,tracking_line_type,region
CT2-10052,2026-02-25,Display,Service NSW,mobile,missed,122,0,0,26.75,,Pool,QLD
CT2-10053,2026-02-26,Social Paid,Retarget Q1,mobile,answered,165,1,0,29.64,,DNI,SA
CT2-10054,2026-02-27,Paid Search,Install Quote,tablet,answered,157,1,0,43.1,,Pool,SA
CT2-10055,2026-02-28,Paid Search,Service NSW,tablet,voicemail,25,0,0,39.07,,Static,QLD
CT2-10056,2026-03-01,Social Paid,Retarget Q1,tablet,answered,157,0,0,32.95,,Pool,NSW
CT2-10057,2026-03-02,Organic Search,Local Suburb,tablet,answered,259,1,0,0,,Static,VIC
CT2-10058,2026-03-03,Direct,Brand AU,desktop,answered,165,0,0,6.03,,Static,VIC
CT2-10059,2026-03-04,Paid Search,Retarget Q1,tablet,answered,139,0,0,41.36,,DNI,NSW
CT2-10060,2026-03-05,Paid Search,Install Quote,mobile,voicemail,0,0,0,36.81,,Static,SA
CT2-10061,2026-03-06,Paid Search,Local Suburb,desktop,answered,257,0,0,64.26,,DNI,QLD
CT2-10062,2026-03-07,Referral Partner,Service NSW,desktop,answered,121,1,0,20.35,,DNI,QLD
CT2-10063,2026-03-08,Paid Search,Brand AU,desktop,answered,241,1,1,44.88,875.19,Pool,SA
CT2-10064,2026-03-09,Direct,Service NSW,tablet,answered,263,1,0,5.74,,Static,VIC
CT2-10065,2026-03-10,Organic Search,Competitor Terms,tablet,missed,57,0,0,5.19,,Pool,NSW
CT2-10066,2026-03-11,Organic Search,Brand AU,desktop,answered,88,0,0,13.67,,Static,QLD
CT2-10067,2026-03-12,Local SEO,Emergency Repair,desktop,answered,147,0,0,14.76,,Pool,QLD
CT2-10068,2026-03-13,Paid Search,Retarget Q1,mobile,answered,117,1,0,53.7,,DNI,NSW
CT2-10069,2026-03-14,Paid Search,Emergency Repair,desktop,voicemail,135,0,0,31.68,,DNI,SA
CT2-10070,2026-03-15,Paid Search,Local Suburb,desktop,missed,126,0,0,70.69,,Pool,VIC
CT2-10071,2026-03-16,Paid Search,Service NSW,desktop,answered,288,0,0,30.04,,Pool,VIC
CT2-10072,2026-03-17,Paid Search,Emergency Repair,desktop,missed,71,0,0,50.5,,Pool,SA
CT2-10073,2026-03-18,Referral Partner,Local Suburb,mobile,abandoned,65,0,0,0,,Static,NSW
CT2-10074,2026-03-19,Referral Partner,Brand AU,mobile,missed,166,0,0,0,,DNI,NSW
CT2-10075,2026-03-20,Social Paid,Competitor Terms,tablet,answered,140,0,0,43.06,,Static,NSW
CT2-10076,2026-03-21,Local SEO,Emergency Repair,desktop,answered,104,1,0,16.08,,Pool,VIC
CT2-10077,2026-03-22,Paid Search,Install Quote,tablet,answered,146,1,1,51.19,996.67,Static,SA
CT2-10078,2026-03-23,Local SEO,Service NSW,mobile,answered,146,0,0,2.3,,Pool,NSW
CT2-10079,2026-03-24,Paid Search,Competitor Terms,tablet,answered,113,1,0,56.02,,Pool,VIC
CT2-10080,2026-03-25,Paid Search,Competitor Terms,desktop,answered,302,1,0,47.52,,DNI,QLD
CT2-10081,2026-03-26,Organic Search,Local Suburb,tablet,answered,207,1,0,0,,Pool,VIC
CT2-10082,2026-03-27,Referral Partner,Competitor Terms,tablet,abandoned,0,0,0,9.59,,Static,SA
CT2-10083,2026-03-28,Paid Search,Install Quote,desktop,voicemail,1,0,0,57.42,,DNI,SA
CT2-10084,2026-03-29,Social Paid,Emergency Repair,tablet,abandoned,0,0,0,51.7,,DNI,QLD
CT2-10085,2026-03-30,Organic Search,Install Quote,tablet,answered,226,0,0,12.43,,DNI,QLD
CT2-10086,2026-03-31,Social Paid,Local Suburb,mobile,answered,367,0,0,26.41,,Static,QLD
CT2-10087,2026-04-01,Social Paid,Service NSW,tablet,answered,186,0,0,38.19,,Pool,SA
CT2-10088,2026-04-02,Direct,Service NSW,desktop,missed,0,0,0,0,,Static,NSW
CT2-10089,2026-04-03,Social Paid,Emergency Repair,mobile,answered,195,0,0,41.5,,Static,QLD
CT2-10090,2026-04-04,Organic Search,Competitor Terms,mobile,missed,121,0,0,10.15,,Static,NSW
CT2-10091,2026-04-05,Paid Search,Brand AU,desktop,answered,71,0,0,42.57,,Static,QLD
CT2-10092,2026-04-06,Local SEO,Retarget Q1,tablet,answered,141,1,0,6.86,,Pool,QLD
CT2-10093,2026-04-07,Paid Search,Competitor Terms,mobile,answered,76,0,0,50.14,,Pool,QLD
CT2-10094,2026-04-08,Organic Search,Local Suburb,desktop,abandoned,0,0,0,2.47,,Static,NSW
CT2-10095,2026-04-09,Paid Search,Install Quote,mobile,missed,201,0,0,53.27,,Static,NSW
CT2-10096,2026-04-10,Social Paid,Brand AU,mobile,answered,278,1,0,17.05,,Pool,QLD
CT2-10097,2026-04-11,Organic Search,Competitor Terms,mobile,answered,170,0,0,7.22,,Static,VIC
CT2-10098,2026-04-12,Social Paid,Service NSW,mobile,answered,180,0,0,24.53,,Pool,VIC
CT2-10099,2026-04-13,Display,Competitor Terms,desktop,answered,290,0,0,34.78,,DNI,NSW
CT2-10100,2026-04-14,Direct,Emergency Repair,desktop,missed,75,0,0,3.9,,Static,NSW
CT2-10101,2026-04-15,Paid Search,Brand AU,mobile,answered,181,1,0,28.05,,DNI,NSW
CT2-10102,2026-04-16,Local SEO,Competitor Terms,mobile,answered,128,0,0,0.13,,Static,QLD
CT2-10103,2026-04-17,Direct,Competitor Terms,desktop,missed,0,0,0,9.43,,Pool,NSW
CT2-10104,2026-04-18,Organic Search,Install Quote,tablet,answered,80,0,0,17.57,,Pool,SA
CT2-10105,2026-01-05,Paid Search,Emergency Repair,tablet,answered,333,1,0,56.4,,Pool,NSW
CT2-10106,2026-01-06,Referral Partner,Install Quote,desktop,answered,33,0,0,20.19,,Pool,SA
CT2-10107,2026-01-07,Organic Search,Local Suburb,mobile,answered,188,1,0,21.96,,Static,VIC
CT2-10108,2026-01-08,Organic Search,Emergency Repair,desktop,answered,170,1,1,4.85,694.37,DNI,NSW
CT2-10109,2026-01-09,Organic Search,Local Suburb,desktop,answered,328,0,0,11.43,,DNI,VIC
CT2-10110,2026-01-10,Paid Search,Competitor Terms,mobile,answered,125,0,0,48.22,,Static,QLD
CT2-10111,2026-01-11,Social Paid,Retarget Q1,mobile,answered,308,0,0,38.53,,Pool,SA
CT2-10112,2026-01-12,Local SEO,Brand AU,tablet,answered,230,1,0,0,,Pool,QLD
CT2-10113,2026-01-13,Paid Search,Local Suburb,mobile,abandoned,0,0,0,70.41,,DNI,QLD
CT2-10114,2026-01-14,Organic Search,Service NSW,desktop,answered,163,0,0,0,,DNI,NSW
CT2-10115,2026-01-15,Paid Search,Emergency Repair,mobile,answered,61,0,0,64.57,,DNI,QLD
CT2-10116,2026-01-16,Referral Partner,Brand AU,mobile,answered,186,0,0,7.47,,DNI,QLD
CT2-10117,2026-01-17,Display,Emergency Repair,desktop,answered,89,0,0,24.51,,Pool,VIC
CT2-10118,2026-01-18,Direct,Brand AU,tablet,answered,296,0,0,0,,DNI,VIC
CT2-10119,2026-01-19,Paid Search,Service NSW,desktop,answered,198,1,1,54.13,1752.38,Static,VIC
CT2-10120,2026-01-20,Display,Install Quote,tablet,answered,47,0,0,33.12,,Pool,SA
CT2-10121,2026-01-21,Organic Search,Brand AU,mobile,answered,166,1,0,4.81,,Pool,VIC
CT2-10122,2026-01-22,Direct,Local Suburb,tablet,answered,134,0,0,7.48,,Pool,QLD
CT2-10123,2026-01-23,Display,Service NSW,tablet,answered,90,0,0,24.91,,DNI,QLD
CT2-10124,2026-01-24,Paid Search,Emergency Repair,mobile,abandoned,53,0,0,54.92,,Static,NSW
CT2-10125,2026-01-25,Paid Search,Install Quote,tablet,missed,142,0,0,59.29,,DNI,SA
CT2-10126,2026-01-26,Direct,Competitor Terms,desktop,missed,0,0,0,0,,Static,NSW
CT2-10127,2026-01-27,Paid Search,Brand AU,desktop,answered,216,1,0,33.83,,Static,SA
CT2-10128,2026-01-28,Paid Search,Retarget Q1,desktop,answered,156,0,0,64.56,,Static,SA
CT2-10129,2026-01-29,Referral Partner,Emergency Repair,desktop,answered,225,1,0,8.38,,DNI,VIC
CT2-10130,2026-01-30,Paid Search,Service NSW,mobile,answered,216,1,1,58.76,1358.49,Static,QLD
CT2-10131,2026-01-31,Direct,Brand AU,tablet,answered,304,0,0,0,,DNI,SA
CT2-10132,2026-02-01,Paid Search,Brand AU,desktop,voicemail,17,0,0,44.29,,DNI,VIC
CT2-10133,2026-02-02,Social Paid,Install Quote,desktop,abandoned,77,0,0,51.43,,Static,QLD
CT2-10134,2026-02-03,Paid Search,Local Suburb,mobile,answered,276,0,0,46.43,,DNI,VIC
CT2-10135,2026-02-04,Paid Search,Service NSW,desktop,answered,260,1,0,55.63,,Static,VIC
CT2-10136,2026-02-05,Local SEO,Install Quote,mobile,answered,221,1,1,8.19,1598.63,Pool,QLD
CT2-10137,2026-02-06,Social Paid,Install Quote,mobile,missed,170,0,0,34.13,,Pool,VIC
CT2-10138,2026-02-07,Paid Search,Emergency Repair,tablet,abandoned,62,0,0,52.56,,Pool,VIC
CT2-10139,2026-02-08,Paid Search,Retarget Q1,tablet,answered,162,1,1,49.77,431.55,DNI,VIC
CT2-10140,2026-02-09,Referral Partner,Service NSW,mobile,answered,257,1,0,9.92,,Pool,QLD
CT2-10141,2026-02-10,Social Paid,Local Suburb,mobile,answered,228,0,0,41.21,,Pool,VIC
CT2-10142,2026-02-11,Paid Search,Retarget Q1,desktop,answered,187,0,0,49.13,,DNI,NSW
CT2-10143,2026-02-12,Paid Search,Brand AU,tablet,answered,129,0,0,73.01,,Static,QLD
CT2-10144,2026-02-13,Display,Service NSW,mobile,voicemail,97,0,0,30.68,,Pool,VIC
CT2-10145,2026-02-14,Paid Search,Retarget Q1,mobile,voicemail,0,0,0,42.01,,DNI,NSW
CT2-10146,2026-02-15,Direct,Retarget Q1,desktop,answered,113,0,0,11.18,,Static,QLD
CT2-10147,2026-02-16,Local SEO,Install Quote,mobile,answered,308,0,0,0.45,,Pool,VIC
CT2-10148,2026-02-17,Paid Search,Service NSW,tablet,answered,261,0,0,52.11,,DNI,QLD
CT2-10149,2026-02-18,Social Paid,Brand AU,mobile,answered,303,0,0,26.44,,DNI,SA
CT2-10150,2026-02-19,Paid Search,Emergency Repair,tablet,answered,156,1,1,51.36,,DNI,SA
CT2-10151,2026-02-20,Local SEO,Brand AU,tablet,answered,195,1,0,18.52,,Static,SA
CT2-10152,2026-02-21,Local SEO,Local Suburb,mobile,missed,0,0,0,17.57,,DNI,NSW
CT2-10153,2026-02-22,Paid Search,Retarget Q1,desktop,answered,157,0,0,50.14,,Pool,QLD
CT2-10154,2026-02-23,Local SEO,Retarget Q1,mobile,answered,214,0,0,14.25,,Static,VIC
CT2-10155,2026-02-24,Referral Partner,Service NSW,desktop,answered,121,1,1,0,1423.34,Pool,NSW
CT2-10156,2026-02-25,Display,Competitor Terms,mobile,answered,227,0,0,45.47,,Pool,SA
CT2-10157,2026-02-26,Paid Search,Local Suburb,mobile,answered,291,1,1,63.98,,Pool,QLD
CT2-10158,2026-02-27,Direct,Emergency Repair,desktop,answered,214,0,0,8.09,,DNI,VIC
CT2-10159,2026-02-28,Referral Partner,Install Quote,desktop,answered,246,1,1,13.37,711.24,Pool,QLD
CT2-10160,2026-03-01,Organic Search,Local Suburb,tablet,answered,129,1,1,0,586.37,Static,SA
CT2-10161,2026-03-02,Organic Search,Service NSW,desktop,answered,216,0,0,11.91,,DNI,NSW
CT2-10162,2026-03-03,Local SEO,Emergency Repair,tablet,answered,328,0,0,16.46,,DNI,VIC
CT2-10163,2026-03-04,Paid Search,Brand AU,tablet,answered,289,1,0,50.63,,DNI,QLD
CT2-10164,2026-03-05,Local SEO,Competitor Terms,tablet,answered,264,0,0,1.3,,Static,NSW
CT2-10165,2026-03-06,Paid Search,Retarget Q1,tablet,abandoned,36,0,0,47.06,,DNI,VIC
CT2-10166,2026-03-07,Paid Search,Local Suburb,desktop,answered,269,1,1,56.89,1831.8,Pool,SA
CT2-10167,2026-03-08,Referral Partner,Retarget Q1,tablet,answered,409,1,1,6.37,803.02,Static,NSW
CT2-10168,2026-03-09,Paid Search,Brand AU,desktop,missed,127,0,0,45.32,,Pool,SA
CT2-10169,2026-03-10,Direct,Brand AU,mobile,answered,8,0,0,1.22,,Pool,NSW
CT2-10170,2026-03-11,Organic Search,Emergency Repair,tablet,answered,179,1,0,0,,Pool,VIC
CT2-10171,2026-03-12,Paid Search,Competitor Terms,mobile,answered,136,0,0,55.91,,Static,SA
CT2-10172,2026-03-13,Paid Search,Local Suburb,mobile,answered,214,0,0,52.84,,DNI,SA
CT2-10173,2026-03-14,Direct,Install Quote,tablet,missed,0,0,0,8.42,,Static,VIC
CT2-10174,2026-03-15,Paid Search,Service NSW,tablet,answered,268,0,0,47.2,,Static,QLD
CT2-10175,2026-03-16,Direct,Emergency Repair,tablet,answered,270,0,0,21.55,,Static,NSW
CT2-10176,2026-03-17,Paid Search,Install Quote,desktop,abandoned,0,0,0,36.0,,DNI,NSW
CT2-10177,2026-03-18,Referral Partner,Service NSW,mobile,missed,135,0,0,4.24,,DNI,NSW
CT2-10178,2026-03-19,Referral Partner,Competitor Terms,desktop,voicemail,79,0,0,2.98,,Static,VIC
CT2-10179,2026-03-20,Referral Partner,Brand AU,mobile,answered,113,1,1,11.08,1129.67,Static,QLD
CT2-10180,2026-03-21,Direct,Retarget Q1,tablet,answered,265,1,0,16.97,,Pool,SA
CT2-10181,2026-03-22,Paid Search,Brand AU,desktop,answered,231,1,0,53.44,,Static,QLD
CT2-10182,2026-03-23,Organic Search,Emergency Repair,desktop,missed,42,0,0,0,,Static,VIC
CT2-10183,2026-03-24,Local SEO,Local Suburb,tablet,voicemail,0,0,0,2.58,,DNI,SA
CT2-10184,2026-03-25,Paid Search,Local Suburb,mobile,answered,135,1,1,70.62,1214.99,Static,NSW
CT2-10185,2026-03-26,Display,Install Quote,tablet,answered,164,1,0,29.83,,DNI,SA
CT2-10186,2026-03-27,Referral Partner,Competitor Terms,tablet,missed,0,0,0,16.63,,Pool,VIC
CT2-10187,2026-03-28,Organic Search,Emergency Repair,tablet,answered,180,0,0,0.08,,Static,QLD
CT2-10188,2026-03-29,Organic Search,Retarget Q1,desktop,abandoned,64,0,0,0,,Static,VIC
CT2-10189,2026-03-30,Local SEO,Competitor Terms,mobile,answered,278,1,0,5.46,,Static,VIC
CT2-10190,2026-03-31,Paid Search,Retarget Q1,mobile,voicemail,0,0,0,56.0,,Pool,SA
CT2-10191,2026-04-01,Direct,Install Quote,mobile,answered,9,0,0,0,,Static,VIC
CT2-10192,2026-04-02,Organic Search,Service NSW,desktop,answered,183,0,0,11.64,,Static,VIC
CT2-10193,2026-04-03,Social Paid,Install Quote,mobile,answered,167,0,0,32.68,,DNI,SA
CT2-10194,2026-04-04,Social Paid,Install Quote,desktop,answered,258,0,0,26.52,,DNI,SA
CT2-10195,2026-04-05,Social Paid,Local Suburb,desktop,answered,142,1,0,32.94,,DNI,QLD
CT2-10196,2026-04-06,Organic Search,Brand AU,desktop,answered,209,1,0,13.01,,Static,SA
CT2-10197,2026-04-07,Display,Retarget Q1,desktop,answered,140,0,0,37.52,,DNI,SA
CT2-10198,2026-04-08,Paid Search,Local Suburb,mobile,abandoned,105,0,0,23.64,,Pool,VIC
CT2-10199,2026-04-09,Referral Partner,Brand AU,desktop,missed,103,0,0,25.24,,DNI,VIC
CT2-10200,2026-04-10,Organic Search,Retarget Q1,desktop,answered,261,0,0,10.29,,DNI,QLD
CT2-10201,2026-04-11,Display,Brand AU,desktop,voicemail,121,0,0,23.37,,Static,SA
CT2-10202,2026-04-12,Referral Partner,Emergency Repair,desktop,answered,122,1,1,10.26,,Pool,SA
CT2-10203,2026-04-13,Paid Search,Brand AU,desktop,answered,138,1,0,53.43,,Pool,SA
CT2-10204,2026-04-14,Social Paid,Retarget Q1,desktop,answered,0,0,0,40.22,,Pool,QLD
CT2-10205,2026-04-15,Organic Search,Emergency Repair,mobile,abandoned,80,0,0,14.25,,Pool,QLD
CT2-10206,2026-04-16,Paid Search,Local Suburb,tablet,answered,230,1,0,37.98,,Static,VIC
CT2-10207,2026-04-17,Local SEO,Competitor Terms,tablet,answered,201,1,0,0,,Pool,NSW
CT2-10208,2026-04-18,Paid Search,Emergency Repair,mobile,abandoned,0,0,0,57.9,,DNI,SA
CT2-10209,2026-01-05,Referral Partner,Competitor Terms,desktop,answered,146,0,0,13.63,,DNI,QLD
CT2-10210,2026-01-06,Social Paid,Competitor Terms,tablet,answered,261,1,0,35.42,,Pool,QLD
CT2-10211,2026-01-07,Direct,Competitor Terms,tablet,answered,243,0,0,0,,Static,SA
CT2-10212,2026-01-08,Paid Search,Emergency Repair,tablet,missed,0,0,0,48.87,,Static,VIC
CT2-10213,2026-01-09,Referral Partner,Retarget Q1,tablet,voicemail,59,0,0,5.58,,Static,NSW
CT2-10214,2026-01-10,Paid Search,Emergency Repair,desktop,voicemail,0,0,0,51.48,,Static,NSW
CT2-10215,2026-01-11,Social Paid,Brand AU,desktop,answered,126,0,0,48.78,,DNI,NSW
CT2-10216,2026-01-12,Local SEO,Emergency Repair,desktop,answered,115,1,1,0,1109.72,DNI,SA
CT2-10217,2026-01-13,Direct,Brand AU,mobile,answered,162,1,0,1.62,,DNI,SA
CT2-10218,2026-01-14,Social Paid,Install Quote,tablet,missed,44,0,0,35.47,,DNI,QLD
CT2-10219,2026-01-15,Referral Partner,Retarget Q1,desktop,answered,302,1,1,2.28,1109.11,Static,NSW
CT2-10220,2026-01-16,Local SEO,Local Suburb,desktop,answered,254,1,0,2.89,,Pool,QLD
CT2-10221,2026-01-17,Referral Partner,Competitor Terms,desktop,answered,199,0,0,15.14,,Static,VIC
CT2-10222,2026-01-18,Paid Search,Brand AU,mobile,answered,195,1,1,63.15,1546.06,Static,SA
CT2-10223,2026-01-19,Direct,Service NSW,tablet,answered,188,0,0,17.33,,DNI,QLD
CT2-10224,2026-01-20,Social Paid,Competitor Terms,mobile,abandoned,33,0,0,28.69,,DNI,SA
CT2-10225,2026-01-21,Direct,Local Suburb,desktop,answered,312,0,0,0,,Pool,SA
CT2-10226,2026-01-22,Paid Search,Competitor Terms,desktop,answered,293,0,0,48.04,,DNI,VIC
CT2-10227,2026-01-23,Referral Partner,Brand AU,desktop,answered,53,0,0,0,,Pool,NSW
CT2-10228,2026-01-24,Organic Search,Emergency Repair,tablet,answered,201,0,0,19.24,,Static,NSW
CT2-10229,2026-01-25,Referral Partner,Brand AU,desktop,answered,315,1,1,11.84,811.46,DNI,QLD
CT2-10230,2026-01-26,Local SEO,Competitor Terms,mobile,answered,197,1,1,18.23,1293.41,Static,QLD
CT2-10231,2026-01-27,Referral Partner,Install Quote,mobile,abandoned,96,0,0,18.45,,Pool,NSW
CT2-10232,2026-01-28,Referral Partner,Service NSW,tablet,answered,145,1,0,19.37,,DNI,NSW
CT2-10233,2026-01-29,Organic Search,Service NSW,tablet,missed,71,0,0,13.33,,Static,SA
CT2-10234,2026-01-30,Referral Partner,Competitor Terms,desktop,answered,197,1,1,3.42,1655.79,DNI,QLD
CT2-10235,2026-01-31,Referral Partner,Emergency Repair,tablet,answered,189,1,0,11.79,,DNI,SA
CT2-10236,2026-02-01,Local SEO,Local Suburb,mobile,answered,197,1,0,1.01,,Pool,SA
CT2-10237,2026-02-02,Paid Search,Local Suburb,tablet,answered,69,0,0,69.34,,Pool,VIC
CT2-10238,2026-02-03,Organic Search,Retarget Q1,desktop,answered,111,0,0,0,,DNI,SA
CT2-10239,2026-02-04,Direct,Local Suburb,tablet,answered,52,0,0,0,,Static,QLD
CT2-10240,2026-02-05,Direct,Service NSW,tablet,answered,118,0,0,0,,Pool,QLD
CT2-10241,2026-02-06,Organic Search,Service NSW,mobile,answered,213,0,0,0,,Pool,VIC
CT2-10242,2026-02-07,Paid Search,Local Suburb,mobile,answered,191,0,0,43.75,,Pool,NSW
CT2-10243,2026-02-08,Social Paid,Retarget Q1,mobile,answered,170,1,0,39.21,,DNI,QLD
CT2-10244,2026-02-09,Direct,Install Quote,mobile,answered,281,1,0,11.85,,DNI,NSW
CT2-10245,2026-02-10,Paid Search,Service NSW,desktop,abandoned,0,0,0,47.84,,DNI,VIC
CT2-10246,2026-02-11,Paid Search,Brand AU,mobile,voicemail,205,0,0,57.89,,Pool,VIC
CT2-10247,2026-02-12,Direct,Local Suburb,desktop,answered,286,0,0,5.69,,DNI,SA
CT2-10248,2026-02-13,Paid Search,Local Suburb,desktop,answered,230,0,0,41.8,,DNI,NSW
CT2-10249,2026-02-14,Paid Search,Local Suburb,desktop,missed,0,0,0,48.05,,Pool,NSW
CT2-10250,2026-02-15,Paid Search,Install Quote,tablet,missed,161,0,0,49.77,,Static,NSW
CT2-10251,2026-02-16,Paid Search,Brand AU,mobile,missed,0,0,0,47.72,,Pool,NSW
CT2-10252,2026-02-17,Direct,Competitor Terms,desktop,answered,207,0,0,0,,Static,VIC
CT2-10253,2026-02-18,Direct,Brand AU,tablet,answered,143,0,0,13.42,,Pool,QLD
CT2-10254,2026-02-19,Local SEO,Retarget Q1,desktop,answered,186,1,1,12.02,,Static,QLD
CT2-10255,2026-02-20,Display,Retarget Q1,mobile,answered,155,0,0,22.61,,Static,QLD
CT2-10256,2026-02-21,Paid Search,Local Suburb,desktop,answered,224,1,0,50.69,,Pool,VIC
CT2-10257,2026-02-22,Display,Retarget Q1,tablet,answered,193,0,0,30.23,,DNI,QLD
CT2-10258,2026-02-23,Paid Search,Brand AU,tablet,answered,270,1,1,42.59,830.53,DNI,VIC
CT2-10259,2026-02-24,Organic Search,Local Suburb,mobile,missed,16,0,0,34.01,,Static,VIC
CT2-10260,2026-02-25,Paid Search,Local Suburb,tablet,voicemail,0,0,0,45.93,,DNI,VIC
CT2-10261,2026-02-26,Local SEO,Emergency Repair,mobile,answered,243,0,0,11.51,,DNI,VIC
CT2-10262,2026-02-27,Referral Partner,Local Suburb,mobile,answered,0,0,0,6.98,,Pool,NSW
