timeline,value_code,measured_value,priority_index,activity_units,annotation
2026-03-30,Q,710.4,2,30,internal tag
2026-04-06,M,829.4,5,115,field note
2026-05-06,M,445.8,2,74,internal tag
2026-04-12,R,823.0,6,62,manual observation
2026-05-18,Q,822.6,1,104,manual observation
2026-04-21,Z,843.1,6,44,manual observation
2026-04-25,M,882.8,4,55,manual observation
2026-05-15,R,1030.3,3,9,manual observation
2026-05-07,Q,646.6,2,81,manual observation
2026-03-09,Z,716.4,7,36,field note
2026-03-23,M,637.5,9,84,manual observation
2026-05-02,Z,700.3,3,5,internal tag
2026-04-30,M,929.9,6,81,manual observation
2026-04-09,R,498.2,9,58,field note
2026-04-13,Z,570.8,2,15,manual observation
2026-03-24,Q,906.6,7,57,internal tag
2026-04-20,Q,853.0,5,12,internal tag
2026-04-27,M,645.5,5,29,field note
2026-04-02,Q,828.2,7,44,field note
2026-03-16,Z,751.2,9,36,field note
2026-03-22,R,925.0,4,92,field note
2026-04-26,M,711.2,9,32,manual observation
2026-05-01,Z,853.8,9,82,manual observation
2026-05-10,M,1096.3,4,113,internal tag
2026-05-11,R,789.7,3,7,field note
2026-05-09,M,707.4,2,104,field note
2026-03-30,Q,808.4,9,95,manual observation
2026-03-23,Q,645.2,2,88,field note
2026-04-01,M,1058.2,6,115,internal tag
2026-04-26,R,727.0,5,83,internal tag
2026-03-09,R,659.1,5,66,field note
2026-03-31,Q,574.6,4,31,internal tag
2026-05-10,R,864.6,6,49,internal tag
2026-03-09,M,830.1,5,109,manual observation
2026-03-13,Z,625.4,4,96,internal tag
2026-04-27,M,786.5,9,29,field note
2026-03-03,Q,473.7,6,110,field note
2026-04-04,Q,727.7,3,65,internal tag
2026-03-21,Q,767.9,6,48,field note
2026-05-03,R,956.1,1,114,manual observation
2026-04-21,M,584.4,5,101,internal tag
2026-04-03,Z,508.2,6,50,internal tag
2026-04-04,M,565.7,8,18,internal tag
2026-03-15,Z,499.5,9,12,field note
2026-03-06,M,900.5,3,52,field note
2026-04-01,Q,932.3,2,18,internal tag
2026-04-21,Z,748.0,4,69,field note
2026-03-28,M,883.2,8,84,field note
2026-05-03,R,720.1,8,86,internal tag
2026-05-18,R,685.7,3,11,internal tag
2026-05-17,M,650.0,4,83,field note
2026-03-19,Q,653.4,3,92,internal tag
2026-03-15,Z,467.8,2,53,internal tag
2026-03-06,M,739.6,4,119,internal tag
2026-05-12,R,693.9,6,59,internal tag
2026-04-07,Z,811.8,5,17,field note
2026-03-26,R,714.0,3,77,internal tag
2026-04-20,R,675.6,2,60,manual observation
2026-05-12,M,569.3,9,60,internal tag
2026-04-22,R,710.8,1,19,manual observation
2026-04-25,Z,810.7,9,61,internal tag
2026-04-28,Q,528.5,1,62,manual observation
2026-05-09,M,713.1,7,39,manual observation
2026-05-17,Z,735.0,6,92,internal tag
2026-04-27,M,592.3,7,101,internal tag
2026-03-13,R,611.8,3,20,internal tag
2026-04-12,R,734.6,3,12,manual observation
2026-05-15,Z,530.0,1,97,field note
2026-04-20,Z,752.5,4,91,field note
2026-03-19,Q,565.7,2,49,internal tag
2026-03-21,Z,859.4,8,99,field note
2026-03-24,Z,1050.7,3,44,field note
2026-03-26,M,570.9,7,117,internal tag
2026-04-14,R,780.1,7,58,manual observation
2026-03-28,Z,591.0,9,18,internal tag
2026-03-29,Q,856.1,6,63,field note
2026-03-17,Z,510.2,1,98,manual observation
2026-05-07,R,772.1,8,57,field note
2026-04-13,Z,569.1,1,107,manual observation
2026-04-30,M,669.0,3,31,field note
2026-05-07,R,545.3,5,51,internal tag
2026-05-13,Z,823.4,8,84,field note
2026-03-25,M,574.5,9,119,field note
2026-05-06,R,782.8,7,10,manual observation
2026-03-02,Z,648.4,9,59,field note
2026-04-18,M,682.8,3,101,internal tag
2026-05-09,Q,722.2,5,48,internal tag
2026-03-26,M,585.7,8,22,internal tag
2026-05-11,Q,731.6,1,20,manual observation
2026-03-27,Z,929.6,8,16,manual observation
2026-03-18,M,583.3,7,24,field note
2026-04-23,Q,875.8,1,49,field note
2026-03-01,R,924.7,6,68,field note
2026-04-30,M,577.6,1,108,manual observation
2026-03-03,Z,481.7,2,63,manual observation
2026-05-07,R,745.3,5,97,field note
2026-04-10,Q,617.9,2,98,manual observation
2026-04-06,M,980.3,1,94,manual observation
2026-04-20,M,705.2,6,26,internal tag
2026-03-15,Z,579.7,8,101,internal tag
2026-03-08,R,527.9,8,107,field note
2026-04-07,M,863.5,8,51,field note
2026-04-25,M,614.3,6,33,internal tag
2026-04-16,R,706.6,3,90,manual observation
2026-03-10,M,843.4,1,49,field note
2026-05-17,R,627.4,2,81,field note
2026-04-18,R,693.1,5,13,field note
2026-04-10,R,697.5,5,28,manual observation
2026-03-30,Z,802.5,1,19,internal tag
2026-03-05,R,788.6,1,40,field note
2026-05-10,R,667.0,9,17,internal tag
2026-03-31,Q,709.5,2,95,internal tag
2026-04-21,Q,644.2,7,48,manual observation
2026-03-23,Z,478.4,4,105,manual observation
2026-04-17,R,738.6,7,75,manual observation
2026-04-09,Q,983.8,8,76,manual observation
2026-03-06,Q,567.4,5,105,manual observation
2026-04-07,M,584.0,1,109,manual observation
2026-04-10,R,569.4,4,82,field note
2026-03-27,Q,808.7,3,80,internal tag
2026-05-14,Z,767.3,5,40,manual observation
2026-05-08,M,676.2,6,65,field note
2026-04-26,M,562.3,2,108,internal tag
2026-03-17,R,713.9,7,85,manual observation
2026-05-10,R,465.3,3,44,manual observation
2026-04-16,M,721.5,1,97,field note
2026-05-18,Z,830.7,3,31,internal tag
2026-03-13,R,512.3,9,5,manual observation
2026-03-11,R,470.1,6,38,internal tag
2026-03-24,M,936.9,6,72,field note
2026-05-12,M,608.2,4,92,manual observation
2026-03-04,R,870.4,8,25,internal tag
2026-04-15,Q,676.9,5,37,field note
2026-03-18,R,675.7,7,11,field note
2026-04-12,Q,765.8,9,69,manual observation
2026-05-19,M,567.4,5,109,internal tag
2026-04-02,Q,719.9,5,7,manual observation
2026-03-10,Z,642.8,4,112,manual observation
2026-05-12,M,501.9,6,55,internal tag
2026-04-28,R,750.6,2,83,internal tag
2026-03-31,R,660.5,3,99,internal tag
2026-03-28,M,676.4,1,58,field note
2026-04-29,M,518.5,2,84,field note
2026-03-03,Z,938.7,2,78,internal tag
2026-04-24,M,831.5,8,97,field note
2026-03-14,R,844.6,8,63,manual observation
2026-04-27,Z,654.2,2,10,internal tag
2026-03-15,R,440.6,6,33,manual observation
2026-03-02,Q,992.9,5,21,internal tag
2026-03-24,M,690.8,3,64,manual observation
2026-05-17,Q,587.7,5,26,internal tag
2026-05-03,R,762.5,5,28,manual observation
2026-05-10,Q,875.1,5,85,internal tag
2026-03-24,Q,696.5,3,89,internal tag
2026-03-27,R,891.8,3,55,field note
2026-04-06,R,862.4,4,54,manual observation
2026-04-08,M,538.5,7,15,field note
2026-05-02,Q,598.9,2,60,manual observation
2026-05-18,Z,843.6,4,75,field note
2026-03-26,Z,293.1,4,46,internal tag
2026-05-04,R,677.6,1,43,field note
2026-03-04,R,485.4,8,73,field note
2026-03-29,Q,628.5,1,112,internal tag
2026-03-01,R,655.2,8,52,field note
2026-04-19,Z,646.3,7,61,internal tag
2026-03-11,M,617.2,9,25,manual observation
2026-05-13,M,535.4,8,86,field note
2026-04-28,Q,1043.8,5,103,internal tag
2026-05-01,M,980.1,8,24,internal tag
2026-04-05,R,525.7,3,19,field note
2026-04-25,R,937.3,7,73,manual observation
2026-03-21,R,640.1,4,81,field note
2026-03-13,R,719.4,5,55,internal tag
2026-03-09,Q,690.5,9,80,manual observation
2026-03-11,M,601.0,7,66,field note
2026-05-14,Z,847.6,4,89,internal tag
2026-05-09,M,718.9,6,41,field note
2026-03-01,R,628.5,7,10,manual observation
2026-05-09,Z,504.3,9,75,manual observation
2026-05-16,Q,566.0,4,30,manual observation
2026-04-25,R,453.8,3,110,manual observation
2026-03-31,R,701.8,8,116,manual observation
2026-04-06,Z,520.5,1,12,field note
2026-04-16,Q,660.2,9,77,manual observation
2026-05-17,Z,905.5,1,95,manual observation
2026-04-16,Q,879.9,2,8,internal tag
2026-05-08,R,695.2,8,25,manual observation
2026-04-27,M,686.9,9,35,internal tag
2026-04-05,R,982.0,7,25,internal tag
2026-04-01,M,778.1,3,108,internal tag
2026-05-03,M,650.8,7,29,field note
2026-05-10,Q,486.1,6,107,field note
2026-04-11,Z,759.1,2,19,internal tag
2026-04-17,Q,824.4,3,39,field note
2026-05-13,R,605.3,5,53,manual observation
2026-03-30,Z,743.7,4,47,field note
2026-03-21,M,645.5,2,45,manual observation
2026-04-29,M,672.4,4,41,manual observation
2026-03-13,R,326.8,8,61,field note
2026-03-01,Z,666.7,5,46,field note
2026-05-04,R,845.4,5,51,internal tag
2026-04-02,R,605.3,3,96,field note
2026-04-07,Q,707.9,8,65,field note
2026-03-25,R,586.6,6,18,field note
2026-03-26,Z,754.1,2,72,manual observation
2026-05-16,R,667.5,2,57,manual observation
2026-04-28,Z,559.1,9,88,manual observation
2026-04-02,M,899.9,7,38,internal tag
2026-04-10,R,839.3,9,80,internal tag
2026-03-30,Z,609.3,6,101,internal tag
2026-04-26,M,774.7,5,28,manual observation
2026-04-18,Z,780.6,1,24,field note
2026-04-17,M,796.3,6,73,internal tag
2026-05-11,Q,445.9,6,106,internal tag
2026-04-18,R,851.0,3,34,manual observation
2026-04-16,R,614.5,3,92,internal tag
2026-04-25,M,646.3,3,111,field note
2026-05-04,Q,1095.7,3,108,manual observation
2026-03-12,Z,745.3,7,11,manual observation
2026-05-08,Q,642.1,2,40,field note
2026-03-06,Z,369.2,2,42,field note
2026-05-04,Z,908.5,3,84,field note
2026-03-25,R,498.2,7,56,internal tag
2026-03-01,M,549.5,3,19,field note
2026-04-01,R,650.3,7,50,manual observation
2026-03-03,R,912.5,9,27,field note
2026-04-18,R,816.0,4,16,manual observation
2026-03-19,Z,676.3,7,97,manual observation
2026-04-29,R,746.2,9,48,internal tag
2026-03-29,Z,609.9,8,116,field note
2026-04-19,M,720.9,8,19,internal tag
2026-03-02,Z,711.0,9,97,field note
2026-05-12,Z,845.3,5,113,field note
2026-04-25,Q,845.1,5,111,field note
2026-03-17,R,774.1,3,53,field note
2026-04-29,R,645.6,5,25,field note
2026-04-05,R,811.3,8,19,manual observation
2026-04-30,R,686.2,5,18,manual observation
2026-03-17,Q,537.7,4,46,field note
2026-04-18,Q,639.5,8,112,manual observation
2026-05-15,Q,712.7,7,84,internal tag
2026-04-29,Q,836.5,6,19,internal tag
2026-03-20,R,672.5,5,110,internal tag
2026-04-19,Z,518.6,5,67,field note
2026-03-03,M,708.5,2,72,field note
2026-04-12,Q,717.0,4,31,manual observation
2026-04-26,Z,727.9,8,91,manual observation
2026-04-19,Q,838.0,8,97,manual observation
2026-05-07,R,852.8,1,109,internal tag
2026-04-19,R,610.9,2,57,internal tag
2026-04-06,Z,607.6,5,56,internal tag
2026-04-15,Z,544.0,9,67,internal tag
2026-04-11,Z,804.8,7,77,manual observation
2026-03-15,R,917.3,5,57,field note
2026-04-02,R,652.7,1,61,field note
2026-05-19,M,663.8,6,56,internal tag
2026-03-11,Z,920.0,8,111,field note
2026-03-20,M,775.8,7,47,field note
2026-03-24,Q,765.4,2,11,field note
2026-05-03,M,521.4,5,46,internal tag
2026-05-19,Q,801.8,4,8,manual observation
2026-05-04,Q,560.6,9,73,manual observation
2026-05-12,M,529.9,1,9,field note
2026-05-15,Z,648.0,6,79,manual observation
2026-03-17,Q,612.1,3,109,manual observation
2026-04-30,Z,666.8,9,96,internal tag
2026-03-15,R,483.9,5,84,internal tag
2026-04-20,Q,843.8,6,45,field note
2026-03-27,R,869.2,9,98,field note
2026-05-13,M,407.9,9,8,field note
2026-04-30,Z,846.8,8,6,internal tag
2026-04-27,M,578.4,9,114,manual observation
2026-03-31,Q,828.5,4,71,internal tag
2026-03-12,R,689.7,6,118,internal tag
2026-04-15,Q,704.3,5,25,manual observation
2026-03-31,M,672.2,5,74,manual observation
2026-04-01,Z,881.8,4,47,field note
2026-04-01,Z,514.1,2,86,manual observation
2026-04-22,Q,791.2,6,112,manual observation
2026-04-30,Q,865.2,9,73,manual observation
2026-04-15,R,807.5,1,13,manual observation
2026-05-13,M,1048.7,7,88,field note
2026-05-19,Q,620.7,6,32,field note
