sample_day,cluster_id,observed_signal,stability_score,completion_flag,note_group
2025-09-18,X2,39.17,0.37,1,manual
2025-09-04,X1,136.58,0.87,1,sensor
2025-09-17,X2,112.24,0.39,1,sensor
2025-09-14,X4,89.64,0.37,0,hybrid
2025-11-17,X2,91.59,0.3,1,sensor
2025-09-13,X1,189.41,0.84,1,hybrid
2025-09-07,X3,77.52,0.58,1,hybrid
2025-10-14,X3,70.13,0.71,0,hybrid
2025-12-28,X2,102.98,0.38,1,hybrid
2025-09-15,X1,141.32,0.77,1,hybrid
2025-09-19,X3,179.74,0.77,1,manual
2025-11-02,X2,123.01,0.43,1,sensor
2025-12-16,X2,55.54,0.51,1,manual
2025-12-20,X1,168.98,0.36,1,hybrid
2025-12-17,X4,99.32,0.93,1,sensor
2025-10-05,X2,70.68,0.68,1,manual
2025-11-20,X4,62.22,0.9,1,manual
2025-10-05,X4,129.27,0.43,1,hybrid
2025-09-19,X3,108.36,0.79,1,manual
2025-09-20,X4,112.08,0.77,1,manual
2025-12-09,X1,145.03,0.72,0,manual
2025-10-05,X3,71.92,0.92,1,manual
2025-10-02,X3,147.82,0.5,1,manual
2025-10-18,X3,81.83,0.3,1,hybrid
2025-10-14,X2,175.74,0.7,0,hybrid
2025-12-13,X2,120.96,0.75,1,manual
2025-09-24,X4,67.79,0.63,1,hybrid
2025-10-31,X3,29.11,0.36,0,hybrid
2025-09-17,X3,128.31,0.58,1,sensor
2025-11-10,X1,86.9,0.43,1,manual
2025-12-16,X4,94.56,0.52,1,hybrid
2025-10-20,X1,126.82,0.68,0,hybrid
2025-11-04,X4,135.36,0.76,0,manual
2025-12-08,X4,142.83,0.37,1,sensor
2025-10-02,X2,58.88,0.5,0,manual
2025-10-06,X2,149.91,0.4,1,sensor
2025-09-13,X1,79.73,0.35,0,manual
2025-11-09,X4,21.03,0.79,1,manual
2025-10-28,X3,58.75,0.88,0,manual
2025-09-14,X2,107.63,0.48,1,manual
2025-10-07,X3,65.74,0.76,1,sensor
2025-12-21,X1,96.92,0.87,1,sensor
2025-11-18,X2,111.84,0.83,1,hybrid
2025-12-20,X2,93.65,0.34,1,manual
2025-11-07,X4,82.7,0.92,1,sensor
2025-10-10,X1,56.23,0.48,1,sensor
2025-10-29,X4,100.77,0.45,1,sensor
2025-11-19,X2,27.73,0.25,1,manual
2025-12-01,X1,75.99,0.56,1,hybrid
2025-09-16,X2,67.53,0.28,1,sensor
2025-11-01,X1,91.62,0.39,1,manual
2025-09-04,X2,92.53,0.44,1,sensor
2025-10-15,X3,133.6,0.81,1,sensor
2025-11-29,X3,155.42,0.86,1,hybrid
2025-09-28,X4,60.88,0.43,1,sensor
2025-12-05,X3,169.75,0.84,1,sensor
2025-12-18,X2,72.72,0.84,1,manual
2025-11-05,X2,106.04,0.77,1,manual
2025-10-01,X3,117.88,0.31,1,hybrid
2025-09-03,X4,185.56,0.72,1,manual
2025-12-27,X3,81.02,0.91,0,manual
2025-09-08,X1,37.11,0.71,1,hybrid
2025-09-24,X1,152.16,0.45,1,sensor
2025-09-15,X1,70.83,0.58,1,hybrid
2025-10-13,X3,87.34,0.68,1,manual
2025-10-01,X3,60.88,0.58,1,hybrid
2025-11-12,X3,87.45,0.29,1,sensor
2025-12-12,X1,70.59,0.43,1,hybrid
2025-10-15,X4,123.68,0.8,1,manual
2025-11-05,X2,102.83,0.85,1,manual
2025-09-08,X3,76.16,0.3,1,hybrid
2025-11-10,X4,134.86,0.91,1,sensor
2025-12-29,X2,108.92,0.45,1,hybrid
2025-12-17,X2,35.39,0.7,1,sensor
2025-12-24,X2,132.19,0.76,1,sensor
2025-12-12,X4,106.47,0.81,1,hybrid
2025-12-15,X4,148.68,0.91,1,sensor
2025-10-27,X1,104.34,0.43,1,manual
2025-11-19,X4,72.29,0.84,1,hybrid
2025-12-08,X4,92.85,0.3,1,sensor
2025-09-30,X4,128.14,0.73,1,manual
2025-11-13,X2,73.02,0.76,1,hybrid
2025-12-11,X3,84.59,0.71,1,manual
2025-09-18,X1,92.24,0.39,1,manual
2025-12-23,X3,59.77,0.85,1,manual
2025-11-08,X3,73.53,0.33,1,sensor
2025-12-26,X4,106.04,0.24,1,hybrid
2025-12-02,X1,142.09,0.74,0,hybrid
2025-10-09,X3,111.1,0.56,1,sensor
2025-10-30,X3,98.39,0.84,1,hybrid
2025-12-07,X1,70.91,0.49,1,manual
2025-10-13,X4,138.33,0.33,1,hybrid
2025-10-15,X3,115.17,0.83,1,sensor
2025-09-23,X2,75.26,0.61,1,manual
2025-11-08,X3,131.45,0.34,1,sensor
2025-12-03,X2,119.59,0.74,1,manual
2025-09-06,X4,71.53,0.58,1,manual
2025-10-26,X3,96.45,0.65,1,hybrid
2025-12-19,X1,82.75,0.55,1,manual
2025-12-17,X1,192.17,0.82,1,sensor
2025-09-04,X3,118.61,0.82,1,hybrid
2025-12-02,X4,106.54,0.73,1,sensor
2025-09-23,X4,116.54,0.28,1,manual
2025-09-06,X1,148.27,0.83,1,sensor
2025-10-02,X3,97.08,0.7,1,sensor
2025-12-15,X4,79.35,0.72,1,manual
2025-09-18,X1,129.55,0.47,1,hybrid
2025-09-15,X2,93.88,0.86,1,sensor
2025-10-10,X3,62.55,0.74,1,manual
2025-12-05,X2,55.74,0.28,1,hybrid
2025-11-12,X2,153.53,0.51,1,hybrid
2025-12-10,X4,104.61,0.86,1,hybrid
2025-11-13,X4,79.37,0.24,0,sensor
2025-11-23,X4,91.8,0.92,1,sensor
2025-09-06,X3,128.26,0.71,0,sensor
2025-12-21,X2,89.73,0.67,0,hybrid
2025-12-29,X3,49.27,0.4,1,sensor
2025-11-02,X4,111.4,0.39,1,manual
2025-11-06,X2,142.29,0.91,1,sensor
2025-12-15,X3,139.95,0.42,1,sensor
2025-09-11,X3,80.42,0.78,1,hybrid
2025-10-13,X1,144.42,0.49,1,sensor
2025-09-17,X3,107.45,0.3,1,manual
2025-12-05,X4,143.44,0.21,1,hybrid
2025-09-04,X3,120.08,0.61,1,manual
2025-11-02,X2,46.74,0.93,1,hybrid
2025-11-07,X3,161.14,0.48,1,hybrid
2025-11-20,X1,101.81,0.47,1,sensor
2025-10-11,X2,120.19,0.46,1,manual
2025-11-22,X2,52.96,0.59,1,hybrid
2025-09-05,X1,117.69,0.53,0,sensor
2025-10-02,X4,138.6,0.86,1,hybrid
2025-11-25,X2,167.74,0.58,0,hybrid
2025-12-29,X4,149.01,0.58,1,hybrid
2025-11-09,X2,119.4,0.3,1,hybrid
2025-10-05,X2,45.95,0.94,1,hybrid
2025-09-22,X4,104.63,0.39,1,hybrid
2025-11-04,X2,79.26,0.26,1,sensor
2025-11-23,X4,108.22,0.7,1,hybrid
2025-09-22,X1,57.43,0.65,1,manual
2025-12-21,X4,92.64,0.51,1,sensor
2025-12-28,X1,81.9,0.52,0,manual
2025-09-11,X2,80.81,0.79,1,hybrid
2025-11-16,X4,81.16,0.35,1,manual
2025-12-15,X2,95.25,0.82,1,hybrid
2025-09-03,X4,110.02,0.69,1,hybrid
2025-09-09,X1,12.55,0.51,1,sensor
2025-10-30,X1,16.82,0.54,1,sensor
2025-11-15,X4,88.15,0.39,1,hybrid
2025-11-26,X1,93.08,0.76,1,sensor
2025-09-14,X2,106.62,0.58,1,manual
2025-12-06,X2,74.53,0.44,1,sensor
2025-09-18,X3,100.33,0.65,0,sensor
2025-12-22,X1,104.43,0.95,1,manual
2025-12-14,X2,74.29,0.53,1,sensor
2025-11-12,X4,135.47,0.89,1,hybrid
2025-09-23,X1,106.19,0.46,1,manual
2025-11-13,X2,119.14,0.24,1,hybrid
2025-11-22,X1,102.41,0.35,1,manual
2025-10-17,X4,173.63,0.51,1,hybrid
2025-11-08,X2,120.87,0.36,1,hybrid
2025-10-17,X3,82.92,0.2,1,sensor
2025-12-25,X3,128.73,0.89,1,hybrid
2025-11-26,X1,42.68,0.83,0,sensor
2025-09-30,X4,104.19,0.76,1,manual
2025-09-25,X2,111.17,0.33,0,hybrid
2025-09-28,X4,104.59,0.29,1,hybrid
2025-12-07,X2,88.32,0.25,1,manual
2025-12-18,X1,64.57,0.74,1,manual
2025-12-29,X2,72.37,0.9,1,hybrid
2025-12-21,X4,103.57,0.52,1,manual
2025-12-20,X4,61.03,0.29,1,sensor
2025-09-25,X1,161.96,0.58,1,manual
2025-11-13,X4,7.57,0.46,1,manual
2025-11-17,X2,88.68,0.48,1,hybrid
2025-12-15,X1,103.86,0.67,1,sensor
2025-12-19,X2,117.76,0.74,1,manual
2025-10-28,X4,67.94,0.28,1,sensor
2025-12-03,X1,139.7,0.23,1,sensor
2025-12-28,X2,51.22,0.95,1,sensor
2025-10-11,X4,80.19,0.37,1,hybrid
2025-09-25,X4,121.73,0.24,1,manual
2025-11-17,X3,136.41,0.34,1,hybrid
2025-12-08,X4,50.86,0.23,1,manual
2025-12-25,X2,192.58,0.49,1,manual
2025-10-18,X1,68.59,0.8,1,hybrid
2025-12-07,X3,54.07,0.46,1,sensor
2025-09-10,X4,117.6,0.53,1,sensor
2025-12-08,X4,87.81,0.71,1,manual
2025-11-14,X4,82.64,0.58,0,hybrid
2025-09-11,X2,120.85,0.85,1,sensor
2025-11-24,X3,46.54,0.85,1,sensor
2025-09-21,X2,40.43,0.21,1,manual
2025-11-25,X3,79.09,0.78,1,manual
2025-10-15,X1,137.73,0.55,1,hybrid
2025-09-07,X2,80.61,0.94,1,manual
2025-12-28,X2,155.97,0.56,1,sensor
2025-11-20,X1,142.04,0.94,1,sensor
2025-11-03,X3,109.9,0.77,1,sensor
2025-11-03,X4,111.89,0.39,1,sensor
2025-09-02,X1,109.87,0.6,1,hybrid
2025-11-15,X4,105.59,0.94,0,hybrid
2025-10-12,X4,87.18,0.84,1,manual
2025-11-21,X1,91.24,0.27,1,manual
2025-10-24,X3,62.55,0.73,1,manual
2025-11-14,X4,22.65,0.46,0,hybrid
2025-09-16,X1,138.64,0.21,1,sensor
2025-12-22,X2,105.5,0.5,1,manual
2025-12-24,X2,100.22,0.38,1,sensor
2025-09-18,X2,113.95,0.81,0,manual
2025-12-08,X1,71.01,0.45,1,manual
2025-12-26,X2,64.96,0.82,1,manual
2025-10-29,X4,90.07,0.2,1,manual
2025-11-29,X2,147.88,0.43,1,manual
2025-09-16,X2,59.09,0.38,1,sensor
2025-09-06,X4,8.05,0.38,1,manual
2025-10-27,X2,81.75,0.25,0,sensor
2025-12-17,X4,139.99,0.34,0,hybrid
2025-12-16,X2,39.36,0.62,1,manual
2025-10-17,X4,58.69,0.42,1,sensor
2025-12-20,X2,109.22,0.51,1,hybrid
2025-10-18,X4,189.95,0.48,1,hybrid
2025-10-12,X1,52.46,0.86,1,hybrid
2025-11-15,X4,51.11,0.88,0,sensor
2025-10-30,X2,111.85,0.57,1,manual
2025-11-16,X2,142.16,0.45,0,manual
2025-09-04,X3,78.16,0.28,0,sensor
2025-12-12,X4,43.25,0.92,0,manual
2025-12-27,X1,115.18,0.25,1,sensor
2025-09-02,X4,121.52,0.42,0,manual
2025-11-29,X4,162.25,0.42,0,hybrid
2025-10-29,X1,122.99,0.44,1,manual
2025-09-27,X4,128.98,0.32,1,sensor
2025-09-27,X1,90.82,0.79,1,sensor
2025-11-18,X1,185.45,0.29,1,hybrid
2025-11-11,X4,86.07,0.68,0,sensor
2025-09-07,X4,78.58,0.29,1,manual
2025-11-02,X2,163.33,0.25,1,manual
2025-12-20,X2,48.4,0.88,1,hybrid
2025-12-28,X3,35.34,0.34,1,sensor
2025-10-16,X3,104.18,0.82,1,hybrid
2025-11-02,X4,99.94,0.61,0,manual
2025-12-13,X1,92.02,0.26,1,hybrid
2025-09-12,X3,134.79,0.92,0,sensor
2025-09-13,X4,68.21,0.39,1,hybrid
2025-10-13,X3,102.25,0.84,1,sensor
2025-09-17,X1,87.4,0.33,1,sensor
2025-11-02,X4,68.81,0.84,1,manual
2025-11-20,X1,97.84,0.21,1,manual
2025-12-29,X4,129.84,0.58,1,manual
2025-10-06,X3,174.22,0.78,1,sensor
2025-11-24,X2,120.28,0.9,1,hybrid
2025-09-08,X3,12.12,0.88,1,sensor
