record_date,warehouse_zone,ticket_volume,fulfillment_cost,reopen_cases,inventory_group
2025-08-04,D,19,3402.5,6,Office
2025-08-24,D,64,2567.1,2,Outdoor
2025-09-28,C,46,3182.8,5,Furniture
2025-11-07,A,47,2825.8,4,Outdoor
2025-08-03,C,84,3017.4,12,Kitchen
2025-10-07,B,78,2386.0,0,Kitchen
2025-09-09,C,53,2513.1,9,Kitchen
2025-09-17,D,68,2353.3,5,Office
2025-09-23,C,36,2202.6,13,Furniture
2025-09-04,A,68,2645.3,7,Kitchen
2025-11-03,B,6,1887.4,12,Office
2025-09-25,C,28,3331.2,12,Office
2025-10-28,A,70,1643.2,0,Office
2025-09-09,C,42,2686.8,1,Office
2025-10-16,B,35,3027.2,13,Kitchen
2025-10-07,C,30,2094.0,14,Office
2025-09-15,D,33,1532.2,3,Kitchen
2025-10-17,C,71,2893.3,11,Kitchen
2025-08-13,A,82,2322.0,1,Office
2025-08-27,C,29,2688.0,10,Kitchen
2025-08-06,A,52,2134.3,8,Furniture
2025-08-17,B,69,3239.2,9,Furniture
2025-09-05,C,57,929.8,7,Outdoor
2025-11-07,B,71,2425.7,7,Furniture
2025-10-20,B,22,3005.0,3,Kitchen
2025-08-02,C,13,2263.2,4,Kitchen
2025-10-16,A,42,2381.4,3,Furniture
2025-09-21,B,25,1939.6,12,Office
2025-10-05,B,69,2212.4,8,Office
2025-09-21,C,25,1196.9,12,Kitchen
2025-10-31,C,31,1768.9,1,Office
2025-09-12,C,74,1727.9,12,Outdoor
2025-10-29,C,48,2601.5,10,Outdoor
2025-08-22,C,32,1857.2,7,Furniture
2025-09-24,D,49,1874.5,1,Furniture
2025-10-06,C,21,1973.2,0,Office
2025-11-07,A,44,1750.8,9,Kitchen
2025-09-29,B,7,2361.4,2,Furniture
2025-09-27,A,80,2426.6,8,Outdoor
2025-08-12,A,80,2695.0,11,Furniture
2025-10-27,D,70,2591.7,2,Furniture
2025-10-08,C,50,2531.7,8,Outdoor
2025-10-23,B,34,2002.6,6,Kitchen
2025-09-08,A,73,1964.1,12,Furniture
2025-08-13,C,13,1677.3,9,Furniture
2025-09-10,C,89,1666.5,0,Furniture
2025-09-26,D,15,2316.6,9,Office
2025-09-22,D,73,1768.4,4,Furniture
2025-08-12,D,70,3081.0,8,Outdoor
2025-08-13,B,35,2177.5,11,Kitchen
2025-10-13,A,37,3100.8,14,Kitchen
2025-11-05,D,43,2543.1,14,Outdoor
2025-09-26,D,50,1733.7,2,Office
2025-09-09,D,41,2162.8,8,Outdoor
2025-10-19,A,64,1195.9,4,Kitchen
2025-09-14,A,35,2314.3,8,Outdoor
2025-09-04,D,15,1788.5,9,Office
2025-08-03,D,6,1531.9,5,Kitchen
2025-08-05,C,31,3113.3,8,Office
2025-10-29,D,6,2818.4,6,Outdoor
2025-08-11,B,25,2801.8,6,Furniture
2025-10-10,B,62,2669.3,7,Outdoor
2025-09-25,D,9,1459.1,6,Office
2025-08-10,A,56,1959.7,11,Outdoor
2025-09-03,C,49,1996.3,8,Furniture
2025-10-06,A,89,1174.2,10,Office
2025-10-11,D,24,1865.8,8,Outdoor
2025-08-31,B,65,1872.3,5,Office
2025-10-14,C,42,2275.6,6,Office
2025-10-10,A,24,3719.4,1,Kitchen
2025-10-05,A,29,2187.5,14,Kitchen
2025-10-09,D,6,2275.9,8,Office
2025-09-10,C,36,2049.9,11,Outdoor
2025-10-02,B,30,2642.6,12,Outdoor
2025-09-01,D,74,1555.6,0,Outdoor
2025-08-20,C,45,3337.6,0,Furniture
2025-09-26,A,71,2125.5,2,Office
2025-11-06,D,5,1962.9,11,Office
2025-09-19,A,55,2782.0,5,Furniture
2025-10-19,A,9,1665.4,4,Office
2025-08-25,D,17,2631.6,14,Office
2025-08-12,D,23,3043.1,1,Furniture
2025-10-10,D,16,2055.2,8,Kitchen
2025-09-08,D,52,3431.7,13,Office
2025-08-17,D,29,2586.6,12,Furniture
2025-09-14,A,61,2594.0,9,Outdoor
2025-08-11,B,39,3019.5,13,Kitchen
2025-10-09,B,80,3178.4,3,Outdoor
2025-08-23,D,9,2357.1,3,Office
2025-10-30,A,26,2678.1,4,Kitchen
2025-10-09,B,81,3037.8,14,Furniture
2025-09-07,B,61,1502.9,7,Office
2025-08-02,B,51,1162.3,9,Furniture
2025-10-25,A,58,2165.5,3,Kitchen
2025-10-23,D,7,1147.9,4,Outdoor
2025-10-28,D,57,2011.6,11,Office
2025-10-18,D,88,2388.6,3,Office
2025-11-01,C,35,2034.6,13,Furniture
2025-10-11,C,73,2115.0,5,Kitchen
2025-09-06,C,37,1599.0,11,Furniture
2025-09-18,A,76,2672.9,2,Kitchen
2025-09-21,B,54,1561.9,7,Office
2025-09-02,B,88,938.3,5,Kitchen
2025-08-22,A,20,2075.6,9,Office
2025-08-05,A,80,2749.0,4,Kitchen
2025-08-18,D,81,2247.9,12,Outdoor
2025-09-07,D,43,1501.1,14,Kitchen
2025-09-06,C,50,2261.2,1,Outdoor
2025-11-02,C,51,2463.0,9,Kitchen
2025-11-03,A,48,2254.2,9,Kitchen
2025-10-03,C,13,2041.2,6,Furniture
2025-08-10,B,54,2491.6,1,Furniture
2025-10-18,A,81,1156.9,0,Office
2025-09-11,A,64,1663.6,6,Furniture
2025-09-17,B,19,1416.9,4,Kitchen
2025-09-13,D,40,3009.0,0,Furniture
2025-10-21,D,67,2627.2,14,Kitchen
2025-10-26,B,73,2311.1,3,Outdoor
2025-11-05,B,84,1329.6,11,Kitchen
2025-08-16,C,45,2646.5,12,Office
2025-09-23,A,78,3031.9,3,Outdoor
2025-09-04,C,28,2542.9,9,Office
2025-11-06,B,86,2178.9,6,Office
2025-08-28,C,53,2579.0,8,Office
2025-08-02,B,22,2363.7,1,Furniture
2025-11-02,C,11,2755.6,11,Office
2025-08-13,C,8,2742.2,13,Outdoor
2025-09-10,D,73,2067.4,0,Kitchen
2025-10-19,B,64,1803.6,1,Office
2025-09-28,C,59,1960.1,6,Outdoor
2025-10-08,A,20,2521.5,12,Office
2025-10-31,C,86,1996.3,9,Kitchen
2025-09-22,C,33,1749.7,5,Outdoor
2025-09-14,A,27,2199.4,3,Outdoor
2025-08-20,B,18,2864.5,0,Kitchen
2025-08-24,D,83,2281.1,12,Outdoor
2025-09-30,D,53,2034.3,0,Kitchen
2025-10-30,D,37,2392.3,4,Outdoor
2025-11-02,A,29,2250.4,14,Outdoor
2025-09-27,C,25,1039.8,0,Kitchen
2025-08-27,B,21,2618.1,11,Kitchen
2025-08-26,C,27,2444.5,14,Outdoor
2025-08-07,D,61,2209.7,6,Outdoor
2025-09-11,C,85,2837.4,12,Kitchen
2025-09-16,A,62,2927.8,10,Furniture
2025-09-22,A,18,2679.3,0,Kitchen
2025-09-28,B,24,1689.8,0,Outdoor
2025-09-07,B,34,1710.6,1,Outdoor
2025-10-08,D,23,2870.4,12,Outdoor
2025-10-26,B,57,1073.7,13,Kitchen
2025-10-31,C,60,2110.7,10,Outdoor
2025-11-06,A,81,2463.9,11,Furniture
2025-09-22,A,86,1149.8,9,Office
2025-08-15,A,27,2340.6,2,Furniture
2025-11-04,B,66,2772.7,12,Kitchen
2025-08-26,A,37,1308.7,10,Outdoor
2025-09-17,A,22,3194.9,14,Kitchen
2025-11-03,A,77,1594.1,0,Office
2025-08-19,D,37,2544.8,14,Kitchen
2025-08-09,D,36,2149.8,8,Outdoor
2025-10-03,B,65,2241.7,9,Office
2025-11-01,A,58,1429.9,7,Office
2025-09-23,B,21,2956.3,4,Outdoor
2025-09-20,A,23,2395.5,12,Outdoor
2025-09-08,A,74,3172.5,10,Outdoor
2025-08-04,A,38,1445.5,1,Kitchen
2025-08-03,B,88,2091.3,4,Furniture
2025-10-03,B,29,2325.7,5,Kitchen
2025-08-29,A,72,2236.2,13,Kitchen
2025-08-11,C,78,2600.1,14,Furniture
2025-11-05,B,78,2083.6,0,Outdoor
2025-09-27,D,89,3473.2,10,Outdoor
2025-10-14,B,15,2223.9,3,Furniture
2025-08-27,A,20,469.5,8,Furniture
2025-11-05,C,65,2250.5,1,Kitchen
2025-08-21,A,84,2956.9,4,Office
2025-09-08,D,11,1646.0,0,Furniture
2025-11-03,B,20,1607.9,3,Kitchen
2025-09-15,B,20,1695.8,3,Office
2025-10-05,A,44,1554.1,5,Outdoor
2025-10-30,A,16,1912.4,9,Outdoor
2025-09-05,D,39,2745.6,8,Kitchen
2025-10-14,C,25,3115.8,2,Kitchen
2025-10-21,D,54,745.4,8,Furniture
2025-10-04,C,47,1972.9,5,Outdoor
2025-10-02,B,21,2381.6,6,Kitchen
2025-11-07,C,36,2321.6,11,Outdoor
2025-09-04,C,45,3340.0,9,Outdoor
2025-08-31,B,10,993.6,1,Furniture
2025-08-28,B,31,646.6,10,Office
2025-08-01,B,24,3437.3,9,Furniture
2025-08-25,D,29,2652.1,13,Kitchen
2025-09-12,B,70,1857.2,5,Furniture
