reading_date,site_name,solar_kwh,facility_load_kwh,grid_import_kwh,grid_export_kwh,battery_state_pct,temperature_c,maintenance_flag
2025-12-08,South Campus,172.3,204.9,18.6,0,30.6,36.7,0
2025-12-09,West Plant,138.1,127.4,0,37.9,46.1,26.3,0
2025-12-10,Central Office,139.0,138.2,0,28.1,23.7,29.5,0
2025-12-11,South Campus,170.4,220.5,30.8,0,10.9,18.5,0
2025-12-12,East Depot,148.2,143.9,0,23.5,38.9,30.0,0
2025-12-13,South Campus,150.0,186.5,13.1,0,25.0,27.3,0
2025-12-14,East Depot,202.4,89.2,0,128.6,50.7,25.4,0
2025-12-15,Central Office,143.8,160.7,0,0,54.6,25.9,0
2025-12-16,North Campus,187.8,186.5,0,0,88.9,21.6,0
2025-12-17,Central Office,158.7,170.9,11.7,1.3,68.4,17.8,0
2025-12-18,North Campus,216.2,84.3,0,161.4,44.9,36.4,0
2025-12-19,South Campus,212.7,194.5,0,2.4,70.3,32.2,0
2025-12-20,South Campus,149.2,203.6,37.4,0,40.3,22.5,0
2025-12-21,Central Office,210.3,48.2,0,166.0,71.9,19.9,0
2025-12-22,West Plant,168.6,125.5,0,52.7,34.4,24.3,0
2025-12-23,Central Office,174.2,131.0,0,50.2,66.2,32.5,0
2025-12-24,East Depot,126.5,110.8,0,6.3,19.0,37.5,0
2025-12-25,South Campus,179.3,229.2,40.1,0,20.4,25.2,0
2025-12-26,West Plant,204.4,179.5,0,56.0,,27.4,0
2025-12-27,East Depot,138.7,182.1,34.7,0,36.5,29.7,0
2025-12-28,Central Office,141.8,136.5,0,7.3,42.9,20.7,0
2025-12-29,North Campus,236.7,137.1,0,94.8,14.4,24.5,0
2025-12-30,South Campus,151.8,212.7,20.1,0,56.1,25.6,0
2025-12-31,Central Office,199.0,83.8,0,124.3,78.0,17.0,0
2026-01-01,Central Office,243.7,37.6,0,188.7,54.0,30.6,0
2026-01-02,West Plant,188.0,228.5,2.6,0,61.6,23.4,0
2026-01-03,Central Office,182.2,102.6,0,73.6,63.3,22.2,0
2026-01-04,East Depot,201.2,107.5,0,85.2,47.0,23.6,0
2026-01-05,East Depot,208.7,140.4,0,95.3,14.7,18.7,0
2026-01-06,East Depot,190.3,142.7,0,31.2,52.5,22.7,0
2026-01-07,West Plant,158.7,203.8,15.3,0,28.7,23.9,0
2026-01-08,West Plant,203.0,131.6,0,52.5,93.9,35.0,0
2026-01-09,West Plant,177.0,171.7,0,0,14.7,31.3,0
2026-01-10,Central Office,153.1,114.6,0,63.9,70.8,18.7,0
2026-01-11,Central Office,178.7,89.1,0,100.7,10.4,18.1,0
2026-01-12,South Campus,105.7,212.0,69.2,0,41.9,28.3,0
2026-01-13,South Campus,144.6,124.8,0,50.6,43.6,19.1,0
2026-01-14,North Campus,171.5,203.9,20.1,0,94.1,28.7,0
2026-01-15,West Plant,160.7,173.9,0,0,15.9,23.0,0
2026-01-16,South Campus,129.2,194.5,31.1,0,80.4,37.1,1
2026-01-17,East Depot,93.5,167.5,37.2,0,44.7,18.1,0
2026-01-18,East Depot,110.7,160.8,34.2,0,,29.8,0
2026-01-19,Central Office,192.7,117.0,0,96.8,76.8,38.2,0
2026-01-20,Central Office,125.8,149.1,0,0,13.9,36.1,0
2026-01-21,Central Office,160.1,118.0,0,45.0,10.9,21.5,0
2026-01-22,East Depot,124.7,50.2,0,82.8,65.6,24.7,0
2026-01-23,Central Office,110.8,150.1,36.7,0,19.0,16.6,0
2026-01-24,Central Office,172.6,103.0,0,88.6,22.1,23.1,0
2026-01-25,Central Office,142.7,52.0,0,115.5,95.8,20.4,0
2026-01-26,North Campus,143.6,148.4,0,0,88.3,35.3,0
2026-01-27,West Plant,131.2,209.0,66.2,0,22.7,29.2,0
2026-01-28,Central Office,130.8,194.3,26.3,0,87.0,25.8,0
2026-01-29,West Plant,144.4,219.7,55.6,0,,24.0,0
2026-01-30,North Campus,129.0,164.6,21.7,0,73.1,20.1,0
2026-01-31,East Depot,163.7,82.0,0,92.7,21.7,17.3,0
2026-02-01,Central Office,132.7,45.0,0,78.8,43.3,26.7,0
2026-02-02,North Campus,109.5,137.5,0,0,50.1,34.6,0
2025-11-15,North Campus,125.0,118.0,0,39.4,92.6,37.3,0
2025-11-16,West Plant,93.3,199.9,64.9,0,50.6,35.1,0
2025-11-17,East Depot,84.0,132.6,34.8,0,,26.1,0
2025-11-18,North Campus,112.8,66.4,0,33.0,11.3,27.5,0
2025-11-19,South Campus,100.4,307.1,187.6,0,64.6,17.9,0
2025-11-20,South Campus,145.7,239.0,66.2,0,92.2,30.7,0
2025-11-21,North Campus,110.1,173.7,26.3,0,94.4,18.1,0
2025-11-22,West Plant,87.7,206.6,106.9,0,59.1,19.1,0
2025-11-23,East Depot,98.0,158.4,18.2,0,21.7,35.6,0
2025-11-24,South Campus,105.3,204.6,78.2,0,46.2,16.6,0
2025-11-25,Central Office,125.8,128.3,0,6.9,49.8,38.6,0
2025-11-26,South Campus,89.3,196.3,99.2,0,56.2,25.2,0
2025-11-27,North Campus,158.6,173.1,0,0,61.4,34.9,0
2025-11-28,Central Office,150.7,94.5,0,66.8,58.0,21.6,0
2025-11-29,Central Office,142.4,50.7,0,72.2,32.4,21.8,0
2025-11-30,East Depot,173.8,46.8,0,162.0,53.0,23.6,0
2025-12-01,West Plant,130.8,226.8,53.1,0,84.9,22.8,0
2025-12-02,Central Office,132.4,155.7,1.7,0,22.4,24.4,0
2025-12-03,North Campus,170.6,189.4,10.9,14.9,64.5,26.8,0
2025-12-04,South Campus,137.7,234.3,57.2,0,40.2,26.5,0
2025-12-05,South Campus,97.3,124.7,0,0,35.6,22.9,0
2025-12-06,East Depot,142.5,122.8,0,2.7,13.4,20.7,0
2025-12-07,West Plant,131.0,169.9,0.4,0,12.8,38.7,0
2025-12-08,Central Office,135.4,132.0,0,26.6,83.7,27.4,0
2025-12-09,Central Office,131.9,71.6,0,72.5,,19.9,0
2025-12-10,Central Office,157.8,114.8,0,35.7,,26.4,0
2025-12-11,Central Office,134.1,115.5,0,39.0,65.4,20.1,0
2025-12-12,East Depot,140.2,120.7,0,25.4,86.5,28.5,0
2025-12-13,South Campus,137.0,251.5,84.0,0,75.2,19.7,1
2025-12-14,Central Office,163.5,66.3,0,112.4,38.9,22.4,0
2025-12-15,West Plant,111.1,198.4,47.3,0,58.9,28.4,0
2025-12-16,East Depot,149.3,85.7,0,77.8,93.7,38.4,0
2025-12-17,West Plant,189.4,190.2,0,0,58.6,25.6,0
2025-12-18,West Plant,166.2,205.4,1.7,0,32.5,32.8,0
2025-12-19,South Campus,196.3,226.0,0,0,91.1,37.3,1
2025-12-20,West Plant,153.0,208.8,49.0,0,30.0,34.5,0
2025-12-21,South Campus,216.4,259.1,35.1,0,20.4,21.4,0
2025-12-22,East Depot,179.9,114.1,0,49.7,44.7,22.1,0
2025-12-23,Central Office,173.0,80.8,0,102.2,65.8,33.4,0
2025-12-24,South Campus,152.4,161.6,0,20.0,34.9,22.9,0
2025-12-25,East Depot,164.7,153.5,0,29.4,25.7,19.4,0
2025-12-26,South Campus,180.7,200.1,19.1,0,51.8,35.4,0
2025-12-27,Central Office,184.8,157.0,0,43.2,77.1,20.6,0
2025-12-28,West Plant,190.0,169.2,0,54.0,79.3,17.0,0
2025-12-29,East Depot,211.0,149.1,0,86.1,65.9,17.2,0
2025-12-30,Central Office,172.6,103.0,0,63.5,92.6,32.4,0
2025-12-31,North Campus,247.2,185.4,0,91.0,85.4,23.8,0
2026-01-01,South Campus,171.9,138.3,0,50.7,36.2,29.2,0
2026-01-02,South Campus,176.1,241.0,38.5,0,92.8,37.3,0
2026-01-03,Central Office,199.2,78.9,0,100.7,28.6,19.6,0
2026-01-04,Central Office,232.5,80.9,0,140.0,41.1,38.2,0
2026-01-05,South Campus,142.0,178.9,1.0,0,90.5,21.1,0
2026-01-06,West Plant,175.8,224.2,22.0,0,61.4,27.3,0
2026-01-07,East Depot,130.4,126.5,0,15.3,12.3,31.5,0
2026-01-08,North Campus,150.0,140.9,0,42.2,16.9,28.6,0
2026-01-09,West Plant,180.9,177.3,0,0,,34.1,0
2026-01-10,East Depot,146.4,133.7,0,0,52.6,20.9,0
2026-01-11,Central Office,200.0,108.0,0,125.5,17.7,37.3,0
2026-01-12,Central Office,243.5,74.8,0,184.1,79.3,37.1,0
2026-01-13,North Campus,172.7,172.8,0,26.8,19.1,23.9,0
2026-01-14,South Campus,162.4,189.0,0,0,23.5,16.2,0
2026-01-15,North Campus,137.2,171.1,9.9,0,32.1,33.0,0
2026-01-16,Central Office,137.9,118.9,0,34.4,,16.8,0
2026-01-17,North Campus,140.4,121.9,0,4.6,77.1,20.5,0
2026-01-18,South Campus,153.5,183.2,0,0,,29.8,0
2026-01-19,East Depot,132.6,161.6,0,0,75.8,37.1,0
2026-01-20,West Plant,131.5,184.2,21.7,0,,23.9,0
2026-01-21,West Plant,139.7,148.5,0,18.8,30.0,16.2,0
2026-01-22,Central Office,122.9,146.9,0,8.4,44.0,22.4,0
2026-01-23,West Plant,131.9,187.7,36.0,0,77.0,34.6,0
2026-01-24,North Campus,111.2,154.6,26.0,0,16.1,31.8,0
2026-01-25,South Campus,89.8,172.1,72.9,0,88.7,34.5,1
2026-01-26,North Campus,100.8,147.2,6.9,0,30.4,33.5,0
2026-01-27,North Campus,108.2,131.5,0,0,45.7,17.1,0
2026-01-28,West Plant,105.0,232.8,102.6,0,77.9,25.3,0
2026-01-29,West Plant,114.1,119.5,0,0,39.4,24.4,0
2026-01-30,East Depot,116.0,194.7,67.0,0,74.9,23.9,0
2026-01-31,North Campus,108.7,88.4,0,9.1,64.3,38.7,0
2026-02-01,North Campus,97.7,116.6,0.5,0,60.6,31.8,0
2026-02-02,South Campus,92.3,230.3,135.5,0,45.6,27.3,0
2025-11-15,Central Office,160.3,160.0,0,0,69.3,31.1,0
2025-11-16,South Campus,97.2,172.9,61.2,0,18.1,35.4,0
2025-11-17,South Campus,83.3,144.3,48.4,0,20.6,34.6,0
2025-11-18,Central Office,102.9,125.4,0,0,25.1,25.2,0
2025-11-19,West Plant,102.0,192.1,82.4,0,24.9,19.3,0
2025-11-20,East Depot,119.7,125.9,0,3.4,42.5,17.3,0
2025-11-21,Central Office,117.8,142.7,24.3,0,23.3,27.6,0
2025-11-22,South Campus,148.6,228.3,44.5,0,75.1,32.5,0
2025-11-23,North Campus,121.5,192.5,54.2,0,94.8,16.8,0
2025-11-24,North Campus,135.2,163.7,5.3,0,66.0,28.1,0
2025-11-25,West Plant,92.8,157.7,59.8,0,81.3,22.9,0
2025-11-26,South Campus,108.1,232.2,100.5,0,45.3,34.7,0
2025-11-27,North Campus,151.8,213.7,27.4,0,75.0,29.7,0
2025-11-28,Central Office,143.5,45.8,0,118.8,68.8,33.1,0
2025-11-29,Central Office,109.9,139.3,19.0,0,26.2,33.0,0
2025-11-30,Central Office,149.0,82.6,0,79.6,47.4,25.0,0
2025-12-01,West Plant,162.3,165.4,0,17.9,70.8,29.8,0
2025-12-02,East Depot,126.6,111.6,0,0,43.5,29.2,0
2025-12-03,South Campus,170.8,228.1,17.5,0,18.3,16.6,0
2025-12-04,West Plant,192.3,175.3,0,33.3,36.9,24.4,0
2025-12-05,North Campus,175.4,126.1,0,37.3,58.8,16.7,0
2025-12-06,West Plant,140.9,155.0,0,11.9,27.8,27.0,0
2025-12-07,North Campus,128.3,149.2,0,0,72.2,32.7,0
2025-12-08,South Campus,198.2,231.0,29.5,0,28.4,34.4,0
2025-12-09,Central Office,127.1,70.5,0,66.7,60.2,26.2,0
2025-12-10,East Depot,136.7,170.2,1.5,0,82.4,35.6,0
2025-12-11,North Campus,144.7,178.3,0,0,74.4,20.7,0
2025-12-12,East Depot,193.7,102.7,0,114.9,38.7,21.2,0
2025-12-13,Central Office,149.2,182.6,21.7,0,58.9,22.7,0
2025-12-14,West Plant,135.4,222.2,44.3,0,20.5,32.3,0
2025-12-15,North Campus,187.1,141.4,0,68.1,11.2,17.8,1
2025-12-16,West Plant,177.9,217.5,7.6,0,49.3,35.2,0
2025-12-17,Central Office,181.7,155.2,0,7.1,16.7,30.1,0
2025-12-18,East Depot,195.8,115.5,0,61.0,,19.8,0
2025-12-19,South Campus,174.3,216.8,36.3,0,90.3,23.0,0
2025-12-20,North Campus,194.4,127.7,0,75.7,,35.3,0
2025-12-21,South Campus,189.5,225.0,0,0,74.7,29.4,0
2025-12-22,North Campus,182.5,127.9,0,36.9,34.6,31.8,0
2025-12-23,Central Office,188.0,143.7,0,46.3,,22.2,0
2025-12-24,Central Office,213.1,135.9,0,67.0,,26.2,0
2025-12-25,East Depot,187.6,102.9,0,77.5,12.0,23.7,0
2025-12-26,South Campus,196.8,207.0,0,13.5,61.6,27.5,0
2025-12-27,East Depot,164.4,114.2,0,34.7,11.0,27.6,0
2025-12-28,East Depot,202.9,130.1,0,88.7,64.3,24.5,0
2025-12-29,North Campus,196.5,157.9,0,62.4,25.5,31.9,0
2025-12-30,East Depot,175.2,94.7,0,114.9,14.8,23.0,0
2025-12-31,North Campus,199.2,123.4,0,109.6,68.7,34.3,0
2026-01-01,North Campus,233.7,121.6,0,128.9,85.2,21.2,0
2026-01-02,North Campus,185.6,177.7,0,17.4,,20.0,0
2026-01-03,East Depot,186.8,168.7,0,5.5,15.3,31.4,0
2026-01-04,West Plant,149.1,93.3,0,60.5,19.1,25.4,0
2026-01-05,South Campus,183.1,219.7,30.6,0,21.9,19.4,0
2026-01-06,West Plant,181.6,170.3,0,41.4,73.4,16.3,0
2026-01-07,East Depot,105.9,222.9,102.8,0,23.5,28.2,0
2026-01-08,East Depot,111.1,172.6,46.8,0,23.2,30.7,0
2026-01-09,North Campus,112.2,133.3,0,0,70.1,16.8,0
2026-01-10,West Plant,199.2,173.4,0,46.6,77.4,21.4,0
2026-01-11,North Campus,152.0,106.9,0,62.8,63.9,16.9,0
2026-01-12,East Depot,157.9,132.9,0,43.1,,16.9,0
2026-01-13,West Plant,124.2,152.2,0,0,43.6,37.9,0
2026-01-14,Central Office,193.3,134.5,0,47.1,62.6,33.5,0
2026-01-15,West Plant,168.1,186.1,0,0,53.6,38.4,0
2026-01-16,Central Office,154.1,89.6,0,68.8,,21.2,0
2026-01-17,West Plant,156.4,165.9,0,21.9,74.4,21.4,0
2026-01-18,South Campus,164.6,265.8,63.5,0,93.1,24.6,0
2026-01-19,East Depot,199.3,103.3,0,80.1,90.3,24.6,0
2026-01-20,West Plant,141.9,132.8,0,30.6,47.1,35.6,0
2026-01-21,East Depot,139.0,99.8,0,20.6,90.0,27.8,0
2026-01-22,Central Office,120.9,197.0,72.2,0,80.5,33.9,0
2026-01-23,North Campus,127.5,120.9,0,0,69.2,30.6,0
2026-01-24,East Depot,158.4,92.5,0,91.8,45.7,23.1,0
2026-01-25,South Campus,115.5,172.0,38.4,0,39.1,25.2,0
2026-01-26,South Campus,172.7,274.8,60.3,0,81.1,30.0,0
2026-01-27,North Campus,167.4,102.7,0,81.9,40.4,28.5,0
2026-01-28,North Campus,162.4,175.4,5.5,0,76.8,32.1,0
2026-01-29,West Plant,112.9,135.7,0,0,50.6,19.9,0
2026-01-30,East Depot,81.9,125.2,37.5,0,92.6,33.5,0
2026-01-31,South Campus,53.8,171.0,113.5,0,24.8,30.5,0
2026-02-01,West Plant,117.6,138.6,0,0,,31.4,0
2026-02-02,West Plant,83.9,195.2,107.1,0,21.5,17.4,0
