period_date,channel_group,event_count,qualified_event,converted_event,spend_amount,return_amount,coverage_flag,region
2026-03-19,Channel C,55,0,1,42.17,939.94,1,QLD
2026-03-20,Channel C,43,0,1,,,0,VIC
2026-03-21,Channel B,12,1,0,,,0,QLD
2026-03-22,Channel A,47,0,0,121.76,,0,VIC
2026-03-23,Channel A,1,1,0,,,0,QLD
2026-03-24,Channel C,23,0,0,71.52,258.49,1,VIC
2026-03-25,Channel C,2,1,0,,,0,SA
2026-03-26,Channel E,59,0,1,,709.81,0,SA
2026-01-01,Channel A,54,1,0,121.75,399.71,1,SA
2026-01-02,Channel C,53,0,0,46.78,505.29,1,SA
2026-01-03,Channel B,34,0,0,,,0,SA
2026-01-04,Channel A,4,0,0,22.77,,0,QLD
2026-01-05,Channel E,18,1,0,29.36,,0,NSW
2026-01-06,Channel E,45,0,0,,293.12,0,SA
2026-01-07,Channel D,18,0,1,,731.88,0,NSW
2026-01-08,Channel E,34,0,0,58.08,,0,VIC
2026-01-09,Channel A,30,0,1,28.74,,0,SA
2026-01-10,Channel B,60,1,0,,1031.95,0,QLD
2026-01-11,Channel B,19,1,0,55.61,,0,QLD
2026-01-12,Channel E,39,1,1,112.05,947.91,1,VIC
2026-01-13,Channel D,37,1,0,90.84,,0,QLD
2026-01-14,Channel D,6,0,0,69.2,425.13,1,QLD
2026-01-15,Channel D,49,0,0,78.47,433.43,1,QLD
2026-01-16,Channel C,20,1,0,,,0,VIC
2026-01-17,Channel C,14,1,0,,,0,VIC
2026-01-18,Channel E,32,0,0,135.08,325.21,1,NSW
2026-01-19,Channel D,14,1,0,,,0,SA
2026-01-20,Channel D,12,1,0,11.91,642.64,1,NSW
2026-01-21,Channel D,4,1,1,,300.32,0,NSW
2026-01-22,Channel B,59,0,1,20.43,,0,NSW
2026-01-23,Channel D,4,0,1,,121.52,0,VIC
2026-01-24,Channel B,20,0,0,,,0,NSW
2026-01-25,Channel D,44,0,1,65.2,,0,VIC
2026-01-26,Channel A,46,1,0,,1195.04,0,QLD
2026-01-27,Channel E,11,0,1,124.23,526.0,1,SA
2026-01-28,Channel C,12,0,0,108.98,60.03,1,VIC
2026-01-29,Channel E,51,0,0,,,0,VIC
2026-01-30,Channel D,48,0,0,77.37,,0,QLD
2026-01-31,Channel C,36,1,0,20.14,625.28,1,SA
2026-02-01,Channel D,39,1,0,116.98,,0,QLD
2026-02-02,Channel D,27,1,0,117.85,,0,NSW
2026-02-03,Channel B,49,0,0,3.82,510.49,1,VIC
2026-02-04,Channel D,32,0,1,125.77,868.68,1,SA
2026-02-05,Channel D,58,1,1,,,0,QLD
2026-02-06,Channel B,18,1,1,22.38,673.37,1,VIC
2026-02-07,Channel C,45,0,0,72.99,169.01,1,VIC
2026-02-08,Channel C,21,0,1,57.04,1108.27,1,VIC
2026-02-09,Channel D,7,0,0,,936.53,0,SA
2026-02-10,Channel B,28,0,1,44.76,338.84,1,SA
2026-02-11,Channel E,32,0,1,128.69,26.67,1,VIC
2026-02-12,Channel D,41,1,0,,920.82,0,SA
2026-02-13,Channel D,43,1,1,,,0,QLD
2026-02-14,Channel E,1,0,0,,194.06,0,SA
2026-02-15,Channel C,11,1,0,,56.04,0,NSW
2026-02-16,Channel C,34,1,1,1.93,,0,NSW
2026-02-17,Channel E,44,0,0,123.84,,0,SA
2026-02-18,Channel B,25,1,1,,289.01,0,VIC
2026-02-19,Channel A,58,0,0,121.39,,0,SA
2026-02-20,Channel B,1,0,0,102.39,1100.1,1,VIC
2026-02-21,Channel D,49,1,0,85.84,,0,SA
2026-02-22,Channel C,46,0,0,,,0,SA
2026-02-23,Channel C,22,0,1,27.0,,0,NSW
2026-02-24,Channel D,56,1,0,,1088.17,0,VIC
2026-02-25,Channel A,24,0,1,18.05,1073.41,1,SA
2026-02-26,Channel C,30,0,0,33.58,,0,VIC
2026-02-27,Channel C,21,0,0,,,0,NSW
2026-02-28,Channel B,16,1,1,,378.52,0,NSW
2026-03-01,Channel D,9,0,0,59.31,,0,VIC
2026-03-02,Channel E,54,1,0,,,0,NSW
2026-03-03,Channel D,28,1,0,28.23,,0,NSW
2026-03-04,Channel B,40,0,0,,126.55,0,SA
2026-03-05,Channel B,18,1,0,13.1,678.79,1,VIC
2026-03-06,Channel B,16,0,0,,412.73,0,SA
2026-03-07,Channel D,16,1,1,21.9,,0,QLD
2026-03-08,Channel C,15,0,0,,336.15,0,SA
2026-03-09,Channel E,50,0,0,28.49,,0,QLD
2026-03-10,Channel B,41,0,0,,,0,NSW
2026-03-11,Channel A,8,1,0,,,0,QLD
2026-03-12,Channel A,13,0,0,48.64,,0,VIC
2026-03-13,Channel B,54,1,0,,,0,NSW
2026-03-14,Channel D,28,0,1,97.36,,0,VIC
2026-03-15,Channel C,3,0,0,98.21,,0,SA
2026-03-16,Channel E,12,1,0,,163.68,0,QLD
2026-03-17,Channel C,8,1,0,0.74,,0,VIC
2026-03-18,Channel B,20,1,0,71.48,243.56,1,SA
2026-03-19,Channel E,47,0,0,30.55,,0,VIC
2026-03-20,Channel C,58,1,1,17.83,,0,NSW
2026-03-21,Channel B,20,0,1,98.37,,0,QLD
2026-03-22,Channel E,59,0,0,,,0,VIC
2026-03-23,Channel B,24,1,1,90.44,,0,NSW
2026-03-24,Channel A,6,1,0,16.47,444.03,1,QLD
2026-03-25,Channel A,5,1,0,,,0,SA
2026-03-26,Channel C,48,0,0,32.0,963.53,1,VIC
2026-01-01,Channel B,8,1,0,128.92,1006.76,1,SA
2026-01-02,Channel B,24,0,0,21.26,767.69,1,NSW
2026-01-03,Channel E,58,1,0,41.22,837.55,1,SA
2026-01-04,Channel A,18,0,0,,,0,SA
2026-01-05,Channel A,34,0,0,,,0,NSW
2026-01-06,Channel A,37,0,1,124.29,,0,SA
2026-01-07,Channel A,4,0,0,22.06,,0,QLD
2026-01-08,Channel D,12,1,0,,,0,VIC
2026-01-09,Channel E,29,0,1,,405.58,0,QLD
2026-01-10,Channel C,55,1,1,,673.51,0,VIC
2026-01-11,Channel B,30,1,1,,,0,VIC
2026-01-12,Channel D,3,1,0,43.93,,0,NSW
2026-01-13,Channel B,7,0,0,,598.61,0,SA
2026-01-14,Channel E,47,1,0,139.79,,0,SA
2026-01-15,Channel D,42,1,0,,,0,QLD
2026-01-16,Channel A,52,1,0,,,0,SA
2026-01-17,Channel A,59,1,0,139.81,1168.99,1,NSW
2026-01-18,Channel B,3,1,1,12.26,181.28,1,NSW
2026-01-19,Channel B,26,0,0,17.5,,0,VIC
2026-01-20,Channel A,11,0,1,124.28,566.1,1,SA
2026-01-21,Channel D,20,0,0,59.9,552.76,1,NSW
2026-01-22,Channel A,27,0,0,87.99,,0,QLD
2026-01-23,Channel C,40,1,0,65.69,956.72,1,SA
2026-01-24,Channel E,23,1,1,45.19,561.01,1,QLD
2026-01-25,Channel E,39,0,0,2.45,,0,VIC
2026-01-26,Channel D,54,1,1,95.77,,0,NSW
2026-01-27,Channel B,31,1,0,,,0,QLD
2026-01-28,Channel E,2,1,0,11.18,1092.18,1,VIC
2026-01-29,Channel D,50,0,0,,,0,NSW
2026-01-30,Channel B,20,1,1,,1059.54,0,NSW
2026-01-31,Channel E,32,0,0,120.07,,0,QLD
2026-02-01,Channel C,49,1,0,,153.69,0,QLD
2026-02-02,Channel A,45,0,0,,477.1,0,VIC
2026-02-03,Channel B,40,0,0,37.94,,0,QLD
2026-02-04,Channel E,59,0,0,23.55,,0,NSW
2026-02-05,Channel D,54,0,0,,295.93,0,NSW
2026-02-06,Channel D,22,0,0,95.74,,0,NSW
2026-02-07,Channel C,51,0,0,,,0,QLD
2026-02-08,Channel B,17,0,0,,,0,NSW
2026-02-09,Channel B,48,1,0,133.95,1028.37,1,NSW
2026-02-10,Channel E,9,0,1,79.49,,0,QLD
2026-02-11,Channel D,56,1,0,35.14,53.02,1,VIC
2026-02-12,Channel E,46,1,0,93.4,906.2,1,SA
2026-02-13,Channel B,25,0,0,,,0,VIC
2026-02-14,Channel A,12,0,0,,,0,QLD
2026-02-15,Channel B,56,0,0,122.91,,0,QLD
2026-02-16,Channel D,51,1,0,15.45,,0,SA
2026-02-17,Channel D,2,0,0,112.32,19.38,1,SA
2026-02-18,Channel C,18,0,1,62.07,,0,QLD
2026-02-19,Channel B,2,0,0,,719.77,0,QLD
2026-02-20,Channel D,56,0,1,,475.91,0,NSW
2026-02-21,Channel D,28,0,0,37.4,588.88,1,QLD
2026-02-22,Channel B,45,0,0,41.3,,0,SA
2026-02-23,Channel E,4,0,0,,,0,SA
2026-02-24,Channel D,33,0,0,126.4,648.93,1,VIC
2026-02-25,Channel B,22,1,0,,632.87,0,VIC
2026-02-26,Channel D,22,0,0,,703.78,0,QLD
2026-02-27,Channel C,10,0,0,62.1,512.87,1,QLD
2026-02-28,Channel E,11,1,0,,1066.11,0,NSW
2026-03-01,Channel C,1,1,0,,,0,QLD
2026-03-02,Channel A,42,0,0,119.06,,0,SA
2026-03-03,Channel C,14,0,0,,878.98,0,VIC
2026-03-04,Channel A,3,0,0,87.46,,0,VIC
2026-03-05,Channel E,17,0,0,,1149.36,0,QLD
2026-03-06,Channel A,3,0,0,142.16,,0,SA
2026-03-07,Channel C,38,0,1,,,0,VIC
2026-03-08,Channel B,39,1,0,141.42,,0,VIC
2026-03-09,Channel D,51,0,0,,577.17,0,NSW
2026-03-10,Channel C,34,0,0,80.3,814.54,1,QLD
2026-03-11,Channel A,5,0,0,38.46,243.67,1,SA
2026-03-12,Channel E,9,0,0,110.54,1001.92,1,QLD
2026-03-13,Channel D,14,0,0,,824.35,0,NSW
2026-03-14,Channel E,57,0,1,5.07,77.6,1,VIC
2026-03-15,Channel D,32,1,0,59.62,,0,QLD
2026-03-16,Channel C,27,0,0,,960.37,0,NSW
2026-03-17,Channel D,43,1,0,,,0,VIC
2026-03-18,Channel C,44,0,1,104.78,,0,NSW
2026-03-19,Channel B,24,1,1,,698.19,0,SA
2026-03-20,Channel B,60,1,0,31.63,1135.14,1,VIC
2026-03-21,Channel D,50,0,0,,,0,SA
2026-03-22,Channel E,25,0,0,20.6,,0,NSW
2026-03-23,Channel E,50,1,0,127.37,,0,QLD
2026-03-24,Channel A,39,0,1,87.03,1193.69,1,NSW
2026-03-25,Channel C,36,1,0,,,0,QLD
2026-03-26,Channel E,57,0,0,51.05,211.35,1,SA
