stock_day,sku_group,fulfilment_site,orders_requested,orders_fulfilled,stockout_flag,fulfilment_cost,gross_sales_value,returns_count,margin_band,supplier_zone
2025-10-24,Lighting,Sydney DC,61,43,1,178.08,3326.41,2,high,interstate
2025-10-25,Homewares,Melbourne DC,79,62,1,1126.63,9886.64,1,low,import
2025-10-26,Homewares,Perth DC,49,40,1,218.45,3622.47,0,low,interstate
2025-10-27,Outdoor,Sydney DC,75,67,0,1234.8,14538.15,2,high,interstate
2025-10-28,Outdoor,Sydney DC,25,17,0,169.16,2380.75,1,high,interstate
2025-10-29,Outdoor,Regional Overflow,38,37,0,384.92,5050.8,0,medium,local
2025-10-30,Appliances,Regional Overflow,57,43,0,645.56,2736.54,3,low,local
2025-10-31,Appliances,Regional Overflow,72,62,0,956.6,15124.13,4,medium,import
2025-11-01,Kitchen,Perth DC,74,66,0,926.38,14808.96,0,medium,interstate
2025-11-02,Homewares,Regional Overflow,69,62,0,570.88,7117.69,0,high,import
2025-11-03,Outdoor,Perth DC,56,48,0,500.12,11203.62,1,high,interstate
2025-11-04,Appliances,Brisbane DC,53,40,0,366.1,4597.31,2,medium,import
2025-11-05,Kitchen,Regional Overflow,34,24,1,435.61,660.31,2,high,interstate
2025-11-06,Kitchen,Melbourne DC,70,68,0,855.14,13563.5,3,low,local
2025-11-07,Furniture,Melbourne DC,53,41,0,724.85,5459.26,0,low,import
2025-11-08,Furniture,Melbourne DC,50,42,0,244.8,6318.03,2,high,local
2025-11-09,Furniture,Brisbane DC,79,59,0,392.13,10700.7,4,low,import
2025-11-10,Furniture,Perth DC,9,7,1,128.7,1198.33,0,high,import
2025-11-11,Homewares,Brisbane DC,39,35,0,206.05,3896.86,1,high,local
2025-11-12,Outdoor,Brisbane DC,28,21,1,319.69,2625.65,1,high,local
2025-11-13,Outdoor,Brisbane DC,14,11,0,102.13,2454.35,0,medium,local
2025-11-14,Homewares,Sydney DC,39,31,1,187.77,1675.47,1,low,local
2025-11-15,Appliances,Perth DC,16,13,1,195.55,1753.02,0,low,local
2025-11-16,Homewares,Sydney DC,35,29,0,121.06,3326.61,1,medium,interstate
2025-11-17,Outdoor,Sydney DC,56,38,0,631.57,5207.23,0,medium,import
2025-11-18,Kitchen,Sydney DC,61,42,0,452.2,1987.35,1,high,import
2025-11-19,Appliances,Perth DC,57,41,1,517.87,5526.93,2,medium,import
2025-11-20,Kitchen,Brisbane DC,31,26,0,236.91,1982.71,1,high,local
2025-11-21,Lighting,Perth DC,22,17,0,133.97,1995.7,1,medium,local
2025-11-22,Furniture,Melbourne DC,40,38,0,624.65,5882.43,0,medium,local
2025-11-23,Kitchen,Brisbane DC,52,43,0,482.36,4538.69,2,low,local
2025-11-24,Kitchen,Sydney DC,12,10,0,94.7,456.79,0,high,local
2025-11-25,Homewares,Melbourne DC,22,21,0,365.99,4836.38,0,medium,interstate
2025-11-26,Kitchen,Brisbane DC,43,30,0,362.41,,1,low,import
2025-08-01,Appliances,Brisbane DC,59,42,1,176.55,3724.44,2,medium,import
2025-08-02,Kitchen,Regional Overflow,22,17,1,223.97,1003.79,1,medium,import
2025-08-03,Lighting,Perth DC,27,20,1,80.22,2028.32,1,high,local
2025-08-04,Furniture,Brisbane DC,73,64,0,717.84,4771.82,2,high,import
2025-08-05,Kitchen,Melbourne DC,79,68,0,1002.33,10914.48,2,medium,local
2025-08-06,Homewares,Sydney DC,42,33,1,138.7,5052.03,1,low,interstate
2025-08-07,Lighting,Sydney DC,26,21,1,235.84,3279.55,1,high,import
2025-08-08,Lighting,Regional Overflow,48,36,0,359.26,2746.8,0,low,import
2025-08-09,Appliances,Brisbane DC,71,54,0,581.45,6327.01,3,low,local
2025-08-10,Kitchen,Sydney DC,46,40,0,725.47,6315.53,2,low,import
2025-08-11,Kitchen,Melbourne DC,22,15,1,110.81,458.64,0,low,local
2025-08-12,Homewares,Sydney DC,42,31,0,475.26,3073.62,2,low,local
2025-08-13,Kitchen,Sydney DC,33,28,0,111.69,6009.55,1,high,local
2025-08-14,Outdoor,Perth DC,7,5,0,23.73,604.6,0,low,local
2025-08-15,Homewares,Perth DC,64,55,0,727.51,5703.3,4,low,local
2025-08-16,Outdoor,Perth DC,42,34,1,209.6,6723.41,0,low,import
2025-08-17,Furniture,Sydney DC,31,22,1,371.97,2105.88,0,medium,local
2025-08-18,Furniture,Regional Overflow,68,51,1,609.88,11982.42,4,high,import
2025-08-19,Kitchen,Brisbane DC,28,24,0,348.67,2825.16,0,high,interstate
2025-08-20,Appliances,Regional Overflow,78,61,1,377.98,11560.84,0,low,import
2025-08-21,Kitchen,Melbourne DC,62,53,0,590.55,7205.92,3,medium,local
2025-08-22,Appliances,Sydney DC,14,10,1,149.68,1885.58,1,high,import
2025-08-23,Lighting,Perth DC,48,34,1,560.43,8683.61,0,medium,local
2025-08-24,Outdoor,Regional Overflow,75,60,1,1079.16,13125.34,5,medium,interstate
2025-08-25,Lighting,Perth DC,18,15,0,232.07,2226.45,0,medium,local
2025-08-26,Furniture,Regional Overflow,39,31,1,402.81,6725.97,1,high,local
2025-08-27,Furniture,Melbourne DC,71,62,0,363.18,15658.74,0,high,interstate
2025-08-28,Furniture,Regional Overflow,54,36,1,520.8,1303.42,0,medium,local
2025-08-29,Homewares,Brisbane DC,74,67,0,1224.31,6049.3,1,low,local
2025-08-30,Homewares,Regional Overflow,32,24,1,410.7,5584.88,2,medium,interstate
2025-08-31,Lighting,Brisbane DC,57,53,0,841.71,13545.47,2,low,interstate
2025-09-01,Furniture,Sydney DC,19,14,1,131.99,2453.79,1,medium,interstate
2025-09-02,Homewares,Melbourne DC,49,40,1,547.98,9159.25,0,low,interstate
2025-09-03,Kitchen,Perth DC,47,33,1,142.42,3383.1,2,medium,local
2025-09-04,Homewares,Brisbane DC,22,17,1,144.4,2012.39,0,low,interstate
2025-09-05,Furniture,Regional Overflow,67,60,0,215.56,13939.53,3,high,local
2025-09-06,Homewares,Sydney DC,72,51,1,532.34,3296.27,2,high,import
2025-09-07,Outdoor,Sydney DC,80,73,0,264.92,5239.44,5,medium,import
2025-09-08,Appliances,Brisbane DC,79,55,1,715.15,3537.04,1,medium,import
2025-09-09,Kitchen,Melbourne DC,17,14,0,52.67,1788.93,1,medium,import
2025-09-10,Outdoor,Regional Overflow,72,60,0,929.2,8096.5,3,medium,interstate
2025-09-11,Appliances,Melbourne DC,16,14,0,145.15,1022.45,1,medium,interstate
2025-09-12,Furniture,Perth DC,13,10,1,46.49,1435.88,0,low,local
2025-09-13,Furniture,Melbourne DC,60,51,0,627.64,8952.3,0,medium,import
2025-09-14,Homewares,Sydney DC,44,36,1,461.36,5376.74,3,medium,interstate
2025-09-15,Appliances,Regional Overflow,25,17,0,118.46,3762.91,0,medium,import
2025-09-16,Furniture,Melbourne DC,80,71,0,577.67,18071.92,2,low,interstate
2025-09-17,Lighting,Sydney DC,69,55,1,625.58,2632.01,1,high,local
2025-09-18,Furniture,Melbourne DC,60,45,1,404.9,11519.34,3,low,interstate
2025-09-19,Homewares,Perth DC,66,63,0,916.99,11127.91,1,medium,import
2025-09-20,Kitchen,Regional Overflow,12,9,1,134.15,1937.63,0,medium,import
2025-09-21,Appliances,Melbourne DC,56,54,0,259.55,7996.51,4,high,import
2025-09-22,Homewares,Brisbane DC,35,25,1,88.49,3514.33,1,medium,local
2025-09-23,Outdoor,Sydney DC,43,39,0,550.1,,0,low,interstate
2025-09-24,Furniture,Brisbane DC,33,31,0,264.57,7576.85,2,medium,local
2025-09-25,Homewares,Sydney DC,53,40,0,317.92,8341.57,1,medium,import
2025-09-26,Lighting,Sydney DC,77,58,0,679.57,4104.0,2,high,interstate
2025-09-27,Kitchen,Brisbane DC,13,11,0,64.9,,0,medium,local
2025-09-28,Lighting,Regional Overflow,10,7,1,82.33,334.8,1,high,import
2025-09-29,Furniture,Brisbane DC,41,30,1,293.27,5167.08,1,low,interstate
2025-09-30,Appliances,Regional Overflow,70,67,0,241.38,15971.58,4,medium,interstate
2025-10-01,Appliances,Brisbane DC,66,59,0,318.72,11347.01,4,high,import
2025-10-02,Homewares,Perth DC,28,25,0,341.32,2192.63,2,medium,interstate
2025-10-03,Furniture,Sydney DC,35,33,0,203.58,3639.9,1,low,local
2025-10-04,Outdoor,Brisbane DC,24,21,0,365.67,5099.84,0,high,import
2025-10-05,Outdoor,Brisbane DC,46,38,0,365.06,8158.17,2,high,interstate
2025-10-06,Homewares,Melbourne DC,32,26,1,301.63,2167.69,1,high,import
2025-10-07,Outdoor,Regional Overflow,24,22,0,198.38,2224.69,1,medium,interstate
2025-10-08,Kitchen,Sydney DC,60,49,1,873.37,9111.42,1,high,import
2025-10-09,Outdoor,Regional Overflow,56,54,0,790.65,10596.56,0,high,local
2025-10-10,Lighting,Regional Overflow,35,33,0,169.9,4318.67,1,medium,interstate
2025-10-11,Homewares,Regional Overflow,78,68,0,552.32,4566.59,0,medium,import
2025-10-12,Furniture,Sydney DC,74,51,0,502.0,2244.47,4,medium,interstate
2025-10-13,Furniture,Regional Overflow,71,52,0,249.74,2529.66,3,low,local
2025-10-14,Homewares,Brisbane DC,45,37,0,136.59,7512.65,0,medium,local
2025-10-15,Kitchen,Perth DC,79,64,1,759.55,3222.24,2,high,import
2025-10-16,Furniture,Perth DC,62,52,0,788.8,9016.22,1,medium,import
2025-10-17,Lighting,Brisbane DC,25,20,1,114.75,4513.72,0,low,import
2025-10-18,Furniture,Perth DC,54,40,1,338.49,1733.93,0,medium,interstate
2025-10-19,Appliances,Melbourne DC,45,34,0,313.4,1768.08,2,medium,local
2025-10-20,Lighting,Regional Overflow,39,30,0,496.12,2076.86,2,low,local
2025-10-21,Appliances,Brisbane DC,50,35,1,443.38,2146.37,0,high,local
2025-10-22,Outdoor,Melbourne DC,64,51,1,679.25,4003.63,4,medium,local
2025-10-23,Homewares,Regional Overflow,19,16,0,145.45,491.22,1,high,local
2025-10-24,Outdoor,Regional Overflow,80,66,0,326.27,10982.0,2,low,interstate
2025-10-25,Outdoor,Melbourne DC,29,27,0,337.76,,2,high,interstate
2025-10-26,Furniture,Melbourne DC,38,28,0,274.25,3785.17,2,low,interstate
2025-10-27,Outdoor,Sydney DC,52,35,0,151.82,5417.16,2,medium,interstate
2025-10-28,Furniture,Melbourne DC,79,61,0,929.66,9925.63,5,medium,import
2025-10-29,Lighting,Perth DC,9,8,0,111.83,2058.3,1,high,local
2025-10-30,Homewares,Perth DC,77,68,0,774.11,9167.17,1,high,interstate
2025-10-31,Appliances,Sydney DC,20,19,0,135.51,1157.34,0,medium,local
2025-11-01,Kitchen,Regional Overflow,70,50,0,686.26,2142.37,0,high,import
2025-11-02,Homewares,Regional Overflow,38,35,0,584.69,6511.07,0,high,local
2025-11-03,Appliances,Brisbane DC,36,34,0,618.37,3149.71,0,medium,import
2025-11-04,Kitchen,Regional Overflow,16,14,0,95.11,822.83,1,medium,interstate
2025-11-05,Appliances,Regional Overflow,72,68,0,1053.38,5848.65,3,high,import
2025-11-06,Homewares,Perth DC,20,17,0,131.96,1969.84,0,medium,interstate
2025-11-07,Furniture,Sydney DC,80,75,0,1383.95,17415.69,5,high,import
2025-11-08,Furniture,Brisbane DC,72,61,0,710.28,4698.53,5,medium,local
2025-11-09,Kitchen,Melbourne DC,59,48,1,467.22,1555.92,0,high,import
2025-11-10,Kitchen,Regional Overflow,68,54,1,730.98,,3,high,interstate
2025-11-11,Homewares,Melbourne DC,7,5,1,69.49,293.8,0,low,interstate
2025-11-12,Lighting,Regional Overflow,49,45,0,431.64,,2,high,import
2025-11-13,Lighting,Sydney DC,39,38,0,503.71,1958.55,0,low,local
2025-11-14,Homewares,Sydney DC,60,56,0,709.15,13666.78,2,high,local
2025-11-15,Kitchen,Sydney DC,53,39,1,659.83,9886.52,0,medium,interstate
2025-11-16,Appliances,Sydney DC,53,43,0,252.65,9906.11,2,high,local
2025-11-17,Furniture,Brisbane DC,53,40,1,540.29,1130.94,1,high,interstate
2025-11-18,Lighting,Melbourne DC,70,57,0,982.47,,4,low,local
2025-11-19,Kitchen,Perth DC,53,44,0,192.25,4699.37,3,low,interstate
2025-11-20,Kitchen,Sydney DC,14,10,1,72.31,2163.93,0,medium,import
2025-11-21,Appliances,Sydney DC,68,56,0,951.15,9810.25,2,high,interstate
2025-11-22,Furniture,Regional Overflow,59,55,0,582.38,9340.08,1,low,interstate
2025-11-23,Kitchen,Perth DC,80,67,0,1135.34,14468.31,5,high,local
2025-11-24,Lighting,Regional Overflow,36,28,1,349.34,5698.49,1,medium,local
2025-11-25,Homewares,Brisbane DC,50,47,0,379.1,11520.38,3,low,interstate
2025-11-26,Outdoor,Sydney DC,40,31,1,477.86,5584.31,1,high,import
2025-08-01,Homewares,Perth DC,38,35,0,220.11,4371.57,2,low,local
2025-08-02,Homewares,Perth DC,40,32,0,112.42,4999.62,0,low,import
2025-08-03,Lighting,Regional Overflow,70,51,0,724.92,9137.88,0,low,local
2025-08-04,Furniture,Regional Overflow,52,50,0,490.68,7107.77,0,medium,local
2025-08-05,Kitchen,Brisbane DC,54,44,1,594.02,5423.98,2,high,import
2025-08-06,Kitchen,Perth DC,22,21,0,277.76,3091.43,1,low,import
2025-08-07,Homewares,Melbourne DC,24,18,1,68.28,,1,low,import
2025-08-08,Furniture,Sydney DC,11,8,1,100.09,923.82,1,medium,local
2025-08-09,Outdoor,Melbourne DC,71,62,0,394.51,14658.22,0,high,import
2025-08-10,Homewares,Melbourne DC,65,51,0,917.12,8530.33,4,medium,interstate
2025-08-11,Homewares,Regional Overflow,46,31,1,113.58,3064.49,2,high,local
2025-08-12,Furniture,Sydney DC,36,33,0,338.85,7869.87,1,low,interstate
2025-08-13,Homewares,Perth DC,36,27,1,437.7,3296.01,2,high,import
2025-08-14,Appliances,Brisbane DC,71,49,0,310.79,2716.5,4,low,import
2025-08-15,Appliances,Regional Overflow,23,17,0,178.62,1299.02,1,high,local
2025-08-16,Furniture,Perth DC,80,68,0,1166.94,9382.54,1,high,interstate
2025-08-17,Furniture,Sydney DC,27,20,1,352.18,2595.78,1,medium,local
2025-08-18,Furniture,Perth DC,32,28,0,346.36,2836.23,2,medium,local
2025-08-19,Homewares,Regional Overflow,40,32,0,177.28,4752.57,0,medium,interstate
2025-08-20,Lighting,Sydney DC,14,13,0,86.79,1538.23,1,medium,interstate
2025-08-21,Outdoor,Regional Overflow,67,57,0,634.15,1947.79,0,high,interstate
2025-08-22,Kitchen,Regional Overflow,35,33,0,199.86,5236.45,2,medium,interstate
2025-08-23,Outdoor,Regional Overflow,29,22,0,131.38,3211.33,0,medium,import
2025-08-24,Kitchen,Perth DC,75,53,1,712.99,1984.59,3,low,local
2025-08-25,Furniture,Melbourne DC,15,12,0,57.15,2150.76,1,medium,interstate
2025-08-26,Appliances,Sydney DC,71,49,1,643.92,5006.58,2,medium,interstate
2025-08-27,Furniture,Melbourne DC,52,47,0,239.79,8888.06,1,low,interstate
2025-08-28,Appliances,Perth DC,34,24,0,91.25,1834.35,1,medium,import
2025-08-29,Outdoor,Melbourne DC,33,29,0,140.03,5033.19,1,high,interstate
2025-08-30,Homewares,Regional Overflow,13,12,0,202.17,2483.45,0,high,import
2025-08-31,Appliances,Sydney DC,79,73,0,687.55,2691.11,3,low,interstate
2025-09-01,Homewares,Brisbane DC,26,17,0,134.02,2923.44,0,high,import
2025-09-02,Furniture,Regional Overflow,68,59,0,219.91,9393.18,4,medium,interstate
2025-09-03,Furniture,Melbourne DC,42,35,0,436.27,3301.4,0,medium,local
2025-09-04,Kitchen,Brisbane DC,17,15,0,77.18,796.96,1,low,import
2025-09-05,Homewares,Perth DC,9,8,0,83.03,353.14,1,high,local
2025-09-06,Outdoor,Sydney DC,54,45,0,457.04,8895.12,0,high,local
2025-09-07,Kitchen,Regional Overflow,66,48,0,734.51,7037.53,2,medium,import
2025-09-08,Outdoor,Perth DC,16,13,0,73.44,655.59,0,low,import
2025-09-09,Furniture,Sydney DC,77,60,1,838.87,13338.96,0,medium,interstate
2025-09-10,Lighting,Sydney DC,6,4,1,43.83,273.95,0,high,import
2025-09-11,Kitchen,Perth DC,39,32,0,119.09,5965.39,0,high,import
2025-09-12,Furniture,Sydney DC,35,26,1,387.5,6409.49,1,medium,interstate
2025-09-13,Homewares,Brisbane DC,22,18,1,142.87,2414.08,1,medium,import
2025-09-14,Homewares,Regional Overflow,38,27,1,138.83,6300.25,2,high,interstate
2025-09-15,Furniture,Perth DC,12,9,0,95.25,1212.33,0,low,local
2025-09-16,Outdoor,Regional Overflow,32,24,1,223.48,2262.44,2,low,interstate
2025-09-17,Furniture,Melbourne DC,47,41,0,654.78,2426.9,0,high,import
2025-09-18,Homewares,Melbourne DC,36,28,0,330.25,6652.99,0,low,import
2025-09-19,Furniture,Regional Overflow,12,10,0,152.95,300.88,0,medium,local
2025-09-20,Appliances,Sydney DC,16,13,0,128.14,2621.77,0,high,interstate
2025-09-21,Kitchen,Brisbane DC,74,50,0,185.14,5898.04,0,medium,import
2025-09-22,Appliances,Regional Overflow,29,23,0,304.63,4026.72,1,medium,import
2025-09-23,Outdoor,Brisbane DC,33,32,0,491.35,1199.45,0,medium,interstate
2025-09-24,Homewares,Sydney DC,25,19,0,94.31,1608.96,0,medium,import
2025-09-25,Kitchen,Brisbane DC,7,6,0,102.95,1177.34,1,medium,import
2025-09-26,Kitchen,Regional Overflow,62,50,0,198.45,2048.53,1,medium,import
2025-09-27,Homewares,Perth DC,16,12,1,178.88,1310.89,1,low,interstate
2025-09-28,Homewares,Sydney DC,58,48,0,287.79,5558.2,0,high,local
2025-09-29,Homewares,Sydney DC,22,21,0,256.4,3178.79,1,high,interstate
2025-09-30,Appliances,Melbourne DC,29,23,1,369.04,1351.58,1,medium,interstate
2025-10-01,Outdoor,Perth DC,27,26,0,113.26,1379.8,1,medium,interstate
2025-10-02,Homewares,Perth DC,45,40,0,303.97,5599.08,1,medium,import
2025-10-03,Furniture,Melbourne DC,15,14,0,132.62,1982.31,1,medium,import
2025-10-04,Appliances,Sydney DC,11,10,0,38.16,2265.76,1,low,import
2025-10-05,Lighting,Perth DC,20,16,0,276.95,,0,high,interstate
2025-10-06,Furniture,Regional Overflow,38,31,1,454.22,4916.71,1,low,interstate
2025-10-07,Kitchen,Brisbane DC,8,7,0,34.8,1352.95,1,low,local
2025-10-08,Appliances,Sydney DC,75,59,1,891.74,10627.87,3,low,interstate
2025-10-09,Appliances,Regional Overflow,44,42,0,352.02,9675.13,1,high,interstate
2025-10-10,Homewares,Perth DC,41,30,1,504.97,6305.4,1,low,interstate
2025-10-11,Kitchen,Brisbane DC,25,17,1,131.02,1468.92,1,low,import
2025-10-12,Homewares,Sydney DC,35,24,0,405.25,707.14,2,low,import
2025-10-13,Lighting,Brisbane DC,9,7,1,37.23,,0,high,local
2025-10-14,Furniture,Perth DC,29,22,0,331.75,3576.23,0,low,local
2025-10-15,Outdoor,Regional Overflow,52,41,1,291.86,9961.02,1,high,interstate
2025-10-16,Outdoor,Sydney DC,12,10,0,47.27,983.04,0,medium,import
2025-10-17,Furniture,Melbourne DC,42,33,1,424.12,3476.22,0,high,interstate
2025-10-18,Appliances,Brisbane DC,19,16,0,132.29,4047.93,1,low,interstate
2025-10-19,Outdoor,Sydney DC,24,19,1,139.61,,1,high,interstate
2025-10-20,Furniture,Perth DC,8,7,0,92.62,415.13,0,medium,interstate
2025-10-21,Homewares,Brisbane DC,71,62,0,615.58,13830.79,2,high,import
2025-10-22,Outdoor,Regional Overflow,47,33,1,339.13,,2,high,import
2025-10-23,Lighting,Melbourne DC,12,10,0,66.89,1586.14,1,low,interstate
2025-10-24,Lighting,Brisbane DC,28,25,0,427.8,5769.11,0,medium,interstate
2025-10-25,Furniture,Sydney DC,19,17,0,162.19,708.57,0,high,import
2025-10-26,Appliances,Regional Overflow,71,67,0,659.49,8147.5,1,medium,interstate
2025-10-27,Homewares,Regional Overflow,66,51,1,838.07,5422.88,3,low,interstate
2025-10-28,Outdoor,Perth DC,32,31,0,492.82,2671.86,1,medium,interstate
2025-10-29,Lighting,Melbourne DC,27,20,0,369.25,4804.75,1,high,local
2025-10-30,Homewares,Perth DC,21,18,0,180.05,2260.37,1,high,interstate
2025-10-31,Outdoor,Perth DC,59,47,1,622.86,3201.55,2,medium,import
2025-11-01,Homewares,Sydney DC,62,52,0,679.38,,1,medium,interstate
2025-11-02,Kitchen,Melbourne DC,80,63,1,349.47,7129.28,1,medium,local
2025-11-03,Kitchen,Regional Overflow,16,11,1,198.15,1820.33,0,high,local
2025-11-04,Furniture,Melbourne DC,69,50,1,862.37,9525.92,1,low,local
2025-11-05,Appliances,Brisbane DC,11,8,1,71.15,2055.61,0,high,import
