interaction_id,call_id,lead_id,enquiry_ref,customer_id,interaction_date,created_at,month,source_channel,campaign_name,medium,device_type,region,call_count,lead_count,qualified_calls,qualified_leads,is_sales_qualified,opportunities,closed_won_count,booked_jobs,converted_flag,media_cost_aud,sales_value_aud,job_value_aud,revenue_aud,provided_qualified_rate_pct,provided_conversion_rate_pct,call_status,lead_status,outcome_status
INT-00011,CALL-030010,LEAD-050011,ENQ-07005,CUST-01003,2026-02-07,2026-02-07T10:17:00,2026-02,Organic Search,Content Hub,organic,Tablet,WA,1,6,0,4,1,2,1,1,1,,4097.59,5077.84,801.91,66.67,,abandoned,closed_won,booked
INT-00012,CALL-030011,LEAD-050012,ENQ-07005,CUST-DUP-01,2026-03-20,2026-03-20T10:20:00,2026-03,Organic Search,Organic Maps,organic,Tablet,VIC,0,5,0,2,1,0,0,0,0,,,,,40,0,answered,qualified,won
INT-00013,CALL-030012,LEAD-050013,ENQ-07006,CUST-01008,2026-01-09,2026-01-09T10:27:00,2026-01,Referral,Affiliate Warm Leads,referral,Mobile,NSW,0,4,0,0,0,0,0,0,0,,,,,0,0,abandoned,new,no_answer
INT-00014,,,ENQ-07006,CUST-01021,2026-03-21,2026-03-21T15:41:00,2026-03,Organic Search,Organic Maps,organic,Mobile,TAS,1,3,0,1,1,0,0,0,0,,,,,33.33,0,abandoned,qualified,lost
INT-00015,,LEAD-050015,ENQ-07007,CUST-01017,2026-02-11,2026-02-11T15:14:00,2026-02,Organic Search,Content Hub,organic,Mobile,QLD,3,5,0,1,1,0,0,0,0,,,,,20,,missed,qualified,pending
INT-00016,,LEAD-050016,ENQ-07007,CUST-01015,2026-01-03,2026-01-03T15:01:00,2026-01,Referral,Partner Network,referral,Desktop,SA,1,4,0,1,1,1,0,0,0,,1699.41,,,25,0,voicemail,opportunity,won
INT-00017,CALL-030016,,ENQ-07008,CUST-01015,2025-12-23,2025-12-23T09:18:00,2025-12,Paid Social,Retargeting Social,cpc,Desktop,TAS,3,2,0,1,1,0,0,0,0,,,,,50,0,missed,qualified,won
INT-00018,CALL-030017,LEAD-050019,ENQ-DUP-001,CUST-01011,2026-02-26,2026-02-26T10:20:00,2026-02,Paid Social,Lookalike Call Trial,cpc,Mobile,NSW,1,6,0,2,1,0,0,0,0,425.67,,,,33.33,0,missed,qualified,lost
INT-00019,CALL-030018,LEAD-050020,ENQ-07009,CUST-01022,2026-03-11,2026-03-11T16:11:00,2026-03,Referral,Partner Network,referral,Tablet,NSW,1,5,0,3,1,1,0,0,0,,1469.53,,,60,0,abandoned,opportunity,pending
INT-00020,CALL-030019,,ENQ-07009,CUST-01008,2026-03-04,2026-03-04T15:17:00,2026-03,Paid Search,Emergency Lead Capture,cpc,Desktop,VIC,3,4,1,0,1,0,0,0,0,400.78,,,,0,0,abandoned,new,no_answer
INT-00021,CALL-030020,LEAD-050022,ENQ-07010,CUST-01008,2025-12-19,2025-12-19T17:27:00,2025-12,Email,Newsletter Promo,email,Tablet,WA,0,4,0,2,1,1,0,0,0,,2085.99,,,50,0,abandoned,opportunity,lost
INT-00022,,LEAD-050023,ENQ-07010,CUST-01013,2026-02-04,2026-02-04T09:11:00,2026-02,Paid Search,Emergency Lead Capture,cpc,Tablet,VIC,2,4,1,2,1,0,0,0,0,410.06,,,,50,0,answered,qualified,won
INT-00023,CALL-030022,LEAD-050024,ENQ-07011,CUST-DUP-02,2026-03-19,2026-03-19T15:11:00,2026-03,Paid Social,Retargeting Social,cpc,Mobile,TAS,1,1,0,0,1,0,0,0,0,92.8,,,,0,0,abandoned,disqualified,booked
INT-00024,,,ENQ-07011,CUST-01013,2026-02-23,2026-02-23T14:57:00,2026-02,Paid Search,Brand Protect AU,cpc,Desktop,QLD,3,4,0,1,1,0,0,1,1,444.71,,2461.22,,25,0,answered,qualified,booked
INT-00025,,LEAD-050027,ENQ-07012,CUST-01017,2025-12-29,2025-12-29T11:35:00,2025-12,Referral,Partner Network,referral,Tablet,VIC,1,2,0,1,1,0,0,0,0,,,,,50,0,voicemail,qualified,booked
INT-00026,,LEAD-050028,ENQ-07012,CUST-01017,2026-03-05,2026-03-05T09:59:00,2026-03,Display,Display Awareness,display,Desktop,VIC,6,4,2,1,1,1,0,1,1,821.8,785.89,991.06,,25,0,voicemail,opportunity,booked
INT-00027,CALL-030026,,ENQ-07013,CUST-01012,2026-01-12,2026-01-12T11:10:00,2026-01,Email,Nurture Reactivation,email,Tablet,TAS,0,3,0,1,1,0,0,0,0,,,,,33.33,0,answered,qualified,no_answer
INT-00028,CALL-030027,LEAD-050030,ENQ-07013,CUST-01010,2026-03-19,2026-03-19T08:54:00,2026-03,Paid Social,Meta Lead Gen NSW,cpc,Desktop,NSW,5,5,2,1,1,1,0,0,0,857.83,757.46,,,20,0,missed,opportunity,lost
INT-00029,CALL-030028,LEAD-050031,ENQ-07014,CUST-01012,2026-01-21,2026-01-21T09:14:00,2026-01,Paid Social,Meta Lead Gen NSW,cpc,Mobile,QLD,2,3,0,1,1,0,0,1,1,319.36,,769.05,,33.33,0,answered,qualified,booked
INT-00030,CALL-030029,LEAD-050032,ENQ-07014,CUST-01015,2026-03-03,2026-03-03T16:03:00,2026-03,Direct,DIRECT / UNKNOWN,direct,Tablet,TAS,2,2,0,1,1,1,0,0,0,,,,,50,,answered,opportunity,won
INT-00031,CALL-030030,,ENQ-07015,CUST-01025,2026-03-16,2026-03-16T10:29:00,2026-03,Organic Search,SEO Local Pages,organic,Desktop,SA,2,5,0,1,1,0,0,0,0,,,,,20,0,voicemail,qualified,pending
INT-00032,CALL-030031,LEAD-050035,ENQ-07015,CUST-01020,2026-03-26,2026-03-26T16:45:00,2026-03,email,Quote Follow Up,email,Desktop,WA,0,2,0,0,0,0,0,0,0,,,,,0,0,abandoned,closed_lost,booked
INT-00033,CALL-030032,LEAD-050036,ENQ-07016,CUST-01022,2025-12-31,2025-12-31T10:52:00,2025-12,Paid Search,High Intent Search,cpc,Tablet,SA,5,1,1,0,1,0,0,0,0,413.63,,,,0,0,abandoned,qualified,pending
INT-00034,CALL-030033,,ENQ-07016,CUST-DUP-03,2026-03-25,2026-03-25T13:27:00,2026-03,Paid Social,Lookalike Call Trial,cpc,Desktop,SA,6,4,3,1,1,0,0,0,0,917.19,,,,25,0,abandoned,qualified,no_answer
INT-00035,,LEAD-050038,ENQ-DUP-002,CUST-01011,2026-01-23,2026-01-23T12:40:00,2026-01,Paid Social,Lookalike Call Trial,cpc,Desktop,NSW,4,2,1,1,1,0,0,1,1,472.97,,516.93,,,0,answered,qualified,booked
INT-00036,CALL-030035,LEAD-050039,ENQ-07017,CUST-01015,2026-02-22,2026-02-22T13:46:00,2026-02,Email,Newsletter Promo,email,Desktop,QLD,2,4,0,2,1,2,0,0,0,,3724.5,,,50,0,answered,opportunity,pending
INT-00037,CALL-030036,LEAD-050040,ENQ-07018,CUST-01025,2026-01-24,2026-01-24T11:03:00,2026-01,Organic Search,SEO Local Pages,organic,Desktop,VIC,2,0,0,0,0,0,0,0,0,,,,,,,answered,opportunity,won
INT-00038,CALL-030037,LEAD-050041,ENQ-07018,CUST-01013,2026-03-02,2026-03-02T12:51:00,2026-03,Email,Newsletter Promo,EMAIL,Desktop,SA,0,0,0,0,0,0,0,0,0,,,,,,,missed,qualified,no_answer
INT-00039,CALL-030038,,ENQ-07019,CUST-01018,2026-01-15,2026-01-15T12:40:00,2026-01,Email,Quote Follow Up,email,Mobile,NSW,3,4,1,2,1,2,1,1,1,,,3709.86,1632,50,,abandoned,closed_won,booked
INT-00040,CALL-030039,,ENQ-07019,CUST-01014,2025-12-15,2025-12-15T12:49:00,2025-12,Referral,Affiliate Warm Leads,referral,Desktop,WA,1,2,0,1,1,0,0,0,0,,,,,,0,answered,qualified,lost
INT-00041,CALL-030040,LEAD-050045,ENQ-07020,CUST-01019,2026-03-11,2026-03-11T13:36:00,2026-03,Referral,Broker Referral,referral,Desktop,SA,0,2,0,1,1,0,0,0,0,,,,,,0,missed,qualified,no_answer
INT-00042,CALL-030041,,ENQ-07020,CUST-01024,2026-01-27,2026-01-27T11:14:00,2026-01,Referral,Partner Network,referral,Mobile,SA,1,4,0,2,1,1,0,0,0,,1844.15,,,50,,answered,opportunity,booked
INT-00043,,LEAD-050047,ENQ-07021,CUST-01019,2026-01-12,2026-01-12T14:00:00,2026-01,Paid Social,Meta Lead Gen NSW,cpc,Mobile,NSW,4,5,2,2,1,1,0,0,0,584.75,398.21,,,40,0,missed,opportunity,pending
INT-00044,CALL-030043,LEAD-050048,ENQ-07021,CUST-01022,2026-03-09,2026-03-09T13:18:00,2026-03,Display,Display Awareness,display,Mobile,TAS,4,3,0,1,1,0,0,0,0,599.05,,,,33.33,0,missed,qualified,lost
INT-00045,CALL-030044,,ENQ-07022,CUST-DUP-04,2025-12-25,2025-12-25T17:23:00,2025-12,Email,Newsletter Promo,email,Tablet,SA,1,0,0,0,0,0,0,0,0,,,,,,,abandoned,opportunity,booked
INT-00046,CALL-030045,LEAD-050050,ENQ-07022,CUST-01016,2026-02-04,2026-02-04T16:36:00,2026-02,Paid Search,High Intent Search,cpc,Tablet,VIC,4,4,1,2,1,1,0,0,0,458.75,1711.07,,,50,0,voicemail,opportunity,no_answer
INT-00047,CALL-030046,LEAD-050051,ENQ-07023,CUST-01020,2026-01-16,2026-01-16T14:15:00,2026-01,Paid Social,Meta Lead Gen NSW,cpc,Desktop,WA,3,3,1,2,1,0,0,0,0,488.51,,,,66.67,0,abandoned,qualified,pending
INT-00048,,LEAD-050053,ENQ-07023,CUST-01028,2025-12-30,2025-12-30T11:13:00,2025-12,Paid Search,High Intent Search,cpc,Mobile,WA,0,1,0,0,1,1,0,0,0,19.93,688.24,,,,0,voicemail,opportunity,no_answer
INT-00049,,LEAD-050054,ENQ-07024,CUST-01020,2026-03-28,2026-03-28T08:33:00,2026-03,Paid Search,Brand Protect AU,cpc,Desktop,TAS,5,2,2,1,1,0,0,0,0,,,,,50,0,voicemail,qualified,lost
INT-00050,,LEAD-050055,ENQ-07024,CUST-01016,2026-03-15,2026-03-15T13:34:00,2026-03,Paid Search,High Intent Search,cpc,Mobile,NSW,2,5,1,1,1,0,0,0,0,493.66,,,,20,0,missed,qualified,won
INT-00051,CALL-030050,LEAD-050056,ENQ-07025,CUST-01022,2026-02-14,2026-02-14T14:53:00,2026-02,Paid Search,Emergency Lead Capture,cpc,Desktop,WA,1,1,0,0,0,0,0,0,0,107.92,,,,0,0,voicemail,closed_won,no_answer
INT-00052,,LEAD-050057,ENQ-DUP-003,CUST-01029,2025-12-27,2025-12-27T08:48:00,2025-12,Organic Search,Content Hub,organic,Tablet,SA,0,4,0,1,1,0,0,0,0,,,,,25,0,abandoned,qualified,booked
INT-00053,CALL-030052,LEAD-050058,ENQ-07026,CUST-01028,2026-03-16,2026-03-16T08:37:00,2026-03,Referral,Broker Referral,referral,Tablet,NSW,0,0,0,0,0,0,0,0,0,,,,,,,abandoned,opportunity,booked
INT-00054,,LEAD-050059,ENQ-07026,CUST-01028,2025-12-30,2025-12-30T15:38:00,2025-12,Paid Search,Emergency Lead Capture,cpc,Tablet,VIC,5,4,3,1,1,1,0,0,0,514.3,457.07,,,,0,missed,opportunity,lost
INT-00055,CALL-030054,LEAD-050061,ENQ-07027,CUST-01034,2026-01-29,2026-01-29T10:19:00,2026-01,Referral,Broker Referral,referral,Mobile,TAS,2,6,0,2,1,1,0,0,0,,1294.86,,,33.33,0,missed,opportunity,pending
INT-00056,CALL-030055,LEAD-050062,ENQ-07027,CUST-DUP-05,2026-03-08,2026-03-08T10:44:00,2026-03,Paid Search,High Intent Search,cpc,Tablet,NSW,4,5,1,2,1,0,0,0,0,687.54,,,,40,0,missed,qualified,pending
INT-00057,CALL-030056,LEAD-050063,ENQ-07028,CUST-01020,2025-12-30,2025-12-30T14:45:00,2025-12,Organic Search,Content Hub,organic,Tablet,TAS,1,6,0,4,1,1,0,0,0,,399.29,,,,0,abandoned,opportunity,won
INT-00058,CALL-030057,,ENQ-07028,CUST-01034,2026-01-06,2026-01-06T13:56:00,2026-01,Paid Search,High Intent Search,cpc,Mobile,SA,3,2,0,1,1,1,0,1,1,373.37,820.33,2121.55,,50,0,answered,opportunity,booked
INT-00059,CALL-030058,,ENQ-07029,CUST-01035,2026-01-09,2026-01-09T17:49:00,2026-01,Organic Search,ORGANIC MAPS,organic,Desktop,TAS,1,3,0,2,1,0,0,0,0,,,,,66.67,0,abandoned,qualified,lost
INT-00060,CALL-030059,LEAD-050066,ENQ-07029,CUST-01025,2026-02-02,2026-02-02T10:55:00,2026-02,Paid Search,Emergency Lead Capture,cpc,Desktop,SA,5,0,1,0,1,0,0,0,0,646.2,,,,,,missed,opportunity,won
INT-00061,CALL-030060,LEAD-050067,ENQ-07030,CUST-01023,2026-01-04,2026-01-04T14:43:00,2026-01,Direct,Direct / Unknown,direct,Mobile,TAS,3,3,0,2,1,0,0,0,0,,,,,66.67,0,abandoned,qualified,no_answer
INT-00062,,LEAD-050068,ENQ-07030,CUST-01025,2026-03-11,2026-03-11T08:35:00,2026-03,Email,Quote Follow Up,email,Mobile,NSW,2,6,1,2,1,0,0,0,0,,,,,33.33,0,missed,qualified,lost
INT-00063,,,ENQ-07031,CUST-01032,2026-03-06,2026-03-06T17:23:00,2026-03,direct,Returning Visitors,direct,Desktop,WA,4,2,2,0,1,0,0,0,0,19.7,,,,0,0,missed,disqualified,lost
INT-00064,,LEAD-050071,ENQ-07031,CUST-01028,2026-03-12,2026-03-12T11:49:00,2026-03,Paid Search,High Intent Search,cpc,Desktop,VIC,3,5,0,1,1,0,0,0,0,615.14,,,,,0,voicemail,qualified,won
INT-00065,CALL-030064,LEAD-050072,ENQ-07032,CUST-01031,2026-02-08,2026-02-08T15:10:00,2026-02,Organic Search,SEO Local Pages,organic,Tablet,VIC,2,7,0,2,1,0,0,0,0,,,,,28.57,0,abandoned,qualified,booked
INT-00066,CALL-030065,,ENQ-07032,CUST-01030,2026-01-01,2026-01-01T08:39:00,2026-01,Organic Search,SEO Local Pages,organic,Desktop,QLD,3,3,1,1,1,0,0,0,0,,,,,33.33,0,answered,qualified,no_answer
INT-00067,CALL-030066,LEAD-050074,ENQ-07033,CUST-DUP-06,2026-01-07,2026-01-07T11:37:00,2026-01,Referral,Broker Referral,referral,Tablet,VIC,2,2,0,0,0,0,0,1,1,,,1072.03,,0,0,voicemail,opportunity,booked
INT-00068,CALL-030067,,ENQ-07033,CUST-01034,2025-12-30,2025-12-30T09:31:00,2025-12,Display,Display Awareness,display,Mobile,SA,4,5,2,2,1,1,0,0,0,484.01,2052.47,,,40,0,voicemail,opportunity,lost
INT-00069,CALL-030068,LEAD-050076,ENQ-DUP-004,CUST-01038,2026-01-13,2026-01-13T09:42:00,2026-01,Display,Programmatic Retargeting,display,Mobile,SA,1,5,0,1,1,0,0,0,0,193.12,,,,20,0,missed,qualified,won
INT-00070,CALL-030069,,ENQ-07034,CUST-01038,2026-03-04,2026-03-04T15:17:00,2026-03,Direct,Returning Visitors,direct,Mobile,QLD,1,0,0,0,0,0,0,0,0,,,,,,,abandoned,opportunity,won
INT-00071,,LEAD-050079,ENQ-07035,CUST-01034,2026-03-30,2026-03-30T15:41:00,2026-03,Email,Nurture Reactivation,email,Desktop,WA,2,6,0,3,1,1,0,0,0,,1011.05,,,50,0,answered,opportunity,pending
INT-00072,,LEAD-050080,ENQ-07035,CUST-01035,2026-01-15,2026-01-15T12:48:00,2026-01,Paid Social,Lookalike Call Trial,cpc,Mobile,QLD,1,4,0,1,1,0,0,0,0,297.33,,,,25,0,answered,qualified,no_answer
INT-00073,,,ENQ-07036,CUST-01039,2026-03-10,2026-03-10T12:48:00,2026-03,Organic Search,Organic Maps,organic,Desktop,NSW,0,3,0,2,1,1,0,0,0,,1604.49,,,66.67,0,abandoned,opportunity,booked
INT-00074,,,ENQ-07036,CUST-01031,2026-03-01,2026-03-01T08:24:00,2026-03,Email,Newsletter Promo,email,Mobile,QLD,2,6,0,2,1,0,0,0,0,,,,,33.33,0,abandoned,qualified,pending
INT-00075,,,ENQ-07037,CUST-01028,2026-03-22,2026-03-22T08:02:00,2026-03,Referral,Partner Network,REFERRAL,Mobile,QLD,2,6,1,4,1,2,1,1,1,,2189.07,3141.24,2014.6,66.67,16.67,voicemail,closed_won,booked
INT-00076,CALL-030075,LEAD-050084,ENQ-07037,CUST-01036,2026-03-10,2026-03-10T16:39:00,2026-03,Organic Search,SEO Local Pages,organic,Tablet,TAS,1,0,0,0,0,0,0,0,0,,,,,,,abandoned,qualified,lost
INT-00077,CALL-030076,LEAD-050085,ENQ-07038,CUST-01029,2026-03-14,2026-03-14T12:53:00,2026-03,Email,Nurture Reactivation,email,Mobile,QLD,1,3,0,1,1,0,0,0,0,,,,,33.33,0,answered,qualified,won
INT-00078,CALL-030077,,ENQ-07038,CUST-DUP-07,2025-12-21,2025-12-21T15:59:00,2025-12,Paid Social,Retargeting Social,cpc,Tablet,NSW,4,2,0,1,1,0,0,0,0,426.17,,,,50,0,answered,qualified,lost
INT-00079,CALL-030078,LEAD-050088,ENQ-07039,CUST-01043,2026-01-26,2026-01-26T13:31:00,2026-01,Direct,Phone Number Recall,direct,Mobile,QLD,1,1,0,0,1,0,0,0,0,,,,,0,0,missed,closed_won,booked
INT-00080,,,ENQ-07039,CUST-01026,2025-12-20,2025-12-20T09:31:00,2025-12,Paid Search,High Intent Search,cpc,Tablet,NSW,6,5,4,2,1,1,0,0,0,827.54,,,,40,0,voicemail,opportunity,no_answer
INT-00081,,,ENQ-07040,CUST-01030,2026-01-18,2026-01-18T08:18:00,2026-01,Email,Quote Follow Up,email,Desktop,NSW,1,4,0,1,1,0,0,1,1,,,2216.25,,25,0,missed,qualified,booked
INT-00082,CALL-030081,LEAD-050091,ENQ-07040,CUST-01044,2026-03-05,2026-03-05T17:27:00,2026-03,Paid Search,Emergency Lead Capture,cpc,Desktop,WA,3,3,1,0,1,0,0,0,0,236.74,,,,0,0,missed,qualified,pending
INT-00083,CALL-030082,,ENQ-07041,CUST-01037,2026-01-01,2026-01-01T17:23:00,2026-01,Paid Search,Brand Protect AU,cpc,Tablet,WA,2,0,1,0,1,0,0,0,0,188.97,,,,,,answered,new,no_answer
INT-00084,CALL-030083,LEAD-050093,ENQ-07041,CUST-01039,2026-03-18,2026-03-18T12:20:00,2026-03,Referral,Affiliate Warm Leads,referral,Tablet,WA,2,3,4,0,1,0,0,1,1,,,1944.26,,0,0,abandoned,new,booked
INT-00085,CALL-030084,LEAD-050094,ENQ-07042,CUST-01035,2026-02-02,2026-02-02T15:02:00,2026-02,Referral,Affiliate Warm Leads,referral,Mobile,QLD,0,2,0,1,1,0,0,0,0,,,,,50,0,answered,qualified,lost
INT-00086,,LEAD-050096,ENQ-DUP-005,CUST-01037,2026-02-20,2026-02-20T15:44:00,2026-02,Display,YouTube Display,display,Tablet,SA,4,2,2,1,1,0,0,0,0,400.13,,,,50,0,answered,qualified,won
INT-00087,CALL-030086,LEAD-050097,ENQ-07043,CUST-01032,2026-01-23,2026-01-23T17:56:00,2026-01,Paid Search,Brand Protect AU,cpc,Desktop,SA,3,3,0,0,0,0,0,1,1,432.4,,1228.78,,0,,abandoned,closed_won,booked
INT-00088,,LEAD-050098,ENQ-07043,CUST-01036,2026-01-22,2026-01-22T17:10:00,2026-01,Paid Social,LOOKALIKE CALL TRIAL,cpc,Desktop,TAS,3,1,1,0,1,1,0,0,0,260.02,1111.28,,,0,0,missed,opportunity,won
INT-00089,CALL-030088,,ENQ-07044,CUST-DUP-08,2026-01-30,2026-01-30T16:57:00,2026-01,Referral,Affiliate Warm Leads,referral,Tablet,VIC,3,3,0,0,0,0,0,1,1,,,1178.56,,0,0,answered,disqualified,booked
INT-00090,CALL-030089,LEAD-050100,ENQ-07044,CUST-01041,2026-02-24,2026-02-24T09:38:00,2026-02,Paid Social,Lookalike Call Trial,cpc,Desktop,TAS,4,2,2,0,1,0,0,0,0,,,,,0,0,abandoned,closed_won,lost
INT-00091,CALL-030090,LEAD-050101,ENQ-07045,CUST-01034,2026-02-03,2026-02-03T14:57:00,2026-02,Organic Search,Organic Maps,organic,Tablet,QLD,2,5,1,3,1,1,0,1,1,,1613,2529.68,,60,0,voicemail,opportunity,booked
INT-00092,CALL-030091,LEAD-050102,ENQ-07045,CUST-01044,2026-01-06,2026-01-06T14:16:00,2026-01,Paid Social,Meta Lead Gen NSW,cpc,Tablet,VIC,5,6,2,4,1,2,0,0,0,647.87,807.81,,,66.67,0,answered,opportunity,won
INT-00093,CALL-030092,,ENQ-07046,CUST-01035,2026-03-03,2026-03-03T16:58:00,2026-03,Display,Display Awareness,display,Desktop,TAS,3,3,1,1,1,0,0,0,0,477.31,,,,33.33,0,abandoned,qualified,lost
INT-00094,CALL-030093,LEAD-050105,ENQ-07046,CUST-01040,2026-01-28,2026-01-28T08:10:00,2026-01,organic search,Content Hub,organic,Mobile,WA,3,1,0,0,0,1,0,0,0,,378.68,,,0,0,missed,opportunity,won
INT-00095,CALL-030094,LEAD-050106,ENQ-07047,CUST-01046,2026-02-03,2026-02-03T08:05:00,2026-02,Paid Search,High Intent Search,cpc,Tablet,WA,0,5,0,2,1,1,0,0,0,161.6,1712.92,,,40,0,abandoned,opportunity,lost
INT-00096,,,ENQ-07047,CUST-01031,2026-03-19,2026-03-19T11:48:00,2026-03,Email,Newsletter Promo,email,Desktop,VIC,2,3,1,1,1,0,0,0,0,,,,,,0,voicemail,qualified,pending
INT-00097,,LEAD-050108,ENQ-07048,CUST-01044,2026-02-22,2026-02-22T14:05:00,2026-02,Paid Search,Brand Protect AU,cpc,Desktop,VIC,4,5,1,1,1,0,0,1,1,433.03,,1119.08,,20,0,abandoned,qualified,booked
INT-00098,CALL-030097,LEAD-050109,ENQ-07048,CUST-01041,2025-12-17,2025-12-17T11:12:00,2025-12,Referral,Broker Referral,referral,Tablet,VIC,2,4,0,5,1,3,1,1,1,,,1956.56,1480.65,125,,voicemail,closed_won,booked
INT-00099,CALL-030098,LEAD-050110,ENQ-07049,CUST-01044,2026-01-11,2026-01-11T17:50:00,2026-01,Paid Search,Emergency Lead Capture,cpc,Desktop,QLD,3,3,1,0,1,0,0,0,0,521.94,,,,0,0,missed,new,won
INT-00100,,,ENQ-07049,CUST-DUP-00,2026-03-28,2026-03-28T16:48:00,2026-03,Referral,Affiliate Warm Leads,referral,Desktop,VIC,2,4,0,1,1,0,0,0,0,,,,,,0,missed,qualified,no_answer
INT-00101,CALL-030100,,ENQ-07050,CUST-01045,2025-12-20,2025-12-20T08:18:00,2025-12,Paid Search,Brand Protect AU,cpc,Mobile,QLD,3,3,1,2,1,1,0,0,0,469.63,2045.75,,,,0,missed,opportunity,lost
INT-00102,,LEAD-050114,ENQ-07050,CUST-01042,2026-01-10,2026-01-10T10:09:00,2026-01,Paid Search,Emergency Lead Capture,cpc,Desktop,SA,2,2,1,0,1,0,0,0,0,191.21,,,,132,0,voicemail,new,booked
INT-00103,,,ENQ-DUP-006,CUST-01036,2025-12-24,2025-12-24T16:05:00,2025-12,Organic Search,SEO Local Pages,organic,Mobile,TAS,0,2,0,0,0,1,0,0,0,,1020.24,,,0,0,missed,opportunity,no_answer
INT-00104,CALL-030103,,ENQ-07051,CUST-01044,2025-12-22,2025-12-22T14:09:00,2025-12,Organic Search,Content Hub,organic,Mobile,QLD,3,2,1,1,1,0,0,0,0,,,,,50,0,answered,qualified,booked
INT-00105,CALL-030104,,ENQ-07052,CUST-01042,2025-12-19,2025-12-19T15:47:00,2025-12,Paid Search,High Intent Search,cpc,Desktop,VIC,5,4,2,1,1,0,0,0,0,616.95,,,,25,0,abandoned,qualified,lost
INT-00106,CALL-030105,,ENQ-07052,CUST-01039,2026-02-20,2026-02-20T12:38:00,2026-02,Organic Search,SEO Local Pages,organic,Desktop,SA,3,5,0,3,1,1,0,0,0,,,,,60,0,answered,opportunity,won
INT-00107,CALL-030106,,ENQ-07053,CUST-01049,2025-12-21,2025-12-21T09:30:00,2025-12,Email,Nurture Reactivation,email,Desktop,SA,2,4,1,1,1,0,0,0,0,,,,,25,,abandoned,qualified,won
INT-00108,,LEAD-050120,ENQ-07053,CUST-01052,2026-02-11,2026-02-11T12:55:00,2026-02,Paid Search,High Intent Search,cpc,Mobile,TAS,3,3,0,1,1,0,0,0,0,348.98,,,,33.33,0,answered,qualified,lost
INT-00109,,LEAD-050122,ENQ-07054,CUST-01046,2026-02-13,2026-02-13T09:04:00,2026-02,Paid Social,Lookalike Call Trial,cpc,Tablet,TAS,3,4,1,2,1,1,0,0,0,555.18,665.08,,,50,0,answered,opportunity,booked
INT-00110,CALL-030109,LEAD-050123,ENQ-07054,CUST-01050,2026-02-22,2026-02-22T10:04:00,2026-02,Organic Search,SEO Local Pages,organic,Desktop,TAS,1,3,0,1,1,0,0,1,1,,,2195.51,,33.33,,missed,qualified,booked
